cluster_id;strategy_id;symbol;timeframe;direction;signal_time;fill_time;close_time;entry;stop;target;exit;exit_reason;r_result;mfe_r;mae_r;bars_held;session
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1741189500|MSZZ|XAUUSD|5|0|-1|1741189200|1741189200;1010;XAUUSD;PERIOD_M5;SHORT;2025.03.05 15:45:00;2025.03.05 15:50:00;2025.03.05 16:44:57;2896.23000000;2917.24000000;2854.21000000;2917.24000000;SL;-1.0000;0.1076;-0.9990;10;London
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1741194300|MSZZ|XAUUSD|5|0|1|1741192500|1741192500;1010;XAUUSD;PERIOD_M5;LONG;2025.03.05 17:05:00;2025.03.05 17:10:00;2025.03.06 10:04:58;2918.04000000;2907.06000000;2940.00000000;2907.06000000;SL;-1.0000;1.0956;-1.0546;202;NewYork
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1741674300|MSZZ|XAUUSD|5|0|1|1741674000|1741674000;1010;XAUUSD;PERIOD_M5;LONG;2025.03.11 06:25:00;2025.03.11 06:30:00;2025.03.11 07:29:57;2897.99000000;2895.93000000;2902.11000000;2895.93000000;SL;-1.0000;1.2379;-1.3544;11;Asian
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1741683300|MSZZ|XAUUSD|5|0|1|1741674000|1741674000;1010;XAUUSD;PERIOD_M5;LONG;2025.03.11 08:55:00;2025.03.11 09:00:00;2025.03.11 09:44:58;2897.83000000;2895.93000000;2901.63000000;2895.93000000;SL;-1.0000;0.6421;-1.0789;8;London
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1741688700|MSZZ|XAUUSD|5|0|1|1741687200|1741687200;1010;XAUUSD;PERIOD_M5;LONG;2025.03.11 10:25:00;2025.03.11 10:30:00;2025.03.11 10:54:58;2897.99000000;2895.93000000;2902.11000000;2902.11000000;TP;2.0000;2.3155;-0.3107;4;London
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1742586300|MSZZ|XAUUSD|5|0|1|1742583900|1742583900;1010;XAUUSD;PERIOD_M5;LONG;2025.03.21 19:45:00;2025.03.21 19:50:00;2025.03.21 23:24:59;3014.13000000;3010.00000000;3022.39000000;3022.39000000;TP;2.0000;2.0387;-0.2930;42;NewYork
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1743083100|MSZZ|XAUUSD|5|0|1|1743081900|1743081900;1010;XAUUSD;PERIOD_M5;LONG;2025.03.27 13:45:00;2025.03.27 13:50:00;2025.03.27 16:14:58;3054.40000000;3045.75000000;3071.70000000;3045.75000000;SL;-1.0000;0.1803;-1.0936;28;London
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1743091800|MSZZ|XAUUSD|5|0|-1|1743091200|1743091200;1010;XAUUSD;PERIOD_M5;SHORT;2025.03.27 16:10:00;2025.03.27 16:15:00;2025.03.27 16:39:58;3046.09000000;3050.81000000;3036.65000000;3036.65000000;TP;2.0000;2.3665;-0.1144;4;NewYork
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1743095100|MSZZ|XAUUSD|5|0|-1|1743091800|1743091800;1010;XAUUSD;PERIOD_M5;SHORT;2025.03.27 17:05:00;2025.03.27 17:10:00;2025.03.27 17:24:58;3043.12000000;3050.81000000;3027.74000000;3050.81000000;SL;-1.0000;0.0949;-1.0013;2;NewYork
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1743096600|MSZZ|XAUUSD|5|0|1|1743081300|1743081300;1010;XAUUSD;PERIOD_M5;LONG;2025.03.27 17:30:00;2025.03.27 17:35:00;2025.03.31 01:04:58;3051.43000000;3033.44000000;3087.41000000;3087.41000000;TP;2.0000;2.3457;-0.2046;953;NewYork
