cluster_id;strategy_id;symbol;timeframe;direction;signal_time;fill_time;close_time;entry;stop;target;exit;exit_reason;r_result;mfe_r;mae_r;bars_held;session
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1741189500|MSZZ|XAUUSD|5|0|-1|1741189200|1741189200;1010;XAUUSD;PERIOD_M5;SHORT;2025.03.05 15:45:00;2025.03.05 15:50:00;2025.03.05 16:44:57;2896.23000000;2917.24000000;0.00000000;2917.24000000;SL;-1.0000;0.1076;-0.9990;10;London
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1741194300|MSZZ|XAUUSD|5|0|1|1741192500|1741192500;1010;XAUUSD;PERIOD_M5;LONG;2025.03.05 17:05:00;2025.03.05 17:10:00;2025.03.05 19:05:00;2918.04000000;2907.06000000;0.00000000;2922.85000000;OTHER;0.4381;1.0956;-0.3515;23;NewYork
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1741201200|MSZZ|XAUUSD|5|0|-1|1741200900|1741200900;1010;XAUUSD;PERIOD_M5;SHORT;2025.03.05 19:00:00;2025.03.05 19:05:00;2025.03.07 17:04:58;2922.85000000;2930.07000000;0.00000000;2930.07000000;SL;-1.0000;4.3934;-1.0152;551;NewYork
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1741674300|MSZZ|XAUUSD|5|0|1|1741674000|1741674000;1010;XAUUSD;PERIOD_M5;LONG;2025.03.11 06:25:00;2025.03.11 06:30:00;2025.03.11 07:29:57;2897.99000000;2895.93000000;0.00000000;2895.93000000;SL;-1.0000;1.2379;-1.3544;11;Asian
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1741683300|MSZZ|XAUUSD|5|0|1|1741674000|1741674000;1010;XAUUSD;PERIOD_M5;LONG;2025.03.11 08:55:00;2025.03.11 09:00:00;2025.03.11 09:44:58;2897.83000000;2895.93000000;0.00000000;2895.93000000;SL;-1.0000;0.6421;-1.0789;8;London
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1741688700|MSZZ|XAUUSD|5|0|1|1741687200|1741687200;1010;XAUUSD;PERIOD_M5;LONG;2025.03.11 10:25:00;2025.03.11 10:30:00;2025.03.27 16:15:00;2897.99000000;2895.93000000;0.00000000;3046.09000000;OTHER;71.8932;77.3592;-0.3107;4677;London
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1743091800|MSZZ|XAUUSD|5|0|-1|1743091200|1743091200;1010;XAUUSD;PERIOD_M5;SHORT;2025.03.27 16:10:00;2025.03.27 16:15:00;2025.03.27 17:24:58;3046.09000000;3050.81000000;0.00000000;3050.81000000;SL;-1.0000;2.6801;-1.0021;13;NewYork
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1743096600|MSZZ|XAUUSD|5|0|1|1743081300|1743081300;1010;XAUUSD;PERIOD_M5;LONG;2025.03.27 17:30:00;2025.03.27 17:35:00;2025.04.04 15:55:00;3051.43000000;3033.44000000;0.00000000;3070.38000000;OTHER;1.0534;6.4686;-0.2046;2284;NewYork
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1743781800|MSZZ|XAUUSD|5|0|-1|1743780900|1743780900;1010;XAUUSD;PERIOD_M5;SHORT;2025.04.04 15:50:00;2025.04.04 15:55:00;2025.04.10 03:30:00;3070.38000000;3114.87000000;0.00000000;3096.33000000;OTHER;-0.5833;2.5669;-0.6750;1579;London
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1744255500|MSZZ|XAUUSD|5|0|1|1744255200|1744255200;1010;XAUUSD;PERIOD_M5;LONG;2025.04.10 03:25:00;2025.04.10 03:30:00;2025.04.10 04:39:58;3096.33000000;3081.36000000;0.00000000;3081.36000000;SL;-1.0000;0.3373;-1.1957;13;Asian
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1744262400|MSZZ|XAUUSD|5|0|1|1744261800|1744261800;1010;XAUUSD;PERIOD_M5;LONG;2025.04.10 05:20:00;2025.04.10 05:25:00;2025.04.24 06:35:00;3114.01000000;3078.43000000;0.00000000;3323.12000000;OTHER;5.8772;10.8482;-0.3058;4046;Asian
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1745476200|MSZZ|XAUUSD|5|0|-1|1744759200|1744759500;1010;XAUUSD;PERIOD_M5;SHORT;2025.04.24 06:30:00;2025.04.24 06:35:00;2025.04.24 17:45:00;3323.12000000;3367.41000000;0.00000000;3326.65000000;OTHER;-0.0797;0.3685;-0.4857;134;Asian
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1745516400|MSZZ|XAUUSD|5|0|1|1745502900|1745502900;1010;XAUUSD;PERIOD_M5;LONG;2025.04.24 17:40:00;2025.04.24 17:45:00;2025.04.24 18:05:00;3326.65000000;3322.21000000;0.00000000;3322.58000000;OTHER;-0.9167;0.8491;-0.9617;4;NewYork
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1745517600|MSZZ|XAUUSD|5|0|-1|1745511600|1745511600;1010;XAUUSD;PERIOD_M5;SHORT;2025.04.24 18:00:00;2025.04.24 18:05:00;2025.04.24 18:10:00;3322.58000000;3344.63000000;0.00000000;3325.35000000;OTHER;-0.1256;0.0091;-0.2118;1;NewYork
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1745517900|MSZZ|XAUUSD|5|0|1|1745502900|1745502900;1010;XAUUSD;PERIOD_M5;LONG;2025.04.24 18:05:00;2025.04.24 18:10:00;2025.04.24 18:19:58;3325.35000000;3322.21000000;0.00000000;3322.21000000;SL;-1.0000;0.7643;-1.8535;1;NewYork
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1745518500|MSZZ|XAUUSD|5|0|-1|1745511600|1745511600;1010;XAUUSD;PERIOD_M5;SHORT;2025.04.24 18:15:00;2025.04.24 18:20:00;2025.04.24 18:30:00;3320.89000000;3344.63000000;0.00000000;3324.19000000;OTHER;-0.1390;0.0560;-0.3669;2;NewYork
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1745519100|MSZZ|XAUUSD|5|0|1|1745502900|1745502900;1010;XAUUSD;PERIOD_M5;LONG;2025.04.24 18:25:00;2025.04.24 18:30:00;2025.04.24 18:49:58;3324.19000000;3322.21000000;0.00000000;3322.21000000;SL;-1.0000;2.7424;-1.7576;3;NewYork
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1745544300|MSZZ|XAUUSD|5|0|1|1745542800|1745542800;1010;XAUUSD;PERIOD_M5;LONG;2025.04.25 01:25:00;2025.04.25 01:30:00;2025.04.25 04:55:00;3363.46000000;3333.46000000;0.00000000;3344.22000000;OTHER;-0.6413;0.2437;-0.6810;41;Asian
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1745556600|MSZZ|XAUUSD|5|0|-1|1745554800|1745554800;1010;XAUUSD;PERIOD_M5;SHORT;2025.04.25 04:50:00;2025.04.25 04:55:00;2025.04.25 04:59:57;3344.22000000;3347.01000000;0.00000000;3347.01000000;SL;-1.0000;0.4265;-0.9892;0;Asian
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1745563500|MSZZ|XAUUSD|5|0|-1|1745554800|1745554800;1010;XAUUSD;PERIOD_M5;SHORT;2025.04.25 06:45:00;2025.04.25 06:50:00;2025.04.28 21:29:58;3338.36000000;3347.01000000;0.00000000;3347.01000000;SL;-1.0000;8.4613;-1.3306;1039;Asian
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1746201600|MSZZ|XAUUSD|5|0|-1|1746053700|1746053700;1010;XAUUSD;PERIOD_M5;SHORT;2025.05.02 16:00:00;2025.05.02 16:05:00;2025.05.05 12:30:00;3244.12000000;3313.67000000;0.00000000;3302.25000000;OTHER;-0.8358;0.3067;-0.8809;821;NewYork
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1746447900|MSZZ|XAUUSD|5|0|1|1746447600|1746447600;1010;XAUUSD;PERIOD_M5;LONG;2025.05.05 12:25:00;2025.05.05 12:30:00;2025.05.09 05:14:58;3302.25000000;3283.12000000;0.00000000;3283.12000000;SL;-1.0000;7.1432;-1.4381;1064;London
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1747045500|MSZZ|XAUUSD|5|0|-1|1747045200|1747045200;1010;XAUUSD;PERIOD_M5;SHORT;2025.05.12 10:25:00;2025.05.12 10:30:00;2025.05.13 07:54:58;3231.18000000;3253.36000000;0.00000000;3253.36000000;SL;-1.0000;1.0555;-1.0063;256;London
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1747760400|MSZZ|XAUUSD|5|0|1|1747760100|1747760100;1010;XAUUSD;PERIOD_M5;LONG;2025.05.20 17:00:00;2025.05.20 17:05:00;2025.05.28 06:25:00;3271.08000000;3250.41000000;0.00000000;3296.02000000;OTHER;1.2066;4.5864;-0.0348;2176;NewYork
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1748413200|MSZZ|XAUUSD|5|0|-1|1748412900|1748412900;1010;XAUUSD;PERIOD_M5;SHORT;2025.05.28 06:20:00;2025.05.28 06:25:00;2025.05.28 11:50:00;3296.02000000;3336.84000000;0.00000000;3320.81000000;OTHER;-0.6073;0.1061;-0.6801;65;Asian
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1748432700|MSZZ|XAUUSD|5|0|1|1748428800|1748428800;1010;XAUUSD;PERIOD_M5;LONG;2025.05.28 11:45:00;2025.05.28 11:50:00;2025.05.28 13:39:58;3320.81000000;3316.09000000;0.00000000;3316.09000000;SL;-1.0000;1.0000;-1.1801;21;London
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1748450100|MSZZ|XAUUSD|5|0|-1|1748448900|1748448900;1010;XAUUSD;PERIOD_M5;SHORT;2025.05.28 16:35:00;2025.05.28 16:40:00;2025.05.29 19:05:00;3303.78000000;3336.84000000;0.00000000;3326.39000000;OTHER;-0.6839;1.7635;-0.7462;317;NewYork
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1748545200|MSZZ|XAUUSD|5|0|1|1748275200|1748275200;1010;XAUUSD;PERIOD_M5;LONG;2025.05.29 19:00:00;2025.05.29 19:05:00;2025.05.29 22:44:58;3326.39000000;3316.09000000;0.00000000;3316.09000000;SL;-1.0000;0.4709;-1.0534;43;NewYork
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1748578500|MSZZ|XAUUSD|5|0|1|1748540700|1748540700;1010;XAUUSD;PERIOD_M5;LONG;2025.05.30 04:15:00;2025.05.30 04:20:00;2025.05.30 04:49:58;3320.02000000;3309.59000000;0.00000000;3309.59000000;SL;-1.0000;0.2598;-1.0000;5;Asian
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1748584200|MSZZ|XAUUSD|5|0|-1|1748583900|1748583900;1010;XAUUSD;PERIOD_M5;SHORT;2025.05.30 05:50:00;2025.05.30 05:55:00;2025.05.30 13:10:00;3296.38000000;3317.43000000;0.00000000;3299.58000000;OTHER;-0.1520;0.4266;-0.4109;87;Asian
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1748610300|MSZZ|XAUUSD|5|0|1|1748607600|1748607900;1010;XAUUSD;PERIOD_M5;LONG;2025.05.30 13:05:00;2025.05.30 13:10:00;2025.05.30 13:25:00;3299.58000000;3287.40000000;0.00000000;3297.14000000;OTHER;-0.2003;0.0854;-0.3169;3;London
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1748611200|MSZZ|XAUUSD|5|0|-1|1748606700|1748607000;1010;XAUUSD;PERIOD_M5;SHORT;2025.05.30 13:20:00;2025.05.30 13:25:00;2025.05.30 15:14:58;3297.14000000;3299.26000000;0.00000000;3299.26000000;SL;-1.0000;6.7500;-4.5613;21;London
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1748617800|MSZZ|XAUUSD|5|0|1|1748616900|1748617200;1010;XAUUSD;PERIOD_M5;LONG;2025.05.30 15:10:00;2025.05.30 15:15:00;2025.05.30 16:35:00;3303.01000000;3288.65000000;0.00000000;3292.23000000;OTHER;-0.7507;0.3656;-0.8607;16;London
