ticket;time;old_stop;new_stop;fav_r;reason;modify_ok
4;2025.03.05 18:25:00;2907.06000000;2918.26000000;1.0537;trail applied;true
6;2025.03.05 19:50:00;2930.07000000;2922.71000000;1.0014;trail applied;true
8;2025.03.11 07:00:00;2895.93000000;2898.03000000;1.2379;trail applied;true
12;2025.03.11 10:35:00;2895.93000000;2898.03000000;1.9612;trail applied;true
14;2025.03.21 21:25:00;3010.00000000;3014.21000000;1.0121;trail applied;true
18;2025.03.27 16:25:00;3050.81000000;3046.00000000;1.6589;trail applied;true
22;2025.03.28 04:50:00;3033.44000000;3051.79000000;1.1634;trail applied;true
24;2025.04.04 18:30:00;3114.87000000;3069.49000000;1.0539;trail applied;true
28;2025.04.10 17:40:00;3078.43000000;3114.72000000;1.0863;trail applied;true
40;2025.04.24 18:35:00;3322.21000000;3324.23000000;2.7323;trail applied;true
46;2025.04.25 07:00:00;3347.01000000;3338.19000000;1.8162;trail applied;true
50;2025.05.05 15:50:00;3283.12000000;3302.63000000;1.0575;trail applied;true
52;2025.05.12 13:45:00;3253.36000000;3230.74000000;1.0194;trail applied;true
54;2025.05.20 22:45:00;3250.41000000;3271.49000000;1.0102;trail applied;true
58;2025.05.28 12:50:00;3316.09000000;3320.90000000;1.0000;trail applied;true
60;2025.05.29 02:15:00;3336.84000000;3303.12000000;1.1400;trail applied;true
70;2025.05.30 13:40:00;3299.26000000;3297.10000000;1.3679;trail applied;true
76;2025.05.30 16:55:00;3296.14000000;3289.44000000;1.5662;trail applied;true
78;2025.06.09 09:25:00;3293.58000000;3306.26000000;1.1601;trail applied;true
80;2025.06.11 20:15:00;3364.25000000;3344.69000000;1.0584;trail applied;true
90;2025.06.12 10:35:00;3375.58000000;3369.83000000;1.4060;trail applied;true
92;2025.06.12 15:40:00;3362.01000000;3375.74000000;1.1033;trail applied;true
98;2025.07.03 16:05:00;3315.51000000;3321.47000000;1.3682;trail applied;true
106;2025.07.04 07:10:00;3325.87000000;3332.74000000;1.1662;trail applied;true
108;2025.07.09 06:05:00;3326.85000000;3305.59000000;1.0110;trail applied;true
112;2025.07.11 09:20:00;3332.37000000;3337.22000000;1.1600;trail applied;true
118;2025.07.11 10:35:00;3332.37000000;3333.78000000;1.2826;trail applied;true
120;2025.07.11 13:40:00;3332.83000000;3339.82000000;1.0423;trail applied;true
132;2025.07.21 03:35:00;3347.60000000;3350.05000000;1.4625;trail applied;true
134;2025.08.01 20:10:00;3341.38000000;3345.48000000;1.0124;trail applied;true
136;2025.08.11 12:15:00;3368.64000000;3362.40000000;1.0654;trail applied;true
138;2025.08.11 15:35:00;3363.81000000;3354.23000000;1.0564;trail applied;true
140;2025.08.11 16:10:00;3356.96000000;3353.93000000;1.1515;trail applied;true
148;2025.08.12 03:15:00;3341.26000000;3346.40000000;1.0099;trail applied;true
150;2025.08.12 22:10:00;3350.57000000;3348.38000000;1.3070;trail applied;true
154;2025.08.20 15:20:00;3323.84000000;3329.83000000;1.1857;trail applied;true
158;2025.08.22 07:55:00;3338.39000000;3333.21000000;1.0276;trail applied;true
