ticket;time;old_stop;new_stop;fav_r;reason;modify_ok
4;2025.03.05 18:25:00;2907.06000000;2918.26000000;1.0537;trail applied;true
6;2025.03.05 19:50:00;2930.07000000;2922.71000000;1.0014;trail applied;true
8;2025.03.11 07:00:00;2895.93000000;2898.03000000;1.2379;trail applied;true
12;2025.03.11 10:35:00;2895.93000000;2898.03000000;1.9612;trail applied;true
12;2025.03.11 11:15:00;2898.03000000;2899.89000000;2.0291;trail applied;true
14;2025.03.21 21:25:00;3010.00000000;3014.21000000;1.0121;trail applied;true
18;2025.03.27 16:25:00;3050.81000000;3046.00000000;1.6589;trail applied;true
22;2025.03.28 04:50:00;3033.44000000;3051.79000000;1.1634;trail applied;true
22;2025.04.03 21:50:00;3051.79000000;3054.02000000;3.0828;trail applied;true
22;2025.04.04 13:00:00;3054.02000000;3081.48000000;2.2740;trail applied;true
24;2025.04.04 18:30:00;3114.87000000;3069.49000000;1.0539;trail applied;true
28;2025.04.10 17:40:00;3078.43000000;3114.72000000;1.0863;trail applied;true
28;2025.04.11 11:20:00;3114.72000000;3119.47000000;2.9626;trail applied;true
28;2025.04.21 01:55:00;3119.47000000;3124.76000000;6.5056;trail applied;true
28;2025.04.21 03:10:00;3124.76000000;3143.77000000;6.7780;trail applied;true
28;2025.04.21 03:25:00;3143.77000000;3158.13000000;6.7923;trail applied;true
28;2025.04.21 04:15:00;3158.13000000;3170.24000000;7.3494;trail applied;true
28;2025.04.21 10:00:00;3170.24000000;3177.66000000;7.8302;trail applied;true
28;2025.04.21 10:10:00;3177.66000000;3183.12000000;7.8836;trail applied;true
28;2025.04.21 10:35:00;3183.12000000;3183.33000000;7.9171;trail applied;true
28;2025.04.21 10:50:00;3183.33000000;3183.60000000;7.8061;trail applied;true
28;2025.04.21 11:15:00;3183.60000000;3185.54000000;7.6352;trail applied;true
28;2025.04.21 11:30:00;3185.54000000;3218.01000000;7.7566;trail applied;true
28;2025.04.21 21:40:00;3218.01000000;3229.16000000;8.7847;trail applied;true
28;2025.04.22 13:55:00;3229.16000000;3270.89000000;9.6526;trail applied;true
40;2025.04.24 18:35:00;3322.21000000;3325.11000000;2.7323;trail applied;true
46;2025.04.25 07:00:00;3347.01000000;3338.19000000;1.8162;trail applied;true
46;2025.04.28 02:40:00;3338.19000000;3336.87000000;3.8382;trail applied;true
46;2025.04.28 03:25:00;3336.87000000;3313.56000000;3.7006;trail applied;true
52;2025.05.05 15:50:00;3283.12000000;3302.63000000;1.0575;trail applied;true
52;2025.05.06 04:50:00;3302.63000000;3337.54000000;4.1474;trail applied;true
52;2025.05.06 07:00:00;3337.54000000;3346.23000000;3.2378;trail applied;true
52;2025.05.06 07:40:00;3346.23000000;3347.69000000;3.0162;trail applied;true
52;2025.05.06 08:35:00;3347.69000000;3349.84000000;3.0167;trail applied;true
54;2025.05.12 13:45:00;3253.36000000;3230.74000000;1.0194;trail applied;true
56;2025.05.20 22:45:00;3250.41000000;3271.49000000;1.0102;trail applied;true
60;2025.05.28 12:50:00;3316.09000000;3320.90000000;1.0000;trail applied;true
