ticket;time;old_stop;new_stop;fav_r;reason;modify_ok
6;2025.03.06 10:05:00;2930.07000000;2926.87000000;2.2701;trail applied;true
12;2025.03.11 11:15:00;2895.93000000;2899.89000000;2.0291;trail applied;true
14;2025.03.21 23:25:00;3010.00000000;3010.43000000;2.0387;trail applied;true
20;2025.04.03 19:35:00;3033.44000000;3034.92000000;3.2318;trail applied;true
20;2025.04.03 21:40:00;3034.92000000;3038.26000000;2.9728;trail applied;true
20;2025.04.03 21:50:00;3038.26000000;3054.02000000;3.0828;trail applied;true
20;2025.04.04 13:00:00;3054.02000000;3081.48000000;2.2740;trail applied;true
22;2025.04.07 02:35:00;3114.87000000;3090.78000000;2.0897;trail applied;true
22;2025.04.07 03:15:00;3090.78000000;3087.46000000;2.2524;trail applied;true
26;2025.04.11 01:35:00;3078.43000000;3085.06000000;2.0995;trail applied;true
26;2025.04.11 02:35:00;3085.06000000;3103.13000000;2.0930;trail applied;true
26;2025.04.11 03:15:00;3103.13000000;3104.87000000;2.1490;trail applied;true
26;2025.04.11 11:20:00;3104.87000000;3119.47000000;2.9626;trail applied;true
26;2025.04.21 01:55:00;3119.47000000;3124.76000000;6.5056;trail applied;true
26;2025.04.21 03:10:00;3124.76000000;3143.77000000;6.7780;trail applied;true
26;2025.04.21 03:25:00;3143.77000000;3158.13000000;6.7923;trail applied;true
26;2025.04.21 04:15:00;3158.13000000;3170.24000000;7.3494;trail applied;true
26;2025.04.21 10:00:00;3170.24000000;3177.66000000;7.8302;trail applied;true
26;2025.04.21 10:10:00;3177.66000000;3183.12000000;7.8836;trail applied;true
26;2025.04.21 10:35:00;3183.12000000;3183.33000000;7.9171;trail applied;true
26;2025.04.21 10:50:00;3183.33000000;3183.60000000;7.8061;trail applied;true
26;2025.04.21 11:15:00;3183.60000000;3185.54000000;7.6352;trail applied;true
26;2025.04.21 11:30:00;3185.54000000;3218.01000000;7.7566;trail applied;true
26;2025.04.21 21:40:00;3218.01000000;3229.16000000;8.7847;trail applied;true
26;2025.04.22 13:55:00;3229.16000000;3270.89000000;9.6526;trail applied;true
38;2025.04.24 18:35:00;3322.21000000;3325.11000000;2.7323;trail applied;true
44;2025.04.28 02:40:00;3347.01000000;3336.87000000;3.8382;trail applied;true
44;2025.04.28 03:25:00;3336.87000000;3313.56000000;3.7006;trail applied;true
50;2025.05.06 04:05:00;3283.12000000;3292.12000000;2.5112;trail applied;true
50;2025.05.06 04:50:00;3292.12000000;3337.54000000;4.1474;trail applied;true
50;2025.05.06 07:00:00;3337.54000000;3346.23000000;3.2378;trail applied;true
50;2025.05.06 07:40:00;3346.23000000;3347.69000000;3.0162;trail applied;true
50;2025.05.06 08:35:00;3347.69000000;3349.84000000;3.0167;trail applied;true
54;2025.05.21 10:25:00;3250.41000000;3252.13000000;2.0614;trail applied;true
70;2025.05.30 13:55:00;3299.26000000;3299.24000000;2.1651;trail applied;true
70;2025.05.30 14:20:00;3299.24000000;3297.31000000;2.5047;trail applied;true
70;2025.05.30 15:05:00;3297.31000000;3294.89000000;4.1274;trail applied;true
88;2025.06.12 10:40:00;3375.58000000;3373.63000000;3.6667;trail applied;true
116;2025.07.11 11:55:00;3332.37000000;3332.83000000;4.2246;trail applied;true
130;2025.07.21 04:10:00;3347.60000000;3356.11000000;3.1458;trail applied;true
132;2025.07.21 16:00:00;3350.72000000;3356.11000000;2.0284;trail applied;true
132;2025.07.21 19:05:00;3356.11000000;3363.09000000;2.9205;trail applied;true
134;2025.08.11 01:35:00;3341.38000000;3342.99000000;12.2836;trail applied;true
134;2025.08.11 02:55:00;3342.99000000;3358.24000000;12.0473;trail applied;true
136;2025.08.11 14:30:00;3368.64000000;3363.81000000;2.0229;trail applied;true
136;2025.08.11 16:15:00;3363.81000000;3358.77000000;2.2614;trail applied;true
150;2025.08.20 17:50:00;3323.84000000;3348.00000000;3.4974;trail applied;true
158;2025.08.29 18:45:00;3325.11000000;3330.40000000;2.6068;trail applied;true
158;2025.08.29 18:55:00;3330.40000000;3331.19000000;2.6091;trail applied;true
158;2025.09.01 02:25:00;3331.19000000;3331.86000000;2.6080;trail applied;true
158;2025.09.01 02:40:00;3331.86000000;3354.10000000;2.5841;trail applied;true
158;2025.09.01 02:55:00;3354.10000000;3356.06000000;2.6610;trail applied;true
158;2025.09.01 03:00:00;3356.06000000;3358.22000000;2.6401;trail applied;true
158;2025.09.01 03:05:00;3358.22000000;3377.90000000;2.6162;trail applied;true
158;2025.09.03 09:35:00;3377.90000000;3388.85000000;5.2295;trail applied;true
158;2025.09.03 11:00:00;3388.85000000;3390.12000000;5.1867;trail applied;true
158;2025.09.04 07:40:00;3390.12000000;3398.78000000;5.0719;trail applied;true
158;2025.09.05 02:15:00;3398.78000000;3404.37000000;5.3944;trail applied;true
158;2025.09.05 03:05:00;3404.37000000;3406.69000000;5.8150;trail applied;true
158;2025.09.05 07:10:00;3406.69000000;3416.15000000;5.8566;trail applied;true
158;2025.09.05 09:00:00;3416.15000000;3417.44000000;5.8657;trail applied;true
158;2025.09.08 05:25:00;3417.44000000;3442.17000000;6.8342;trail applied;true
158;2025.09.08 13:00:00;3442.17000000;3444.69000000;7.5370;trail applied;true
158;2025.09.08 16:20:00;3444.69000000;3474.02000000;8.0144;trail applied;true
158;2025.09.08 20:35:00;3474.02000000;3482.63000000;8.1912;trail applied;true
158;2025.09.09 13:00:00;3482.63000000;3492.59000000;8.7016;trail applied;true
158;2025.09.09 13:30:00;3492.59000000;3494.89000000;8.6816;trail applied;true
158;2025.09.09 16:30:00;3494.89000000;3495.93000000;8.9169;trail applied;true
158;2025.09.10 03:30:00;3495.93000000;3507.99000000;7.9340;trail applied;true
158;2025.09.10 03:40:00;3507.99000000;3529.68000000;7.9708;trail applied;true
158;2025.09.10 06:00:00;3529.68000000;3548.57000000;8.1956;trail applied;true
158;2025.09.11 02:05:00;3548.57000000;3561.26000000;8.2842;trail applied;true
158;2025.09.11 04:20:00;3561.26000000;3561.86000000;8.4704;trail applied;true
158;2025.09.11 04:30:00;3561.86000000;3568.20000000;8.5337;trail applied;true
158;2025.09.11 06:40:00;3568.20000000;3574.72000000;8.0863;trail applied;true
158;2025.09.15 01:25:00;3574.72000000;3584.11000000;8.3641;trail applied;true
158;2025.09.15 02:50:00;3584.11000000;3594.02000000;8.2109;trail applied;true
158;2025.09.15 18:30:00;3594.02000000;3595.21000000;9.0925;trail applied;true
158;2025.09.15 19:05:00;3595.21000000;3606.43000000;9.4789;trail applied;true
158;2025.09.15 19:10:00;3606.43000000;3608.68000000;9.5172;trail applied;true
158;2025.09.15 20:10:00;3608.68000000;3638.36000000;9.5040;trail applied;true
158;2025.09.16 02:35:00;3638.36000000;3656.40000000;9.4206;trail applied;true
162;2025.09.23 18:15:00;3651.47000000;3685.55000000;27.4844;trail applied;true
