ticket;time;old_stop;new_stop;fav_r;reason;modify_ok
6;2025.03.06 10:05:00;2930.07000000;2920.71000000;2.2701;trail applied;true
6;2025.03.06 13:20:00;2920.71000000;2905.21000000;3.2784;trail applied;true
12;2025.03.17 17:55:00;2895.93000000;2906.00000000;49.7573;trail applied;true
12;2025.03.20 01:00:00;2906.00000000;2912.51000000;72.6990;trail applied;true
12;2025.03.20 01:20:00;2912.51000000;2916.61000000;73.8398;trail applied;true
12;2025.03.20 03:30:00;2916.61000000;2917.94000000;76.3786;trail applied;true
12;2025.03.20 04:00:00;2917.94000000;2923.10000000;75.5437;trail applied;true
12;2025.03.20 04:10:00;2923.10000000;2923.51000000;75.8592;trail applied;true
12;2025.03.20 04:40:00;2923.51000000;2941.07000000;76.4369;trail applied;true
12;2025.03.20 23:30:00;2941.07000000;2945.68000000;71.4320;trail applied;true
12;2025.03.21 02:30:00;2945.68000000;2947.56000000;71.4903;trail applied;true
12;2025.03.21 02:55:00;2947.56000000;2950.99000000;71.8350;trail applied;true
12;2025.03.21 03:10:00;2950.99000000;2952.54000000;72.3447;trail applied;true
12;2025.03.21 03:30:00;2952.54000000;2999.79000000;70.9660;trail applied;true
14;2025.03.21 23:25:00;3010.00000000;3015.93000000;2.0387;trail applied;true
14;2025.03.24 04:10:00;3015.93000000;3017.12000000;2.0896;trail applied;true
20;2025.03.31 01:05:00;3033.44000000;3054.17000000;2.3457;trail applied;true
26;2025.04.17 12:20:00;3078.43000000;3090.74000000;5.9174;trail applied;true
26;2025.04.17 13:50:00;3090.74000000;3151.54000000;6.0475;trail applied;true
26;2025.04.21 04:15:00;3151.54000000;3162.55000000;7.3494;trail applied;true
26;2025.04.21 07:35:00;3162.55000000;3168.44000000;7.3359;trail applied;true
26;2025.04.21 10:00:00;3168.44000000;3183.12000000;7.8302;trail applied;true
26;2025.04.21 11:15:00;3183.12000000;3216.90000000;7.6352;trail applied;true
26;2025.04.22 17:45:00;3216.90000000;3311.02000000;9.0523;trail applied;true
48;2025.05.06 04:05:00;3283.12000000;3337.54000000;2.5112;trail applied;true
48;2025.05.06 09:35:00;3337.54000000;3342.39000000;3.2656;trail applied;true
52;2025.05.21 04:05:00;3250.41000000;3252.13000000;2.1118;trail applied;true
68;2025.05.30 15:10:00;3299.26000000;3296.14000000;3.8396;trail applied;true
74;2025.05.30 17:45:00;3296.14000000;3287.30000000;2.4581;trail applied;true
114;2025.07.11 11:55:00;3332.37000000;3332.83000000;4.2246;trail applied;true
116;2025.07.11 15:40:00;3332.83000000;3344.39000000;2.0029;trail applied;true
116;2025.07.11 20:55:00;3344.39000000;3349.25000000;2.0000;trail applied;true
116;2025.07.11 23:40:00;3349.25000000;3353.56000000;2.4628;trail applied;true
128;2025.07.21 05:30:00;3347.60000000;3353.89000000;3.0458;trail applied;true
132;2025.08.04 17:40:00;3341.38000000;3352.97000000;8.5721;trail applied;true
134;2025.08.11 14:30:00;3368.64000000;3363.81000000;2.0229;trail applied;true
134;2025.08.11 15:30:00;3363.81000000;3356.96000000;2.4804;trail applied;true
144;2025.08.12 10:40:00;3341.26000000;3342.29000000;2.3492;trail applied;true
150;2025.08.21 10:55:00;3323.84000000;3334.28000000;2.0051;trail applied;true
154;2025.08.22 15:35:00;3338.39000000;3331.06000000;2.3366;trail applied;true
156;2025.08.29 18:55:00;3325.11000000;3331.19000000;2.6091;trail applied;true
156;2025.09.01 02:25:00;3331.19000000;3358.22000000;2.6080;trail applied;true
156;2025.09.02 13:30:00;3358.22000000;3388.85000000;3.5885;trail applied;true
156;2025.09.04 13:15:00;3388.85000000;3406.69000000;5.5234;trail applied;true
156;2025.09.05 22:15:00;3406.69000000;3411.27000000;6.9720;trail applied;true
156;2025.09.08 03:50:00;3411.27000000;3412.10000000;6.8159;trail applied;true
156;2025.09.08 04:15:00;3412.10000000;3413.69000000;6.8159;trail applied;true
156;2025.09.08 04:25:00;3413.69000000;3416.38000000;6.7720;trail applied;true
156;2025.09.08 05:25:00;3416.38000000;3432.41000000;6.8342;trail applied;true
156;2025.09.08 05:50:00;3432.41000000;3444.69000000;6.8053;trail applied;true
156;2025.09.08 16:20:00;3444.69000000;3480.67000000;8.0144;trail applied;true
156;2025.09.09 13:30:00;3480.67000000;3544.76000000;8.6816;trail applied;true
156;2025.09.11 02:05:00;3544.76000000;3568.20000000;8.2842;trail applied;true
156;2025.09.15 01:25:00;3568.20000000;3580.90000000;8.3641;trail applied;true
156;2025.09.15 08:45:00;3580.90000000;3587.43000000;8.3988;trail applied;true
156;2025.09.15 16:55:00;3587.43000000;3613.63000000;8.9558;trail applied;true
156;2025.09.15 21:50:00;3613.63000000;3634.13000000;9.4138;trail applied;true
156;2025.09.17 02:25:00;3634.13000000;3655.20000000;9.8898;trail applied;true
160;2025.09.23 04:35:00;3651.47000000;3666.64000000;21.4956;trail applied;true
160;2025.09.29 05:30:00;3666.64000000;3667.51000000;30.6400;trail applied;true
160;2025.09.29 06:05:00;3667.51000000;3680.86000000;31.3333;trail applied;true
160;2025.09.29 09:25:00;3680.86000000;3683.73000000;35.7956;trail applied;true
160;2025.09.29 09:50:00;3683.73000000;3690.11000000;36.2400;trail applied;true
160;2025.09.29 17:00:00;3690.11000000;3695.48000000;37.3600;trail applied;true
160;2025.09.29 17:20:00;3695.48000000;3696.62000000;37.9178;trail applied;true
160;2025.09.29 18:00:00;3696.62000000;3700.08000000;38.3267;trail applied;true
160;2025.09.29 18:20:00;3700.08000000;3748.33000000;37.8067;trail applied;true
160;2025.09.30 20:05:00;3748.33000000;3831.13000000;42.5756;trail applied;true
160;2025.09.30 21:25:00;3831.13000000;3839.73000000;42.1689;trail applied;true
160;2025.09.30 23:35:00;3839.73000000;3850.81000000;44.4956;trail applied;true
160;2025.10.01 01:50:00;3850.81000000;3854.61000000;45.5800;trail applied;true
160;2025.10.01 06:55:00;3854.61000000;3857.92000000;46.0578;trail applied;true
180;2025.10.28 23:45:00;4161.27000000;4084.62000000;9.9119;trail applied;true
180;2025.10.29 20:05:00;4084.62000000;4063.95000000;7.9271;trail applied;true
180;2025.11.03 20:10:00;4063.95000000;4062.32000000;7.2674;trail applied;true
180;2025.11.03 20:20:00;4062.32000000;4062.31000000;7.3875;trail applied;true
180;2025.11.03 20:40:00;4062.31000000;4043.10000000;7.1164;trail applied;true
180;2025.11.07 11:55:00;4043.10000000;4035.05000000;7.1694;trail applied;true
180;2025.11.07 12:00:00;4035.05000000;4033.87000000;7.1505;trail applied;true
180;2025.11.07 12:05:00;4033.87000000;4033.55000000;7.1269;trail applied;true
222;2025.12.10 12:35:00;4218.84000000;4209.53000000;2.1616;trail applied;true
222;2025.12.10 17:20:00;4209.53000000;4201.99000000;2.0429;trail applied;true
228;2025.12.12 19:05:00;4234.93000000;4256.80000000;16.1924;trail applied;true
228;2025.12.12 22:05:00;4256.80000000;4289.88000000;21.1615;trail applied;true
230;2025.12.19 19:50:00;4316.08000000;4329.58000000;2.3440;trail applied;true
230;2025.12.29 07:55:00;4329.58000000;4341.39000000;16.3726;trail applied;true
