ticket;time;old_stop;new_stop;fav_r;reason;modify_ok
6;2025.03.06 10:05:00;2930.07000000;2915.33000000;2.2701;trail applied;true
6;2025.03.06 10:15:00;2915.33000000;2914.64000000;2.5069;trail applied;true
6;2025.03.06 10:40:00;2914.64000000;2913.43000000;2.7202;trail applied;true
6;2025.03.06 10:45:00;2913.43000000;2913.07000000;2.6025;trail applied;true
6;2025.03.06 10:50:00;2913.07000000;2911.89000000;2.8643;trail applied;true
6;2025.03.06 10:55:00;2911.89000000;2910.92000000;3.0139;trail applied;true
6;2025.03.06 11:05:00;2910.92000000;2909.77000000;3.2244;trail applied;true
6;2025.03.06 11:15:00;2909.77000000;2909.26000000;2.7825;trail applied;true
6;2025.03.06 11:25:00;2909.26000000;2908.39000000;3.0596;trail applied;true
6;2025.03.06 11:30:00;2908.39000000;2908.00000000;3.2562;trail applied;true
6;2025.03.06 11:35:00;2908.00000000;2907.15000000;3.3573;trail applied;true
6;2025.03.06 11:40:00;2907.15000000;2904.68000000;3.7078;trail applied;true
6;2025.03.06 11:45:00;2904.68000000;2904.20000000;3.7715;trail applied;true
6;2025.03.06 11:55:00;2904.20000000;2903.13000000;3.9945;trail applied;true
6;2025.03.06 12:00:00;2903.13000000;2900.28000000;4.3934;trail applied;true
6;2025.03.06 12:15:00;2900.28000000;2899.62000000;4.2175;trail applied;true
6;2025.03.06 12:20:00;2899.62000000;2899.61000000;3.9446;trail applied;true
12;2025.03.11 10:55:00;2895.93000000;2896.38000000;2.3155;trail applied;true
12;2025.03.11 11:00:00;2896.38000000;2896.65000000;2.3398;trail applied;true
12;2025.03.11 11:10:00;2896.65000000;2897.33000000;2.6748;trail applied;true
12;2025.03.11 12:15:00;2897.33000000;2897.83000000;3.0534;trail applied;true
12;2025.03.11 12:20:00;2897.83000000;2899.27000000;3.6602;trail applied;true
12;2025.03.11 12:25:00;2899.27000000;2900.20000000;4.0000;trail applied;true
12;2025.03.11 12:30:00;2900.20000000;2901.38000000;4.5680;trail applied;true
12;2025.03.11 12:35:00;2901.38000000;2902.50000000;4.9660;trail applied;true
12;2025.03.11 12:40:00;2902.50000000;2902.51000000;4.7573;trail applied;true
12;2025.03.11 12:45:00;2902.51000000;2903.46000000;5.4757;trail applied;true
12;2025.03.11 12:50:00;2903.46000000;2904.29000000;5.9126;trail applied;true
12;2025.03.11 12:55:00;2904.29000000;2904.42000000;5.9806;trail applied;true
12;2025.03.11 13:00:00;2904.42000000;2904.69000000;5.9515;trail applied;true
12;2025.03.11 13:05:00;2904.69000000;2905.29000000;6.2864;trail applied;true
12;2025.03.11 13:10:00;2905.29000000;2905.78000000;6.6602;trail applied;true
12;2025.03.11 13:20:00;2905.78000000;2906.12000000;6.2330;trail applied;true
12;2025.03.11 13:25:00;2906.12000000;2906.45000000;6.2136;trail applied;true
12;2025.03.11 13:30:00;2906.45000000;2906.58000000;6.3350;trail applied;true
12;2025.03.11 13:50:00;2906.58000000;2906.87000000;6.9515;trail applied;true
12;2025.03.11 13:55:00;2906.87000000;2907.03000000;6.8447;trail applied;true
12;2025.03.11 14:00:00;2907.03000000;2907.38000000;6.9660;trail applied;true
12;2025.03.11 14:05:00;2907.38000000;2908.20000000;7.3689;trail applied;true
12;2025.03.11 14:15:00;2908.20000000;2908.23000000;7.0437;trail applied;true
12;2025.03.11 14:20:00;2908.23000000;2908.45000000;7.2670;trail applied;true
12;2025.03.11 14:25:00;2908.45000000;2908.83000000;7.5825;trail applied;true
12;2025.03.11 14:30:00;2908.83000000;2909.23000000;7.8738;trail applied;true
12;2025.03.11 14:50:00;2909.23000000;2909.50000000;8.0049;trail applied;true
12;2025.03.11 14:55:00;2909.50000000;2909.54000000;7.8932;trail applied;true
12;2025.03.11 15:00:00;2909.54000000;2909.80000000;7.3350;trail applied;true
12;2025.03.11 15:05:00;2909.80000000;2909.95000000;7.0874;trail applied;true
12;2025.03.11 15:35:00;2909.95000000;2910.77000000;8.4612;trail applied;true
12;2025.03.11 15:40:00;2910.77000000;2910.79000000;7.7767;trail applied;true
12;2025.03.11 15:50:00;2910.79000000;2911.00000000;8.4029;trail applied;true
12;2025.03.11 15:55:00;2911.00000000;2911.01000000;7.9709;trail applied;true
14;2025.03.21 23:25:00;3010.00000000;3019.31000000;2.0387;trail applied;true
14;2025.03.21 23:30:00;3019.31000000;3020.10000000;2.2107;trail applied;true
14;2025.03.21 23:35:00;3020.10000000;3020.93000000;2.3826;trail applied;true
14;2025.03.21 23:40:00;3020.93000000;3021.12000000;2.4189;trail applied;true
14;2025.03.21 23:45:00;3021.12000000;3021.18000000;2.2881;trail applied;true
14;2025.03.21 23:50:00;3021.18000000;3021.33000000;2.4504;trail applied;true
18;2025.03.27 16:40:00;3050.81000000;3046.11000000;2.3665;trail applied;true
18;2025.03.27 16:45:00;3046.11000000;3044.88000000;2.6801;trail applied;true
18;2025.03.27 16:50:00;3044.88000000;3044.77000000;2.4873;trail applied;true
22;2025.03.31 01:05:00;3033.44000000;3087.11000000;2.3457;trail applied;true
22;2025.03.31 01:10:00;3087.11000000;3090.27000000;2.5848;trail applied;true
24;2025.04.07 02:35:00;3114.87000000;3002.11000000;2.0897;trail applied;true
24;2025.04.07 02:40:00;3002.11000000;3002.06000000;2.1090;trail applied;true
30;2025.04.11 01:35:00;3078.43000000;3178.98000000;2.0995;trail applied;true
30;2025.04.11 01:50:00;3178.98000000;3180.40000000;2.1476;trail applied;true
30;2025.04.11 02:55:00;3180.40000000;3180.79000000;2.1574;trail applied;true
30;2025.04.11 03:00:00;3180.79000000;3181.56000000;2.1728;trail applied;true
30;2025.04.11 03:05:00;3181.56000000;3182.11000000;2.1341;trail applied;true
30;2025.04.11 03:10:00;3182.11000000;3182.70000000;2.0604;trail applied;true
30;2025.04.11 03:25:00;3182.70000000;3188.92000000;2.3881;trail applied;true
30;2025.04.11 03:35:00;3188.92000000;3189.68000000;2.4635;trail applied;true
30;2025.04.11 03:40:00;3189.68000000;3195.08000000;2.6254;trail applied;true
30;2025.04.11 03:45:00;3195.08000000;3203.53000000;2.9177;trail applied;true
50;2025.04.25 07:05:00;3347.01000000;3334.73000000;2.0474;trail applied;true
50;2025.04.25 07:15:00;3334.73000000;3332.66000000;2.4382;trail applied;true
50;2025.04.25 08:10:00;3332.66000000;3329.11000000;2.0994;trail applied;true
50;2025.04.25 08:15:00;3329.11000000;3328.38000000;2.2254;trail applied;true
50;2025.04.25 08:20:00;3328.38000000;3327.83000000;2.4162;trail applied;true
50;2025.04.25 08:25:00;3327.83000000;3327.20000000;2.5827;trail applied;true
50;2025.04.25 08:30:00;3327.20000000;3327.15000000;2.3711;trail applied;true
50;2025.04.25 08:35:00;3327.15000000;3323.63000000;3.0775;trail applied;true
50;2025.04.25 08:45:00;3323.63000000;3319.28000000;3.6497;trail applied;true
50;2025.04.25 08:50:00;3319.28000000;3313.18000000;4.4809;trail applied;true
50;2025.04.25 08:55:00;3313.18000000;3303.90000000;5.9225;trail applied;true
56;2025.05.06 04:05:00;3283.12000000;3336.03000000;2.5112;trail applied;true
56;2025.05.06 04:10:00;3336.03000000;3343.12000000;2.9754;trail applied;true
56;2025.05.06 04:15:00;3343.12000000;3347.63000000;3.2666;trail applied;true
56;2025.05.06 04:40:00;3347.63000000;3348.54000000;3.5572;trail applied;true
56;2025.05.06 04:45:00;3348.54000000;3358.12000000;4.1573;trail applied;true
56;2025.05.06 05:15:00;3358.12000000;3360.93000000;4.2525;trail applied;true
56;2025.05.06 05:20:00;3360.93000000;3364.52000000;4.3633;trail applied;true
56;2025.05.06 05:25:00;3364.52000000;3365.96000000;4.4313;trail applied;true
56;2025.05.06 05:30:00;3365.96000000;3366.41000000;4.2488;trail applied;true
60;2025.05.21 08:45:00;3250.41000000;3305.77000000;2.0373;trail applied;true
60;2025.05.21 08:50:00;3305.77000000;3306.31000000;2.1582;trail applied;true
60;2025.05.21 08:55:00;3306.31000000;3309.41000000;2.3498;trail applied;true
60;2025.05.21 10:00:00;3309.41000000;3309.43000000;2.3996;trail applied;true
60;2025.05.21 10:05:00;3309.43000000;3309.87000000;2.3696;trail applied;true
60;2025.05.21 10:10:00;3309.87000000;3309.90000000;2.1896;trail applied;true
60;2025.05.21 10:15:00;3309.90000000;3310.21000000;2.1209;trail applied;true
76;2025.05.30 13:55:00;3299.26000000;3298.67000000;2.1651;trail applied;true
