cluster_id;strategy_id;symbol;timeframe;direction;signal_time;fill_time;close_time;entry;stop;target;exit;exit_reason;r_result;mfe_r;mae_r;bars_held;session
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1741189500|MSZZ|XAUUSD|5|0|-1|1741189200|1741189200;1010;XAUUSD;PERIOD_M5;SHORT;2025.03.05 15:45:00;2025.03.05 15:50:00;2025.03.05 16:44:57;2896.23000000;2917.24000000;0.00000000;2917.24000000;SL;-1.0000;0.1076;-0.9990;10;London
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1741194300|MSZZ|XAUUSD|5|0|1|1741192500|1741192500;1010;XAUUSD;PERIOD_M5;LONG;2025.03.05 17:05:00;2025.03.05 17:10:00;2025.03.05 19:05:00;2918.04000000;2907.06000000;0.00000000;2922.85000000;OTHER;0.4381;1.0956;-0.3515;23;NewYork
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1741201200|MSZZ|XAUUSD|5|0|-1|1741200900|1741200900;1010;XAUUSD;PERIOD_M5;SHORT;2025.03.05 19:00:00;2025.03.05 19:05:00;2025.03.05 22:29:58;2922.85000000;2930.07000000;0.00000000;2922.71000000;OTHER;0.0194;1.6039;-0.0208;40;NewYork
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1741674300|MSZZ|XAUUSD|5|0|1|1741674000|1741674000;1010;XAUUSD;PERIOD_M5;LONG;2025.03.11 06:25:00;2025.03.11 06:30:00;2025.03.11 07:09:58;2897.99000000;2895.93000000;0.00000000;2898.03000000;OTHER;0.0194;1.2379;-0.9563;7;Asian
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1741683300|MSZZ|XAUUSD|5|0|1|1741674000|1741674000;1010;XAUUSD;PERIOD_M5;LONG;2025.03.11 08:55:00;2025.03.11 09:00:00;2025.03.11 09:44:58;2897.83000000;2895.93000000;0.00000000;2895.93000000;SL;-1.0000;0.6421;-1.0789;8;London
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1741688700|MSZZ|XAUUSD|5|0|1|1741687200|1741687200;1010;XAUUSD;PERIOD_M5;LONG;2025.03.11 10:25:00;2025.03.11 10:30:00;2025.03.11 11:19:57;2897.99000000;2895.93000000;0.00000000;2899.02000000;OTHER;0.5000;2.6748;-0.3107;9;London
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1742586300|MSZZ|XAUUSD|5|0|1|1742583900|1742583900;1010;XAUUSD;PERIOD_M5;LONG;2025.03.21 19:45:00;2025.03.21 19:50:00;2025.03.24 05:49:58;3014.13000000;3010.00000000;0.00000000;3016.20000000;OTHER;0.5012;2.9467;-0.2930;695;NewYork
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1743083100|MSZZ|XAUUSD|5|0|1|1743081900|1743081900;1010;XAUUSD;PERIOD_M5;LONG;2025.03.27 13:45:00;2025.03.27 13:50:00;2025.03.27 16:14:58;3054.40000000;3045.75000000;0.00000000;3045.75000000;SL;-1.0000;0.1803;-1.0936;28;London
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1743091800|MSZZ|XAUUSD|5|0|-1|1743091200|1743091200;1010;XAUUSD;PERIOD_M5;SHORT;2025.03.27 16:10:00;2025.03.27 16:15:00;2025.03.27 17:04:57;3046.09000000;3050.81000000;0.00000000;3043.73000000;OTHER;0.5000;2.6801;-0.1144;9;NewYork
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1743095100|MSZZ|XAUUSD|5|0|-1|1743091800|1743091800;1010;XAUUSD;PERIOD_M5;SHORT;2025.03.27 17:05:00;2025.03.27 17:10:00;2025.03.27 17:24:58;3043.12000000;3050.81000000;0.00000000;3050.81000000;SL;-1.0000;0.0949;-1.0013;2;NewYork
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1743096600|MSZZ|XAUUSD|5|0|1|1743081300|1743081300;1010;XAUUSD;PERIOD_M5;LONG;2025.03.27 17:30:00;2025.03.27 17:35:00;2025.04.01 19:19:58;3051.43000000;3033.44000000;0.00000000;3105.40000000;OTHER;3.0000;5.4263;-0.2046;1460;NewYork
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1743781800|MSZZ|XAUUSD|5|0|-1|1743780900|1743780900;1010;XAUUSD;PERIOD_M5;SHORT;2025.04.04 15:50:00;2025.04.04 15:55:00;2025.04.07 04:39:58;3070.38000000;3114.87000000;0.00000000;3048.14000000;OTHER;0.4999;2.2524;-0.3839;728;London
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1744008300|MSZZ|XAUUSD|5|0|-1|1743780900|1743780900;1010;XAUUSD;PERIOD_M5;SHORT;2025.04.07 06:45:00;2025.04.07 06:50:00;2025.04.10 03:30:00;3019.54000000;3114.87000000;0.00000000;3096.33000000;OTHER;-0.8055;0.6646;-0.8483;824;Asian
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1744255500|MSZZ|XAUUSD|5|0|1|1744255200|1744255200;1010;XAUUSD;PERIOD_M5;LONG;2025.04.10 03:25:00;2025.04.10 03:30:00;2025.04.10 04:39:58;3096.33000000;3081.36000000;0.00000000;3081.36000000;SL;-1.0000;0.3373;-1.1957;13;Asian
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1744262400|MSZZ|XAUUSD|5|0|1|1744261800|1744261800;1010;XAUUSD;PERIOD_M5;LONG;2025.04.10 05:20:00;2025.04.10 05:25:00;2025.04.23 09:59:57;3114.01000000;3078.43000000;0.00000000;3291.91000000;OTHER;5.0000;10.8482;-0.3058;3798;Asian
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1745476200|MSZZ|XAUUSD|5|0|-1|1744759200|1744759500;1010;XAUUSD;PERIOD_M5;SHORT;2025.04.24 06:30:00;2025.04.24 06:35:00;2025.04.24 17:45:00;3323.12000000;3367.41000000;0.00000000;3326.65000000;OTHER;-0.0797;0.3685;-0.4857;134;Asian
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1745516400|MSZZ|XAUUSD|5|0|1|1745502900|1745502900;1010;XAUUSD;PERIOD_M5;LONG;2025.04.24 17:40:00;2025.04.24 17:45:00;2025.04.24 18:05:00;3326.65000000;3322.21000000;0.00000000;3322.58000000;OTHER;-0.9167;0.8491;-0.9617;4;NewYork
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1745517600|MSZZ|XAUUSD|5|0|-1|1745511600|1745511600;1010;XAUUSD;PERIOD_M5;SHORT;2025.04.24 18:00:00;2025.04.24 18:05:00;2025.04.24 18:10:00;3322.58000000;3344.63000000;0.00000000;3325.35000000;OTHER;-0.1256;0.0091;-0.2118;1;NewYork
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1745517900|MSZZ|XAUUSD|5|0|1|1745502900|1745502900;1010;XAUUSD;PERIOD_M5;LONG;2025.04.24 18:05:00;2025.04.24 18:10:00;2025.04.24 18:19:58;3325.35000000;3322.21000000;0.00000000;3322.21000000;SL;-1.0000;0.7643;-1.8535;1;NewYork
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1745518500|MSZZ|XAUUSD|5|0|-1|1745511600|1745511600;1010;XAUUSD;PERIOD_M5;SHORT;2025.04.24 18:15:00;2025.04.24 18:20:00;2025.04.24 18:30:00;3320.89000000;3344.63000000;0.00000000;3324.19000000;OTHER;-0.1390;0.0560;-0.3669;2;NewYork
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1745519100|MSZZ|XAUUSD|5|0|1|1745502900|1745502900;1010;XAUUSD;PERIOD_M5;LONG;2025.04.24 18:25:00;2025.04.24 18:30:00;2025.04.24 18:39:58;3324.19000000;3322.21000000;0.00000000;3325.18000000;OTHER;0.5000;2.7424;-0.1263;1;NewYork
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1745544300|MSZZ|XAUUSD|5|0|1|1745542800|1745542800;1010;XAUUSD;PERIOD_M5;LONG;2025.04.25 01:25:00;2025.04.25 01:30:00;2025.04.25 04:55:00;3363.46000000;3333.46000000;0.00000000;3344.22000000;OTHER;-0.6413;0.2437;-0.6810;41;Asian
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1745556600|MSZZ|XAUUSD|5|0|-1|1745554800|1745554800;1010;XAUUSD;PERIOD_M5;SHORT;2025.04.25 04:50:00;2025.04.25 04:55:00;2025.04.25 04:59:57;3344.22000000;3347.01000000;0.00000000;3347.01000000;SL;-1.0000;0.4265;-0.9892;0;Asian
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1745563500|MSZZ|XAUUSD|5|0|-1|1745554800|1745554800;1010;XAUUSD;PERIOD_M5;SHORT;2025.04.25 06:45:00;2025.04.25 06:50:00;2025.04.25 10:19:58;3338.36000000;3347.01000000;0.00000000;3312.41000000;OTHER;3.0000;5.9225;-0.0185;41;Asian
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1745616900|MSZZ|XAUUSD|5|0|-1|1745554800|1745554800;1010;XAUUSD;PERIOD_M5;SHORT;2025.04.25 21:35:00;2025.04.25 21:40:00;2025.04.28 21:29:58;3291.29000000;3347.01000000;0.00000000;3347.01000000;SL;-1.0000;0.4144;-1.0513;861;NewYork
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1746201600|MSZZ|XAUUSD|5|0|-1|1746053700|1746053700;1010;XAUUSD;PERIOD_M5;SHORT;2025.05.02 16:00:00;2025.05.02 16:05:00;2025.05.05 12:30:00;3244.12000000;3313.67000000;0.00000000;3302.25000000;OTHER;-0.8358;0.3067;-0.8809;821;NewYork
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1746447900|MSZZ|XAUUSD|5|0|1|1746447600|1746447600;1010;XAUUSD;PERIOD_M5;LONG;2025.05.05 12:25:00;2025.05.05 12:30:00;2025.05.08 08:54:58;3302.25000000;3283.12000000;0.00000000;3359.64000000;OTHER;3.0000;7.1432;-0.1333;820;London
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1747045500|MSZZ|XAUUSD|5|0|-1|1747045200|1747045200;1010;XAUUSD;PERIOD_M5;SHORT;2025.05.12 10:25:00;2025.05.12 10:30:00;2025.05.12 15:24:58;3231.18000000;3253.36000000;0.00000000;3230.74000000;OTHER;0.0198;1.0555;-0.2642;58;London
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1747760400|MSZZ|XAUUSD|5|0|1|1747760100|1747760100;1010;XAUUSD;PERIOD_M5;LONG;2025.05.20 17:00:00;2025.05.20 17:05:00;2025.05.22 13:09:57;3271.08000000;3250.41000000;0.00000000;3302.09000000;OTHER;1.5002;3.5965;-0.0348;528;NewYork
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1748413200|MSZZ|XAUUSD|5|0|-1|1748412900|1748412900;1010;XAUUSD;PERIOD_M5;SHORT;2025.05.28 06:20:00;2025.05.28 06:25:00;2025.05.28 11:50:00;3296.02000000;3336.84000000;0.00000000;3320.81000000;OTHER;-0.6073;0.1061;-0.6801;65;Asian
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1748432700|MSZZ|XAUUSD|5|0|1|1748428800|1748428800;1010;XAUUSD;PERIOD_M5;LONG;2025.05.28 11:45:00;2025.05.28 11:50:00;2025.05.28 13:14:58;3320.81000000;3316.09000000;0.00000000;3320.90000000;OTHER;0.0191;1.0000;-0.3093;16;London
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1748450100|MSZZ|XAUUSD|5|0|-1|1748448900|1748448900;1010;XAUUSD;PERIOD_M5;SHORT;2025.05.28 16:35:00;2025.05.28 16:40:00;2025.05.29 14:34:58;3303.78000000;3336.84000000;0.00000000;3303.12000000;OTHER;0.0200;1.7635;-0.1591;262;NewYork
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1748545200|MSZZ|XAUUSD|5|0|1|1748275200|1748275200;1010;XAUUSD;PERIOD_M5;LONG;2025.05.29 19:00:00;2025.05.29 19:05:00;2025.05.29 22:44:58;3326.39000000;3316.09000000;0.00000000;3316.09000000;SL;-1.0000;0.4709;-1.0534;43;NewYork
