ticket;time;old_stop;new_stop;fav_r;reason;modify_ok
4;2025.03.05 18:25:00;2907.06000000;2918.26000000;1.0537;trail applied;true
6;2025.03.05 19:50:00;2930.07000000;2922.71000000;1.0014;trail applied;true
8;2025.03.11 07:00:00;2895.93000000;2898.03000000;1.2379;trail applied;true
12;2025.03.11 10:35:00;2895.93000000;2898.03000000;1.9612;trail applied;true
12;2025.03.11 10:55:00;2898.03000000;2899.02000000;2.3155;trail applied;true
14;2025.03.21 21:25:00;3010.00000000;3014.21000000;1.0121;trail applied;true
14;2025.03.21 23:25:00;3014.21000000;3016.20000000;2.0387;trail applied;true
18;2025.03.27 16:25:00;3050.81000000;3046.00000000;1.6589;trail applied;true
18;2025.03.27 16:40:00;3046.00000000;3043.73000000;2.3665;trail applied;true
22;2025.03.28 04:50:00;3033.44000000;3051.79000000;1.1634;trail applied;true
22;2025.03.31 01:05:00;3051.79000000;3060.43000000;2.3457;trail applied;true
22;2025.03.31 05:25:00;3060.43000000;3078.42000000;3.0795;trail applied;true
22;2025.04.01 05:30:00;3078.42000000;3105.40000000;5.1262;trail applied;true
24;2025.04.04 18:30:00;3114.87000000;3069.49000000;1.0539;trail applied;true
24;2025.04.07 02:35:00;3069.49000000;3048.14000000;2.0897;trail applied;true
30;2025.04.10 17:40:00;3078.43000000;3114.72000000;1.0863;trail applied;true
30;2025.04.11 01:35:00;3114.72000000;3131.80000000;2.0995;trail applied;true
30;2025.04.11 11:25:00;3131.80000000;3167.38000000;3.1900;trail applied;true
30;2025.04.16 09:25:00;3167.38000000;3220.75000000;5.0222;trail applied;true
30;2025.04.21 14:40:00;3220.75000000;3291.91000000;8.0469;trail applied;true
42;2025.04.24 18:35:00;3322.21000000;3325.18000000;2.7323;trail applied;true
48;2025.04.25 07:00:00;3347.01000000;3338.19000000;1.8162;trail applied;true
48;2025.04.25 07:05:00;3338.19000000;3334.04000000;2.0474;trail applied;true
48;2025.04.25 08:35:00;3334.04000000;3325.39000000;3.0775;trail applied;true
48;2025.04.25 08:55:00;3325.39000000;3312.41000000;5.9225;trail applied;true
54;2025.05.05 15:50:00;3283.12000000;3302.63000000;1.0575;trail applied;true
54;2025.05.06 04:05:00;3302.63000000;3311.82000000;2.5112;trail applied;true
54;2025.05.06 04:15:00;3311.82000000;3330.95000000;3.2666;trail applied;true
54;2025.05.06 17:15:00;3330.95000000;3359.64000000;5.0063;trail applied;true
56;2025.05.12 13:45:00;3253.36000000;3230.74000000;1.0194;trail applied;true
58;2025.05.20 22:45:00;3250.41000000;3271.49000000;1.0102;trail applied;true
58;2025.05.21 04:05:00;3271.49000000;3281.42000000;2.1118;trail applied;true
58;2025.05.22 04:25:00;3281.42000000;3302.09000000;3.2230;trail applied;true
62;2025.05.28 12:50:00;3316.09000000;3320.90000000;1.0000;trail applied;true
64;2025.05.29 02:15:00;3336.84000000;3303.12000000;1.1400;trail applied;true
74;2025.05.30 13:40:00;3299.26000000;3297.10000000;1.3679;trail applied;true
74;2025.05.30 13:55:00;3297.10000000;3296.08000000;2.1651;trail applied;true
