ticket;time;old_stop;new_stop;fav_r;reason;modify_ok
6;2025.03.06 10:05:00;2930.07000000;2922.71000000;2.2701;trail applied;true
13;2025.03.11 10:55:00;2895.93000000;2898.03000000;2.3155;trail applied;true
16;2025.03.21 23:25:00;3010.00000000;3014.21000000;2.0387;trail applied;true
21;2025.03.27 16:40:00;3050.81000000;3046.00000000;2.3665;trail applied;true
26;2025.03.31 01:05:00;3033.44000000;3051.79000000;2.3457;trail applied;true
26;2025.04.03 21:50:00;3051.79000000;3054.02000000;3.0828;trail applied;true
26;2025.04.04 13:30:00;3054.02000000;3081.48000000;3.0884;trail applied;true
29;2025.04.07 02:35:00;3114.87000000;3069.49000000;2.0897;trail applied;true
34;2025.04.11 01:35:00;3078.43000000;3114.72000000;2.0995;trail applied;true
34;2025.04.11 12:55:00;3114.72000000;3119.47000000;3.2532;trail applied;true
34;2025.04.21 01:55:00;3119.47000000;3124.76000000;6.5056;trail applied;true
34;2025.04.21 03:10:00;3124.76000000;3143.77000000;6.7780;trail applied;true
34;2025.04.21 03:25:00;3143.77000000;3158.13000000;6.7923;trail applied;true
34;2025.04.21 04:15:00;3158.13000000;3170.24000000;7.3494;trail applied;true
34;2025.04.21 10:00:00;3170.24000000;3177.66000000;7.8302;trail applied;true
34;2025.04.21 10:10:00;3177.66000000;3183.12000000;7.8836;trail applied;true
34;2025.04.21 10:35:00;3183.12000000;3183.33000000;7.9171;trail applied;true
34;2025.04.21 10:50:00;3183.33000000;3183.60000000;7.8061;trail applied;true
34;2025.04.21 11:15:00;3183.60000000;3185.54000000;7.6352;trail applied;true
34;2025.04.21 11:30:00;3185.54000000;3218.01000000;7.7566;trail applied;true
34;2025.04.21 21:40:00;3218.01000000;3229.16000000;8.7847;trail applied;true
34;2025.04.22 13:55:00;3229.16000000;3270.89000000;9.6526;trail applied;true
47;2025.04.24 18:35:00;3322.21000000;3324.23000000;2.7323;trail applied;true
54;2025.04.25 07:05:00;3347.01000000;3338.19000000;2.0474;trail applied;true
54;2025.04.28 02:40:00;3338.19000000;3336.87000000;3.8382;trail applied;true
54;2025.04.28 03:25:00;3336.87000000;3313.56000000;3.7006;trail applied;true
61;2025.05.06 04:05:00;3283.12000000;3302.63000000;2.5112;trail applied;true
61;2025.05.06 04:50:00;3302.63000000;3337.54000000;4.1474;trail applied;true
61;2025.05.06 07:00:00;3337.54000000;3346.23000000;3.2378;trail applied;true
61;2025.05.06 07:40:00;3346.23000000;3347.69000000;3.0162;trail applied;true
61;2025.05.06 08:35:00;3347.69000000;3349.84000000;3.0167;trail applied;true
66;2025.05.21 04:05:00;3250.41000000;3271.49000000;2.1118;trail applied;true
83;2025.05.30 13:55:00;3299.26000000;3297.10000000;2.1651;trail applied;true
90;2025.05.30 17:00:00;3296.14000000;3289.44000000;2.1811;trail applied;true
93;2025.06.09 18:35:00;3293.58000000;3306.26000000;2.0185;trail applied;true
104;2025.06.12 10:40:00;3375.58000000;3369.83000000;3.6667;trail applied;true
134;2025.07.11 10:40:00;3332.37000000;3333.78000000;2.2609;trail applied;true
137;2025.07.11 15:40:00;3332.83000000;3339.82000000;2.0029;trail applied;true
150;2025.07.21 04:05:00;3347.60000000;3350.05000000;2.0750;trail applied;true
150;2025.07.21 04:10:00;3350.05000000;3356.11000000;3.1458;trail applied;true
153;2025.07.21 15:55:00;3350.72000000;3363.29000000;2.0771;trail applied;true
156;2025.08.01 22:35:00;3341.38000000;3345.48000000;3.1493;trail applied;true
159;2025.08.11 14:30:00;3368.64000000;3362.40000000;2.0229;trail applied;true
168;2025.08.12 04:10:00;3341.26000000;3346.40000000;2.0079;trail applied;true
175;2025.08.20 15:35:00;3323.84000000;3329.83000000;2.0562;trail applied;true
175;2025.08.20 17:50:00;3329.83000000;3348.00000000;3.4974;trail applied;true
182;2025.08.22 15:35:00;3338.39000000;3333.21000000;2.3366;trail applied;true
185;2025.08.29 17:00:00;3325.11000000;3359.74000000;2.0627;trail applied;true
185;2025.09.01 05:10:00;3359.74000000;3377.90000000;3.3108;trail applied;true
185;2025.09.03 09:35:00;3377.90000000;3388.85000000;5.2295;trail applied;true
185;2025.09.03 11:00:00;3388.85000000;3390.12000000;5.1867;trail applied;true
185;2025.09.04 07:40:00;3390.12000000;3398.78000000;5.0719;trail applied;true
185;2025.09.05 02:15:00;3398.78000000;3404.37000000;5.3944;trail applied;true
185;2025.09.05 03:05:00;3404.37000000;3406.69000000;5.8150;trail applied;true
185;2025.09.05 07:10:00;3406.69000000;3416.15000000;5.8566;trail applied;true
185;2025.09.05 09:00:00;3416.15000000;3417.44000000;5.8657;trail applied;true
185;2025.09.08 05:25:00;3417.44000000;3442.17000000;6.8342;trail applied;true
185;2025.09.08 13:00:00;3442.17000000;3444.69000000;7.5370;trail applied;true
185;2025.09.08 16:20:00;3444.69000000;3474.02000000;8.0144;trail applied;true
185;2025.09.08 20:35:00;3474.02000000;3482.63000000;8.1912;trail applied;true
185;2025.09.09 13:00:00;3482.63000000;3492.59000000;8.7016;trail applied;true
185;2025.09.09 13:30:00;3492.59000000;3494.89000000;8.6816;trail applied;true
185;2025.09.09 16:30:00;3494.89000000;3495.93000000;8.9169;trail applied;true
185;2025.09.10 03:30:00;3495.93000000;3507.99000000;7.9340;trail applied;true
185;2025.09.10 03:40:00;3507.99000000;3529.68000000;7.9708;trail applied;true
185;2025.09.10 06:00:00;3529.68000000;3548.57000000;8.1956;trail applied;true
185;2025.09.11 02:05:00;3548.57000000;3561.26000000;8.2842;trail applied;true
185;2025.09.11 04:20:00;3561.26000000;3561.86000000;8.4704;trail applied;true
185;2025.09.11 04:30:00;3561.86000000;3568.20000000;8.5337;trail applied;true
185;2025.09.11 06:40:00;3568.20000000;3574.72000000;8.0863;trail applied;true
185;2025.09.15 01:25:00;3574.72000000;3584.11000000;8.3641;trail applied;true
185;2025.09.15 02:50:00;3584.11000000;3594.02000000;8.2109;trail applied;true
185;2025.09.15 18:30:00;3594.02000000;3595.21000000;9.0925;trail applied;true
185;2025.09.15 19:05:00;3595.21000000;3606.43000000;9.4789;trail applied;true
185;2025.09.15 19:10:00;3606.43000000;3608.68000000;9.5172;trail applied;true
185;2025.09.15 20:10:00;3608.68000000;3638.36000000;9.5040;trail applied;true
185;2025.09.16 02:35:00;3638.36000000;3656.40000000;9.4206;trail applied;true
190;2025.09.19 17:35:00;3651.47000000;3656.06000000;2.0889;trail applied;true
190;2025.09.23 18:15:00;3656.06000000;3685.55000000;27.4844;trail applied;true
190;2025.09.29 12:10:00;3685.55000000;3690.11000000;36.3822;trail applied;true
190;2025.09.29 17:00:00;3690.11000000;3695.48000000;37.3600;trail applied;true
190;2025.09.29 17:10:00;3695.48000000;3696.43000000;38.3356;trail applied;true
190;2025.09.29 17:15:00;3696.43000000;3696.62000000;38.7444;trail applied;true
190;2025.09.29 18:00:00;3696.62000000;3700.08000000;38.3267;trail applied;true
190;2025.09.29 18:20:00;3700.08000000;3723.59000000;37.8067;trail applied;true
190;2025.09.30 03:55:00;3723.59000000;3743.00000000;40.5289;trail applied;true
190;2025.09.30 04:50:00;3743.00000000;3750.30000000;42.9356;trail applied;true
190;2025.09.30 11:05:00;3750.30000000;3767.87000000;42.4911;trail applied;true
190;2025.09.30 21:00:00;3767.87000000;3788.00000000;41.9778;trail applied;true
190;2025.10.06 15:00:00;3788.00000000;3793.17000000;63.0156;trail applied;true
190;2025.10.06 16:00:00;3793.17000000;3804.40000000;62.8089;trail applied;true
190;2025.10.06 16:15:00;3804.40000000;3857.55000000;62.2644;trail applied;true
190;2025.10.07 13:40:00;3857.55000000;3876.98000000;67.9311;trail applied;true
190;2025.10.08 19:25:00;3876.98000000;3883.06000000;88.4867;trail applied;true
190;2025.10.13 02:20:00;3883.06000000;3885.80000000;88.5622;trail applied;true
190;2025.10.13 10:00:00;3885.80000000;3888.13000000;92.0356;trail applied;true
190;2025.10.13 10:15:00;3888.13000000;3890.19000000;92.6933;trail applied;true
190;2025.10.13 10:20:00;3890.19000000;3891.91000000;92.4533;trail applied;true
190;2025.10.13 10:35:00;3891.91000000;3893.01000000;93.0600;trail applied;true
190;2025.10.13 10:45:00;3893.01000000;3900.36000000;93.2422;trail applied;true
190;2025.10.13 12:20:00;3900.36000000;3901.40000000;93.5133;trail applied;true
190;2025.10.13 13:10:00;3901.40000000;3902.39000000;93.6356;trail applied;true
190;2025.10.13 13:45:00;3902.39000000;3918.66000000;94.2200;trail applied;true
190;2025.10.13 13:55:00;3918.66000000;3922.57000000;95.4000;trail applied;true
190;2025.10.13 15:25:00;3922.57000000;3927.50000000;94.7044;trail applied;true
190;2025.10.13 15:50:00;3927.50000000;3931.07000000;93.9978;trail applied;true
190;2025.10.13 16:20:00;3931.07000000;3937.81000000;96.4378;trail applied;true
190;2025.10.13 17:35:00;3937.81000000;3975.09000000;98.3111;trail applied;true
190;2025.10.14 02:55:00;3975.09000000;3991.80000000;105.8111;trail applied;true
190;2025.10.15 13:45:00;3991.80000000;4041.80000000;120.6133;trail applied;true
190;2025.10.20 12:55:00;4041.80000000;4048.40000000;135.0422;trail applied;true
190;2025.10.20 15:15:00;4048.40000000;4049.71000000;139.4756;trail applied;true
190;2025.10.20 15:55:00;4049.71000000;4066.51000000;148.0467;trail applied;true
190;2025.10.20 18:35:00;4066.51000000;4066.85000000;154.0689;trail applied;true
