ticket;time;old_stop;new_stop;fav_r;reason;modify_ok
6;2025.03.06 10:55:00;2930.07000000;2915.63000000;3.0139;trail applied;true
13;2025.03.11 12:15:00;2895.93000000;2900.05000000;3.0534;trail applied;true
13;2025.03.17 17:55:00;2900.05000000;2906.00000000;49.7573;trail applied;true
13;2025.03.20 01:00:00;2906.00000000;2912.51000000;72.6990;trail applied;true
13;2025.03.20 01:20:00;2912.51000000;2916.61000000;73.8398;trail applied;true
13;2025.03.20 03:30:00;2916.61000000;2917.94000000;76.3786;trail applied;true
13;2025.03.20 04:00:00;2917.94000000;2923.10000000;75.5437;trail applied;true
13;2025.03.20 04:10:00;2923.10000000;2923.51000000;75.8592;trail applied;true
13;2025.03.20 04:40:00;2923.51000000;2941.07000000;76.4369;trail applied;true
13;2025.03.20 23:30:00;2941.07000000;2945.68000000;71.4320;trail applied;true
13;2025.03.21 02:30:00;2945.68000000;2947.56000000;71.4903;trail applied;true
13;2025.03.21 02:55:00;2947.56000000;2950.99000000;71.8350;trail applied;true
13;2025.03.21 03:10:00;2950.99000000;2952.54000000;72.3447;trail applied;true
13;2025.03.21 03:30:00;2952.54000000;2999.79000000;70.9660;trail applied;true
16;2025.03.24 10:10:00;3010.00000000;3018.26000000;3.0048;trail applied;true
23;2025.03.31 05:25:00;3033.44000000;3069.42000000;3.0795;trail applied;true
30;2025.04.11 11:25:00;3078.43000000;3149.59000000;3.1900;trail applied;true
30;2025.04.17 13:50:00;3149.59000000;3151.54000000;6.0475;trail applied;true
30;2025.04.21 04:15:00;3151.54000000;3162.55000000;7.3494;trail applied;true
30;2025.04.21 07:35:00;3162.55000000;3168.44000000;7.3359;trail applied;true
30;2025.04.21 10:00:00;3168.44000000;3183.12000000;7.8302;trail applied;true
30;2025.04.21 11:15:00;3183.12000000;3216.90000000;7.6352;trail applied;true
30;2025.04.22 17:45:00;3216.90000000;3311.02000000;9.0523;trail applied;true
49;2025.04.25 08:35:00;3347.01000000;3329.71000000;3.0775;trail applied;true
56;2025.05.06 04:15:00;3283.12000000;3321.38000000;3.2666;trail applied;true
56;2025.05.06 04:45:00;3321.38000000;3337.54000000;4.1573;trail applied;true
61;2025.05.22 04:25:00;3250.41000000;3291.75000000;3.2230;trail applied;true
78;2025.05.30 14:25:00;3299.26000000;3295.02000000;3.2972;trail applied;true
87;2025.06.10 16:25:00;3293.58000000;3318.44000000;3.1134;trail applied;true
98;2025.06.12 10:40:00;3375.58000000;3364.30000000;3.6667;trail applied;true
127;2025.07.11 10:45:00;3332.37000000;3335.13000000;3.6667;trail applied;true
130;2025.07.11 17:50:00;3332.83000000;3346.53000000;3.0540;trail applied;true
130;2025.07.14 01:05:00;3346.53000000;3353.56000000;4.0701;trail applied;true
143;2025.07.21 04:10:00;3347.60000000;3352.40000000;3.1458;trail applied;true
146;2025.07.21 17:35:00;3350.72000000;3375.36000000;3.0122;trail applied;true
149;2025.08.01 22:35:00;3341.38000000;3349.42000000;3.1493;trail applied;true
166;2025.08.20 16:45:00;3323.84000000;3335.58000000;3.1806;trail applied;true
173;2025.09.01 05:10:00;3325.11000000;3393.01000000;3.3108;trail applied;true
173;2025.09.04 13:15:00;3393.01000000;3406.69000000;5.5234;trail applied;true
173;2025.09.05 22:15:00;3406.69000000;3411.27000000;6.9720;trail applied;true
173;2025.09.08 03:50:00;3411.27000000;3412.10000000;6.8159;trail applied;true
173;2025.09.08 04:15:00;3412.10000000;3413.69000000;6.8159;trail applied;true
173;2025.09.08 04:25:00;3413.69000000;3416.38000000;6.7720;trail applied;true
173;2025.09.08 05:25:00;3416.38000000;3432.41000000;6.8342;trail applied;true
173;2025.09.08 05:50:00;3432.41000000;3444.69000000;6.8053;trail applied;true
173;2025.09.08 16:20:00;3444.69000000;3480.67000000;8.0144;trail applied;true
173;2025.09.09 13:30:00;3480.67000000;3544.76000000;8.6816;trail applied;true
173;2025.09.11 02:05:00;3544.76000000;3568.20000000;8.2842;trail applied;true
173;2025.09.15 01:25:00;3568.20000000;3580.90000000;8.3641;trail applied;true
173;2025.09.15 08:45:00;3580.90000000;3587.43000000;8.3988;trail applied;true
173;2025.09.15 16:55:00;3587.43000000;3613.63000000;8.9558;trail applied;true
173;2025.09.15 21:50:00;3613.63000000;3634.13000000;9.4138;trail applied;true
173;2025.09.17 02:25:00;3634.13000000;3655.20000000;9.8898;trail applied;true
178;2025.09.19 18:05:00;3651.47000000;3660.47000000;3.1733;trail applied;true
178;2025.09.23 04:35:00;3660.47000000;3666.64000000;21.4956;trail applied;true
178;2025.09.29 05:30:00;3666.64000000;3667.51000000;30.6400;trail applied;true
178;2025.09.29 06:05:00;3667.51000000;3680.86000000;31.3333;trail applied;true
178;2025.09.29 09:25:00;3680.86000000;3683.73000000;35.7956;trail applied;true
178;2025.09.29 09:50:00;3683.73000000;3690.11000000;36.2400;trail applied;true
178;2025.09.29 17:00:00;3690.11000000;3695.48000000;37.3600;trail applied;true
178;2025.09.29 17:20:00;3695.48000000;3696.62000000;37.9178;trail applied;true
178;2025.09.29 18:00:00;3696.62000000;3700.08000000;38.3267;trail applied;true
178;2025.09.29 18:20:00;3700.08000000;3748.33000000;37.8067;trail applied;true
178;2025.09.30 20:05:00;3748.33000000;3831.13000000;42.5756;trail applied;true
178;2025.09.30 21:25:00;3831.13000000;3839.73000000;42.1689;trail applied;true
178;2025.09.30 23:35:00;3839.73000000;3850.81000000;44.4956;trail applied;true
178;2025.10.01 01:50:00;3850.81000000;3854.61000000;45.5800;trail applied;true
178;2025.10.01 06:55:00;3854.61000000;3857.92000000;46.0578;trail applied;true
191;2025.10.22 03:05:00;4132.61000000;4099.07000000;3.9058;trail applied;true
200;2025.10.22 11:15:00;4161.27000000;4123.13000000;3.0189;trail applied;true
215;2025.11.19 14:20:00;4116.46000000;4115.36000000;5.0909;trail applied;true
252;2025.12.11 17:45:00;4234.93000000;4240.75000000;6.2302;trail applied;true
252;2025.12.12 19:05:00;4240.75000000;4256.80000000;16.1924;trail applied;true
252;2025.12.12 22:05:00;4256.80000000;4289.88000000;21.1615;trail applied;true
255;2025.12.22 02:05:00;4316.08000000;4339.16000000;3.1179;trail applied;true
255;2025.12.29 07:55:00;4339.16000000;4341.39000000;16.3726;trail applied;true
276;2026.01.20 07:00:00;4444.61000000;4570.33000000;3.0154;trail applied;true
276;2026.01.20 20:00:00;4570.33000000;4580.81000000;4.0517;trail applied;true
276;2026.01.21 03:30:00;4580.81000000;4627.29000000;5.0904;trail applied;true
276;2026.01.26 12:20:00;4627.29000000;4658.18000000;9.2657;trail applied;true
276;2026.01.26 17:10:00;4658.18000000;4658.22000000;9.3361;trail applied;true
276;2026.01.26 17:30:00;4658.22000000;4659.56000000;9.2978;trail applied;true
276;2026.01.26 20:15:00;4659.56000000;4666.42000000;9.2448;trail applied;true
276;2026.01.27 14:40:00;4666.42000000;4678.72000000;9.2633;trail applied;true
