strategy,month,cumulative_r
BreakoutRetest,2025-03,0.987800
BreakoutRetest,2025-04,-4.997500
BreakoutRetest,2025-05,4.000500
BreakoutRetest,2025-06,3.002400
BreakoutRetest,2025-07,3.000000
BreakoutRetest,2025-08,1.004700
BreakoutRetest,2025-09,1.002600
BreakoutRetest,2025-10,-3.000000
BreakoutRetest,2025-11,-0.997300
BreakoutRetest,2025-12,-1.000000
BreakoutRetest,2026-01,-5.000400
BreakoutRetest,2026-02,-4.000000
BreakoutRetest,2026-03,-9.000000
BreakoutRetest,2026-04,0.000000
BreakoutRetest,2026-05,3.000000
BreakoutRetest,2026-06,0.001700
BreakoutRetest,2026-07,3.003300
CompressionBreakout,2025-03,1.802300
CompressionBreakout,2025-04,3.758700
CompressionBreakout,2025-05,-2.083200
CompressionBreakout,2025-06,2.916100
CompressionBreakout,2025-07,-1.510100
CompressionBreakout,2025-08,-2.405500
CompressionBreakout,2025-09,3.061000
CompressionBreakout,2025-10,-1.160900
CompressionBreakout,2025-11,-2.310300
CompressionBreakout,2025-12,-1.280700
CompressionBreakout,2026-01,0.863900
CompressionBreakout,2026-02,-0.475600
CompressionBreakout,2026-03,2.149000
CompressionBreakout,2026-04,-2.551900
CompressionBreakout,2026-05,1.000000
CompressionBreakout,2026-06,2.638700
CompressionBreakout,2026-07,0.000000
StructureTransition,2025-03,-1.000000
StructureTransition,2025-04,-2.000000
StructureTransition,2025-05,-1.000000
StructureTransition,2025-06,-1.000000
StructureTransition,2025-07,-1.000000
StructureTransition,2025-08,-2.000000
StructureTransition,2025-11,2.000000
StructureTransition,2025-12,1.000000
StructureTransition,2026-01,-1.000000
StructureTransition,2026-02,1.000000
StructureTransition,2026-03,1.000000
StructureTransition,2026-04,-1.000000
StructureTransition,2026-05,2.000000
StructureTransition,2026-06,1.000000
StructureTransition,2026-07,-0.189200
