strategy,quarter,cumulative_r
BreakoutRetest,2025-Q1,0.987800
BreakoutRetest,2025-Q2,2.005400
BreakoutRetest,2025-Q3,5.007300
BreakoutRetest,2025-Q4,-4.997300
BreakoutRetest,2026-Q1,-18.000400
BreakoutRetest,2026-Q2,3.001700
BreakoutRetest,2026-Q3,3.003300
CompressionBreakout,2025-Q1,1.802300
CompressionBreakout,2025-Q2,4.591600
CompressionBreakout,2025-Q3,-0.854600
CompressionBreakout,2025-Q4,-4.751900
CompressionBreakout,2026-Q1,2.537300
CompressionBreakout,2026-Q2,1.086800
CompressionBreakout,2026-Q3,0.000000
StructureTransition,2025-Q1,-1.000000
StructureTransition,2025-Q2,-4.000000
StructureTransition,2025-Q3,-3.000000
StructureTransition,2025-Q4,3.000000
StructureTransition,2026-Q1,1.000000
StructureTransition,2026-Q2,2.000000
StructureTransition,2026-Q3,-0.189200
