strategy,feature,bucket,operator,threshold,canonical,trades,cumulative_r,expectancy_r,note
FastBreakout,normalized_atr,CONTRACTING,lt,0.75,false,29,-4.453900,-0.153583,offline entry-time sensitivity; classifier and executions unchanged
FastBreakout,normalized_atr,CONTRACTING,lt,0.80,true,38,-11.364700,-0.299071,offline entry-time sensitivity; classifier and executions unchanged
FastBreakout,normalized_atr,CONTRACTING,lt,0.85,false,51,-11.190100,-0.219414,offline entry-time sensitivity; classifier and executions unchanged
FastBreakout,normalized_atr,EXPANDING,gt,1.15,false,140,28.067900,0.200485,offline entry-time sensitivity; classifier and executions unchanged
FastBreakout,normalized_atr,EXPANDING,gt,1.20,true,128,25.716500,0.200910,offline entry-time sensitivity; classifier and executions unchanged
FastBreakout,normalized_atr,EXPANDING,gt,1.25,false,121,19.885300,0.164341,offline entry-time sensitivity; classifier and executions unchanged
FastBreakout,directional_efficiency,WEAK,lt,0.30,false,169,13.905000,0.082278,offline entry-time sensitivity; classifier and executions unchanged
FastBreakout,directional_efficiency,WEAK,lt,0.35,true,189,1.209600,0.006400,offline entry-time sensitivity; classifier and executions unchanged
FastBreakout,directional_efficiency,WEAK,lt,0.40,false,200,4.052800,0.020264,offline entry-time sensitivity; classifier and executions unchanged
FastBreakout,directional_efficiency,STRONG,gt,0.60,false,13,-3.055900,-0.235069,offline entry-time sensitivity; classifier and executions unchanged
FastBreakout,directional_efficiency,STRONG,gt,0.65,true,12,-2.055900,-0.171325,offline entry-time sensitivity; classifier and executions unchanged
FastBreakout,directional_efficiency,STRONG,gt,0.70,false,7,0.054500,0.007786,offline entry-time sensitivity; classifier and executions unchanged
FastBreakout,compression_ratio,LOW_COMPRESSION_RATIO,lt,0.30,false,34,2.671800,0.078582,offline entry-time sensitivity; classifier and executions unchanged
FastBreakout,compression_ratio,LOW_COMPRESSION_RATIO,lt,0.35,true,48,11.248600,0.234346,offline entry-time sensitivity; classifier and executions unchanged
FastBreakout,compression_ratio,LOW_COMPRESSION_RATIO,lt,0.40,false,62,9.262600,0.149397,offline entry-time sensitivity; classifier and executions unchanged
MediumBreakout,normalized_atr,CONTRACTING,lt,0.75,false,90,-11.073900,-0.123043,offline entry-time sensitivity; classifier and executions unchanged
MediumBreakout,normalized_atr,CONTRACTING,lt,0.80,true,124,-12.790600,-0.103150,offline entry-time sensitivity; classifier and executions unchanged
MediumBreakout,normalized_atr,CONTRACTING,lt,0.85,false,148,-11.169400,-0.075469,offline entry-time sensitivity; classifier and executions unchanged
MediumBreakout,normalized_atr,EXPANDING,gt,1.15,false,208,6.182800,0.029725,offline entry-time sensitivity; classifier and executions unchanged
MediumBreakout,normalized_atr,EXPANDING,gt,1.20,true,190,8.965600,0.047187,offline entry-time sensitivity; classifier and executions unchanged
MediumBreakout,normalized_atr,EXPANDING,gt,1.25,false,168,-5.241100,-0.031197,offline entry-time sensitivity; classifier and executions unchanged
MediumBreakout,directional_efficiency,WEAK,lt,0.30,false,361,-19.966100,-0.055308,offline entry-time sensitivity; classifier and executions unchanged
MediumBreakout,directional_efficiency,WEAK,lt,0.35,true,392,-19.319000,-0.049283,offline entry-time sensitivity; classifier and executions unchanged
MediumBreakout,directional_efficiency,WEAK,lt,0.40,false,415,-15.923500,-0.038370,offline entry-time sensitivity; classifier and executions unchanged
MediumBreakout,directional_efficiency,STRONG,gt,0.60,false,23,9.018900,0.392126,offline entry-time sensitivity; classifier and executions unchanged
MediumBreakout,directional_efficiency,STRONG,gt,0.65,true,15,8.519400,0.567960,offline entry-time sensitivity; classifier and executions unchanged
MediumBreakout,directional_efficiency,STRONG,gt,0.70,false,8,5.414900,0.676863,offline entry-time sensitivity; classifier and executions unchanged
MediumBreakout,compression_ratio,LOW_COMPRESSION_RATIO,lt,0.30,false,44,8.964200,0.203732,offline entry-time sensitivity; classifier and executions unchanged
MediumBreakout,compression_ratio,LOW_COMPRESSION_RATIO,lt,0.35,true,59,11.455000,0.194153,offline entry-time sensitivity; classifier and executions unchanged
MediumBreakout,compression_ratio,LOW_COMPRESSION_RATIO,lt,0.40,false,79,12.471200,0.157863,offline entry-time sensitivity; classifier and executions unchanged
SlowBreakout,normalized_atr,CONTRACTING,lt,0.75,false,62,-17.700500,-0.285492,offline entry-time sensitivity; classifier and executions unchanged
SlowBreakout,normalized_atr,CONTRACTING,lt,0.80,true,75,-21.590200,-0.287869,offline entry-time sensitivity; classifier and executions unchanged
SlowBreakout,normalized_atr,CONTRACTING,lt,0.85,false,84,-22.989500,-0.273685,offline entry-time sensitivity; classifier and executions unchanged
SlowBreakout,normalized_atr,EXPANDING,gt,1.15,false,140,18.720500,0.133718,offline entry-time sensitivity; classifier and executions unchanged
SlowBreakout,normalized_atr,EXPANDING,gt,1.20,true,126,22.135500,0.175679,offline entry-time sensitivity; classifier and executions unchanged
SlowBreakout,normalized_atr,EXPANDING,gt,1.25,false,116,16.613100,0.143216,offline entry-time sensitivity; classifier and executions unchanged
