strategy,regime_dimension,strongest_regime_value,trades,cumulative_r,strategy_cumulative_r,strategy_profit_attributed_pct
FastBreakout,direction,BULLISH,133,11.145000,20.840300,53.478117
FastBreakout,trend_strength,NORMAL,60,21.686600,20.840300,104.060882
FastBreakout,volatility,EXPANDING,128,25.716500,20.840300,123.397936
FastBreakout,alignment,OPPOSED,144,27.368500,20.840300,131.324885
FastBreakout,market_phase,PULLBACK,63,19.494800,20.840300,93.543759
MediumBreakout,direction,BULLISH,253,-9.960100,-21.263600,46.841081
MediumBreakout,trend_strength,STRONG,15,8.519400,-21.263600,-40.065652
MediumBreakout,volatility,EXPANDING,190,8.965600,-21.263600,-42.164074
MediumBreakout,alignment,OPPOSED,288,-1.689300,-21.263600,7.944563
MediumBreakout,market_phase,PULLBACK,141,1.793600,-21.263600,-8.435072
SlowBreakout,direction,BULLISH,167,6.311900,-4.426400,-142.596693
SlowBreakout,trend_strength,WEAK,255,3.274900,-4.426400,-73.985632
SlowBreakout,volatility,EXPANDING,126,22.135500,-4.426400,-500.079071
SlowBreakout,alignment,FULLY_ALIGNED,116,1.132400,-4.426400,-25.582866
SlowBreakout,market_phase,UNCLASSIFIED,163,3.221600,-4.426400,-72.781493
FastMedConfluence,direction,BEARISH,104,18.122100,28.244700,64.161064
FastMedConfluence,trend_strength,NORMAL,57,23.109400,28.244700,81.818536
FastMedConfluence,volatility,EXPANDING,107,27.312200,28.244700,96.698496
FastMedConfluence,alignment,OPPOSED,123,26.907000,28.244700,95.263890
FastMedConfluence,market_phase,UNCLASSIFIED,81,17.220700,28.244700,60.969669
FastMedContext,direction,BEARISH,112,14.524100,23.732000,61.200489
FastMedContext,trend_strength,NORMAL,58,21.405200,23.732000,90.195517
FastMedContext,volatility,EXPANDING,111,27.708800,23.732000,116.757121
FastMedContext,alignment,OPPOSED,123,27.557000,23.732000,116.117479
FastMedContext,market_phase,PULLBACK,63,18.238200,23.732000,76.850666
MedSlowContext,direction,BEARISH,222,-0.933700,-8.307300,11.239512
MedSlowContext,trend_strength,STRONG,16,7.714900,-8.307300,-92.868923
MedSlowContext,volatility,EXPANDING,174,15.885200,-8.307300,-191.219771
MedSlowContext,alignment,FULLY_ALIGNED,123,-0.342900,-8.307300,4.127695
MedSlowContext,market_phase,COMPRESSION,4,1.217000,-8.307300,-14.649766
NestedPullback,direction,BEARISH,65,4.843100,-2.828000,-171.255304
NestedPullback,trend_strength,NORMAL,33,-0.469700,-2.828000,16.608911
NestedPullback,volatility,EXPANDING,69,8.554200,-2.828000,-302.482320
NestedPullback,alignment,OPPOSED,83,13.129500,-2.828000,-464.268034
NestedPullback,market_phase,UNCLASSIFIED,75,9.419200,-2.828000,-333.069307
WeightedEnsemble,direction,BULLISH,133,10.859800,20.288000,53.528194
WeightedEnsemble,trend_strength,NORMAL,60,21.686600,20.288000,106.893730
WeightedEnsemble,volatility,EXPANDING,126,27.164200,20.288000,133.892942
WeightedEnsemble,alignment,OPPOSED,142,29.027600,20.288000,143.077681
WeightedEnsemble,market_phase,PULLBACK,61,21.227700,20.288000,104.631802
