strategy,regime_dimension,regime_value,trades,percentage
FastBreakout,direction,BEARISH,128,49.042146
FastBreakout,direction,BULLISH,133,50.957854
FastBreakout,trend_strength,NORMAL,60,22.988506
FastBreakout,trend_strength,STRONG,12,4.597701
FastBreakout,trend_strength,WEAK,189,72.413793
FastBreakout,volatility,CONTRACTING,38,14.559387
FastBreakout,volatility,EXPANDING,128,49.042146
FastBreakout,volatility,NORMAL,95,36.398467
FastBreakout,alignment,FULLY_ALIGNED,76,29.118774
FastBreakout,alignment,OPPOSED,144,55.172414
FastBreakout,alignment,PARTIALLY_ALIGNED,41,15.708812
FastBreakout,market_phase,BREAKOUT,39,14.942529
FastBreakout,market_phase,COMPRESSION,14,5.363985
FastBreakout,market_phase,PULLBACK,63,24.137931
FastBreakout,market_phase,TRANSITION,1,0.383142
FastBreakout,market_phase,TREND_CONTINUATION,38,14.559387
FastBreakout,market_phase,UNCLASSIFIED,106,40.613027
MediumBreakout,direction,BEARISH,260,50.682261
MediumBreakout,direction,BULLISH,253,49.317739
MediumBreakout,trend_strength,NORMAL,106,20.662768
MediumBreakout,trend_strength,STRONG,15,2.923977
MediumBreakout,trend_strength,WEAK,392,76.413255
MediumBreakout,volatility,CONTRACTING,124,24.171540
MediumBreakout,volatility,EXPANDING,190,37.037037
MediumBreakout,volatility,NORMAL,199,38.791423
MediumBreakout,alignment,FULLY_ALIGNED,133,25.925926
MediumBreakout,alignment,OPPOSED,288,56.140351
MediumBreakout,alignment,PARTIALLY_ALIGNED,92,17.933723
MediumBreakout,market_phase,BREAKOUT,4,0.779727
MediumBreakout,market_phase,COMPRESSION,4,0.779727
MediumBreakout,market_phase,PULLBACK,141,27.485380
MediumBreakout,market_phase,TRANSITION,4,0.779727
MediumBreakout,market_phase,TREND_CONTINUATION,105,20.467836
MediumBreakout,market_phase,UNCLASSIFIED,255,49.707602
SlowBreakout,direction,BEARISH,170,50.445104
SlowBreakout,direction,BULLISH,167,49.554896
SlowBreakout,trend_strength,NORMAL,71,21.068249
SlowBreakout,trend_strength,STRONG,11,3.264095
SlowBreakout,trend_strength,WEAK,255,75.667656
SlowBreakout,volatility,CONTRACTING,75,22.255193
SlowBreakout,volatility,EXPANDING,126,37.388724
SlowBreakout,volatility,NORMAL,136,40.356083
SlowBreakout,alignment,FULLY_ALIGNED,116,34.421365
SlowBreakout,alignment,OPPOSED,168,49.851632
SlowBreakout,alignment,PARTIALLY_ALIGNED,53,15.727003
SlowBreakout,market_phase,BREAKOUT,3,0.890208
SlowBreakout,market_phase,COMPRESSION,8,2.373887
SlowBreakout,market_phase,PULLBACK,68,20.178042
SlowBreakout,market_phase,TRANSITION,3,0.890208
SlowBreakout,market_phase,TREND_CONTINUATION,92,27.299703
SlowBreakout,market_phase,UNCLASSIFIED,163,48.367953
FastMedConfluence,direction,BEARISH,104,46.428571
FastMedConfluence,direction,BULLISH,120,53.571429
FastMedConfluence,trend_strength,NORMAL,57,25.446429
FastMedConfluence,trend_strength,STRONG,11,4.910714
FastMedConfluence,trend_strength,WEAK,156,69.642857
FastMedConfluence,volatility,CONTRACTING,35,15.625000
FastMedConfluence,volatility,EXPANDING,107,47.767857
FastMedConfluence,volatility,NORMAL,82,36.607143
FastMedConfluence,alignment,FULLY_ALIGNED,64,28.571429
FastMedConfluence,alignment,OPPOSED,123,54.910714
FastMedConfluence,alignment,PARTIALLY_ALIGNED,37,16.517857
FastMedConfluence,market_phase,BREAKOUT,38,16.964286
FastMedConfluence,market_phase,COMPRESSION,11,4.910714
FastMedConfluence,market_phase,PULLBACK,63,28.125000
FastMedConfluence,market_phase,TREND_CONTINUATION,31,13.839286
FastMedConfluence,market_phase,UNCLASSIFIED,81,36.160714
FastMedContext,direction,BEARISH,112,47.659574
FastMedContext,direction,BULLISH,123,52.340426
FastMedContext,trend_strength,NORMAL,58,24.680851
FastMedContext,trend_strength,STRONG,11,4.680851
FastMedContext,trend_strength,WEAK,166,70.638298
FastMedContext,volatility,CONTRACTING,34,14.468085
FastMedContext,volatility,EXPANDING,111,47.234043
FastMedContext,volatility,NORMAL,90,38.297872
FastMedContext,alignment,FULLY_ALIGNED,67,28.510638
FastMedContext,alignment,OPPOSED,123,52.340426
FastMedContext,alignment,PARTIALLY_ALIGNED,45,19.148936
FastMedContext,market_phase,BREAKOUT,37,15.744681
FastMedContext,market_phase,COMPRESSION,14,5.957447
FastMedContext,market_phase,PULLBACK,63,26.808511
FastMedContext,market_phase,TRANSITION,1,0.425532
FastMedContext,market_phase,TREND_CONTINUATION,33,14.042553
FastMedContext,market_phase,UNCLASSIFIED,87,37.021277
MedSlowContext,direction,BEARISH,222,50.454545
MedSlowContext,direction,BULLISH,218,49.545455
MedSlowContext,trend_strength,NORMAL,99,22.500000
MedSlowContext,trend_strength,STRONG,16,3.636364
MedSlowContext,trend_strength,WEAK,325,73.863636
MedSlowContext,volatility,CONTRACTING,97,22.045455
MedSlowContext,volatility,EXPANDING,174,39.545455
MedSlowContext,volatility,NORMAL,169,38.409091
MedSlowContext,alignment,FULLY_ALIGNED,123,27.954545
MedSlowContext,alignment,OPPOSED,237,53.863636
MedSlowContext,alignment,PARTIALLY_ALIGNED,80,18.181818
MedSlowContext,market_phase,BREAKOUT,3,0.681818
MedSlowContext,market_phase,COMPRESSION,4,0.909091
MedSlowContext,market_phase,PULLBACK,115,26.136364
MedSlowContext,market_phase,TRANSITION,2,0.454545
MedSlowContext,market_phase,TREND_CONTINUATION,99,22.500000
MedSlowContext,market_phase,UNCLASSIFIED,217,49.318182
NestedPullback,direction,BEARISH,65,47.794118
NestedPullback,direction,BULLISH,71,52.205882
NestedPullback,trend_strength,NORMAL,33,24.264706
NestedPullback,trend_strength,STRONG,5,3.676471
NestedPullback,trend_strength,WEAK,98,72.058824
NestedPullback,volatility,CONTRACTING,21,15.441176
NestedPullback,volatility,EXPANDING,69,50.735294
NestedPullback,volatility,NORMAL,46,33.823529
NestedPullback,alignment,FULLY_ALIGNED,41,30.147059
NestedPullback,alignment,OPPOSED,83,61.029412
NestedPullback,alignment,PARTIALLY_ALIGNED,12,8.823529
NestedPullback,market_phase,BREAKOUT,12,8.823529
NestedPullback,market_phase,COMPRESSION,5,3.676471
NestedPullback,market_phase,PULLBACK,11,8.088235
NestedPullback,market_phase,TREND_CONTINUATION,33,24.264706
NestedPullback,market_phase,UNCLASSIFIED,75,55.147059
WeightedEnsemble,direction,BEARISH,128,49.042146
WeightedEnsemble,direction,BULLISH,133,50.957854
WeightedEnsemble,trend_strength,NORMAL,60,22.988506
WeightedEnsemble,trend_strength,STRONG,11,4.214559
WeightedEnsemble,trend_strength,WEAK,190,72.796935
WeightedEnsemble,volatility,CONTRACTING,38,14.559387
WeightedEnsemble,volatility,EXPANDING,126,48.275862
WeightedEnsemble,volatility,NORMAL,97,37.164751
WeightedEnsemble,alignment,FULLY_ALIGNED,74,28.352490
WeightedEnsemble,alignment,OPPOSED,142,54.406130
WeightedEnsemble,alignment,PARTIALLY_ALIGNED,45,17.241379
WeightedEnsemble,market_phase,BREAKOUT,40,15.325670
WeightedEnsemble,market_phase,COMPRESSION,14,5.363985
WeightedEnsemble,market_phase,PULLBACK,61,23.371648
WeightedEnsemble,market_phase,TRANSITION,1,0.383142
WeightedEnsemble,market_phase,TREND_CONTINUATION,36,13.793103
WeightedEnsemble,market_phase,UNCLASSIFIED,109,41.762452
