strategy,family,regime_dimension,regime_value,period,trades,cumulative_r,expectancy_r
FastBreakout,BREAKOUT,alignment,FULLY_ALIGNED,2025-03,1,2.000000,2.000000
FastBreakout,BREAKOUT,alignment,FULLY_ALIGNED,2025-04,8,-1.349000,-0.168625
FastBreakout,BREAKOUT,alignment,FULLY_ALIGNED,2025-05,7,-2.802300,-0.400329
FastBreakout,BREAKOUT,alignment,FULLY_ALIGNED,2025-06,4,-2.707300,-0.676825
FastBreakout,BREAKOUT,alignment,FULLY_ALIGNED,2025-07,6,2.780800,0.463467
FastBreakout,BREAKOUT,alignment,FULLY_ALIGNED,2025-08,5,4.000000,0.800000
FastBreakout,BREAKOUT,alignment,FULLY_ALIGNED,2025-09,2,1.000000,0.500000
FastBreakout,BREAKOUT,alignment,FULLY_ALIGNED,2025-10,4,-1.806300,-0.451575
FastBreakout,BREAKOUT,alignment,FULLY_ALIGNED,2025-11,2,-2.000000,-1.000000
FastBreakout,BREAKOUT,alignment,FULLY_ALIGNED,2025-12,7,-1.000000,-0.142857
FastBreakout,BREAKOUT,alignment,FULLY_ALIGNED,2026-01,4,-0.076900,-0.019225
FastBreakout,BREAKOUT,alignment,FULLY_ALIGNED,2026-02,5,-0.817800,-0.163560
FastBreakout,BREAKOUT,alignment,FULLY_ALIGNED,2026-03,13,-3.014300,-0.231869
FastBreakout,BREAKOUT,alignment,FULLY_ALIGNED,2026-04,2,-1.627300,-0.813650
FastBreakout,BREAKOUT,alignment,FULLY_ALIGNED,2026-05,2,-0.685900,-0.342950
FastBreakout,BREAKOUT,alignment,FULLY_ALIGNED,2026-06,2,-0.780100,-0.390050
FastBreakout,BREAKOUT,alignment,FULLY_ALIGNED,2026-07,2,1.000000,0.500000
FastBreakout,BREAKOUT,alignment,OPPOSED,2025-03,14,8.438100,0.602721
FastBreakout,BREAKOUT,alignment,OPPOSED,2025-04,8,4.277800,0.534725
FastBreakout,BREAKOUT,alignment,OPPOSED,2025-05,15,0.187500,0.012500
FastBreakout,BREAKOUT,alignment,OPPOSED,2025-06,4,-1.382900,-0.345725
FastBreakout,BREAKOUT,alignment,OPPOSED,2025-07,11,-0.500500,-0.045500
FastBreakout,BREAKOUT,alignment,OPPOSED,2025-08,12,0.059200,0.004933
FastBreakout,BREAKOUT,alignment,OPPOSED,2025-09,3,3.585700,1.195233
FastBreakout,BREAKOUT,alignment,OPPOSED,2025-10,1,-0.230200,-0.230200
FastBreakout,BREAKOUT,alignment,OPPOSED,2025-11,7,-5.209200,-0.744171
FastBreakout,BREAKOUT,alignment,OPPOSED,2025-12,16,5.602000,0.350125
FastBreakout,BREAKOUT,alignment,OPPOSED,2026-01,4,5.000000,1.250000
FastBreakout,BREAKOUT,alignment,OPPOSED,2026-02,5,2.493000,0.498600
FastBreakout,BREAKOUT,alignment,OPPOSED,2026-03,3,4.030700,1.343567
FastBreakout,BREAKOUT,alignment,OPPOSED,2026-04,9,4.604000,0.511556
FastBreakout,BREAKOUT,alignment,OPPOSED,2026-05,16,-2.832000,-0.177000
FastBreakout,BREAKOUT,alignment,OPPOSED,2026-06,8,1.026000,0.128250
FastBreakout,BREAKOUT,alignment,OPPOSED,2026-07,8,-1.780700,-0.222587
