strategy,family,regime_dimension,regime_value,sample_label,trades,cumulative_r,positive_months,negative_months,best_month_r,best_month_contribution_pct,best_quarter_r,best_quarter_contribution_pct,excluding_best_trade_r,excluding_top_three_trades_r,long_cumulative_r,short_cumulative_r
FastBreakout,BREAKOUT,alignment,FULLY_ALIGNED,MODERATE_SAMPLE,76,-7.886400,5,12,4.000000,-50.720227,7.780800,-98.660986,-9.886400,-13.886400,5.539900,-13.426300
FastBreakout,BREAKOUT,alignment,OPPOSED,STRONGER_DESCRIPTIVE_SAMPLE,144,27.368500,11,6,8.438100,30.831430,11.523700,42.105705,25.368500,21.368500,22.771800,4.596700
FastBreakout,BREAKOUT,alignment,PARTIALLY_ALIGNED,EXPLORATORY,41,1.358200,8,7,4.548500,334.891769,2.290300,168.627595,-0.641800,-4.641800,-9.196800,10.555000
FastBreakout,BREAKOUT,direction,BEARISH,STRONGER_DESCRIPTIVE_SAMPLE,128,9.695300,9,8,6.210300,64.054748,15.483300,159.699029,7.695300,3.695300,2.975000,6.720300
FastBreakout,BREAKOUT,direction,BULLISH,STRONGER_DESCRIPTIVE_SAMPLE,133,11.145000,12,5,7.000000,62.808434,7.000000,62.808434,9.145000,5.145000,16.139900,-4.994900
FastBreakout,BREAKOUT,market_phase,BREAKOUT,EXPLORATORY,39,-2.601300,7,7,3.000000,-115.326952,3.406300,-130.946065,-4.601300,-8.601300,-0.223100,-2.378200
FastBreakout,BREAKOUT,market_phase,COMPRESSION,INSUFFICIENT,14,2.536700,4,7,2.000000,78.842591,3.775200,148.823274,0.536700,-3.463300,0.313800,2.222900
FastBreakout,BREAKOUT,market_phase,PULLBACK,MODERATE_SAMPLE,63,19.494800,12,5,5.000000,25.647865,8.030700,41.194062,17.494800,13.494800,9.069600,10.425200
FastBreakout,BREAKOUT,market_phase,TRANSITION,INSUFFICIENT,1,-1.000000,0,1,-1.000000,100.000000,-1.000000,100.000000,0.000000,0.000000,-1.000000,0.000000
FastBreakout,BREAKOUT,market_phase,TREND_CONTINUATION,EXPLORATORY,38,-10.123400,4,9,2.000000,-19.756208,1.856100,-18.334749,-12.123400,-16.123400,1.005600,-11.129000
FastBreakout,BREAKOUT,market_phase,UNCLASSIFIED,STRONGER_DESCRIPTIVE_SAMPLE,106,12.533500,11,6,4.562500,36.402441,6.026300,48.081541,10.533500,6.533500,9.949000,2.584500
FastBreakout,BREAKOUT,trend_strength,NORMAL,MODERATE_SAMPLE,60,21.686600,8,6,8.000000,36.889139,7.924700,36.541920,19.686600,15.686600,14.418600,7.268000
FastBreakout,BREAKOUT,trend_strength,STRONG,INSUFFICIENT,12,-2.055900,2,7,2.000000,-97.280996,1.464700,-71.243738,-4.055900,-6.091300,-0.322000,-1.733900
FastBreakout,BREAKOUT,trend_strength,WEAK,STRONGER_DESCRIPTIVE_SAMPLE,189,1.209600,8,9,9.438100,780.266204,9.438100,780.266204,-0.790400,-4.790400,5.018300,-3.808700
FastBreakout,BREAKOUT,volatility,CONTRACTING,EXPLORATORY,38,-11.364700,5,10,2.000000,-17.598353,0.035400,-0.311491,-13.364700,-17.364700,-1.238600,-10.126100
FastBreakout,BREAKOUT,volatility,EXPANDING,STRONGER_DESCRIPTIVE_SAMPLE,128,25.716500,11,6,8.233900,32.017965,6.704400,26.070422,23.716500,19.716500,15.803500,9.913000
FastBreakout,BREAKOUT,volatility,NORMAL,MODERATE_SAMPLE,95,6.488500,9,8,5.000000,77.059413,6.234700,96.088464,4.488500,0.488500,4.550000,1.938500
FastMedConfluence,CONFLUENCE,alignment,FULLY_ALIGNED,MODERATE_SAMPLE,64,-0.483000,6,11,6.000000,-1242.236025,10.780800,-2232.049689,-2.483000,-6.483000,11.679500,-12.162500
FastMedConfluence,CONFLUENCE,alignment,OPPOSED,STRONGER_DESCRIPTIVE_SAMPLE,123,26.907000,11,6,5.173700,19.228082,8.371800,31.113837,24.907000,20.907000,19.027500,7.879500
FastMedConfluence,CONFLUENCE,alignment,PARTIALLY_ALIGNED,EXPLORATORY,37,1.820700,6,8,6.548500,359.669358,3.385300,185.933981,-0.179300,-4.179300,-8.731800,10.552500
FastMedConfluence,CONFLUENCE,direction,BEARISH,STRONGER_DESCRIPTIVE_SAMPLE,104,18.122100,12,4,6.931100,38.246671,12.095000,66.741713,16.122100,12.122100,13.396000,4.726100
FastMedConfluence,CONFLUENCE,direction,BULLISH,STRONGER_DESCRIPTIVE_SAMPLE,120,10.122600,12,5,4.273200,42.214451,6.707800,66.265584,8.122600,4.122600,8.579200,1.543400
FastMedConfluence,CONFLUENCE,market_phase,BREAKOUT,EXPLORATORY,38,-6.305100,5,9,3.000000,-47.580530,2.406300,-38.164343,-8.305100,-12.305100,-0.926900,-5.378200
FastMedConfluence,CONFLUENCE,market_phase,COMPRESSION,INSUFFICIENT,11,4.572600,5,4,2.000000,43.738792,4.000000,87.477584,2.572600,-1.427400,2.538600,2.034000
FastMedConfluence,CONFLUENCE,market_phase,PULLBACK,MODERATE_SAMPLE,63,16.914000,12,4,5.000000,29.561310,5.077700,30.020693,14.914000,10.914000,6.128000,10.786000
FastMedConfluence,CONFLUENCE,market_phase,TREND_CONTINUATION,EXPLORATORY,31,-4.157500,5,8,2.000000,-48.105833,2.856100,-68.697535,-6.157500,-10.157500,4.145200,-8.302700
FastMedConfluence,CONFLUENCE,market_phase,UNCLASSIFIED,MODERATE_SAMPLE,81,17.220700,11,6,7.078300,41.103439,8.463300,49.146086,15.220700,11.220700,10.090300,7.130400
FastMedConfluence,CONFLUENCE,trend_strength,NORMAL,MODERATE_SAMPLE,57,23.109400,10,5,8.000000,34.617948,7.924700,34.292106,21.109400,17.109400,13.239700,9.869700
FastMedConfluence,CONFLUENCE,trend_strength,STRONG,INSUFFICIENT,11,-1.206000,2,6,2.000000,-165.837479,1.526000,-126.533997,-3.206000,-5.241400,-0.322000,-0.884000
FastMedConfluence,CONFLUENCE,trend_strength,WEAK,STRONGER_DESCRIPTIVE_SAMPLE,156,6.341300,10,7,8.438100,133.065775,8.438100,133.065775,4.341300,0.341300,9.057500,-2.716200
FastMedConfluence,CONFLUENCE,volatility,CONTRACTING,EXPLORATORY,35,-11.855200,5,9,2.000000,-16.870234,0.035400,-0.298603,-13.855200,-17.855200,-0.124700,-11.730500
FastMedConfluence,CONFLUENCE,volatility,EXPANDING,STRONGER_DESCRIPTIVE_SAMPLE,107,27.312200,12,5,8.233900,30.147333,6.341100,23.217097,25.312200,21.312200,17.572800,9.739400
FastMedConfluence,CONFLUENCE,volatility,NORMAL,MODERATE_SAMPLE,82,12.787700,9,8,6.449300,50.433620,6.534200,51.097539,10.787700,6.787700,4.527100,8.260600
FastMedContext,CONTEXT,alignment,FULLY_ALIGNED,MODERATE_SAMPLE,67,-2.479400,5,12,6.000000,-241.994031,10.780800,-434.814875,-4.479400,-8.479400,9.688800,-12.168200
