strategy,family,regime_dimension,regime_value,period,trades,cumulative_r,expectancy_r
FastBreakout,BREAKOUT,alignment,FULLY_ALIGNED,2025-Q1,1,2.000000,2.000000
FastBreakout,BREAKOUT,alignment,FULLY_ALIGNED,2025-Q2,19,-6.858600,-0.360979
FastBreakout,BREAKOUT,alignment,FULLY_ALIGNED,2025-Q3,13,7.780800,0.598523
FastBreakout,BREAKOUT,alignment,FULLY_ALIGNED,2025-Q4,13,-4.806300,-0.369715
FastBreakout,BREAKOUT,alignment,FULLY_ALIGNED,2026-Q1,22,-3.909000,-0.177682
FastBreakout,BREAKOUT,alignment,FULLY_ALIGNED,2026-Q2,6,-3.093300,-0.515550
FastBreakout,BREAKOUT,alignment,FULLY_ALIGNED,2026-Q3,2,1.000000,0.500000
FastBreakout,BREAKOUT,alignment,OPPOSED,2025-Q1,14,8.438100,0.602721
FastBreakout,BREAKOUT,alignment,OPPOSED,2025-Q2,27,3.082400,0.114163
FastBreakout,BREAKOUT,alignment,OPPOSED,2025-Q3,26,3.144400,0.120938
FastBreakout,BREAKOUT,alignment,OPPOSED,2025-Q4,24,0.162600,0.006775
FastBreakout,BREAKOUT,alignment,OPPOSED,2026-Q1,12,11.523700,0.960308
FastBreakout,BREAKOUT,alignment,OPPOSED,2026-Q2,33,2.798000,0.084788
FastBreakout,BREAKOUT,alignment,OPPOSED,2026-Q3,8,-1.780700,-0.222587
FastBreakout,BREAKOUT,alignment,PARTIALLY_ALIGNED,2025-Q1,2,-2.000000,-1.000000
FastBreakout,BREAKOUT,alignment,PARTIALLY_ALIGNED,2025-Q2,5,0.002300,0.000460
FastBreakout,BREAKOUT,alignment,PARTIALLY_ALIGNED,2025-Q3,6,-2.026000,-0.337667
FastBreakout,BREAKOUT,alignment,PARTIALLY_ALIGNED,2025-Q4,12,2.290300,0.190858
FastBreakout,BREAKOUT,alignment,PARTIALLY_ALIGNED,2026-Q1,4,2.000000,0.500000
FastBreakout,BREAKOUT,alignment,PARTIALLY_ALIGNED,2026-Q2,11,0.387800,0.035255
FastBreakout,BREAKOUT,alignment,PARTIALLY_ALIGNED,2026-Q3,1,0.703800,0.703800
FastBreakout,BREAKOUT,direction,BEARISH,2025-Q1,9,1.438100,0.159789
FastBreakout,BREAKOUT,direction,BEARISH,2025-Q2,21,-0.155400,-0.007400
FastBreakout,BREAKOUT,direction,BEARISH,2025-Q3,25,3.191400,0.127656
FastBreakout,BREAKOUT,direction,BEARISH,2025-Q4,21,-5.735500,-0.273119
FastBreakout,BREAKOUT,direction,BEARISH,2026-Q1,16,15.483300,0.967706
FastBreakout,BREAKOUT,direction,BEARISH,2026-Q2,31,-5.251400,-0.169400
FastBreakout,BREAKOUT,direction,BEARISH,2026-Q3,5,0.724800,0.144960
FastBreakout,BREAKOUT,direction,BULLISH,2025-Q1,8,7.000000,0.875000
FastBreakout,BREAKOUT,direction,BULLISH,2025-Q2,30,-3.618500,-0.120617
FastBreakout,BREAKOUT,direction,BULLISH,2025-Q3,20,5.707800,0.285390
FastBreakout,BREAKOUT,direction,BULLISH,2025-Q4,28,3.382100,0.120789
FastBreakout,BREAKOUT,direction,BULLISH,2026-Q1,22,-5.868600,-0.266755
