strategy,family,window,regime_dimension,regime_value,sample_label,trades,wins,losses,win_rate,cumulative_r,expectancy_r,profit_factor_r,max_drawdown_r,average_mfe_r,average_mae_r,median_r,long_trades,long_expectancy_r,short_trades,short_expectancy_r,first_entry_time,last_exit_time
FastBreakout,BREAKOUT,Full window,alignment,FULLY_ALIGNED,MODERATE_SAMPLE,76,20,56,0.263158,-7.886400,-0.103768,0.818056,12.808600,0.981568,-0.829217,-0.667850,33,0.167876,43,-0.312240,2025.03.27 17:30:00,2026.07.16 05:44:57
FastBreakout,BREAKOUT,Full window,alignment,OPPOSED,STRONGER_DESCRIPTIVE_SAMPLE,144,57,87,0.395833,27.368500,0.190059,1.405757,9.411400,1.152791,-0.794889,-0.352700,75,0.303624,69,0.066619,2025.03.05 15:45:00,2026.07.21 04:39:58
FastBreakout,BREAKOUT,Full window,alignment,PARTIALLY_ALIGNED,EXPLORATORY,41,14,27,0.341463,1.358200,0.033127,1.061943,5.445200,1.177522,-0.904385,-0.518400,21,-0.437943,20,0.527750,2025.03.11 08:55:00,2026.07.10 07:25:00
FastBreakout,BREAKOUT,Full window,direction,BEARISH,STRONGER_DESCRIPTIVE_SAMPLE,128,44,84,0.343750,9.695300,0.075745,1.148879,11.176800,1.073693,-0.889951,-0.570950,51,0.058333,77,0.087277,2025.03.05 15:45:00,2026.07.21 04:10:00
FastBreakout,BREAKOUT,Full window,direction,BULLISH,STRONGER_DESCRIPTIVE_SAMPLE,133,47,86,0.353383,11.145000,0.083797,1.164866,7.597700,1.138698,-0.756771,-0.507600,78,0.206922,55,-0.090816,2025.03.11 06:25:00,2026.07.21 04:39:58
FastBreakout,BREAKOUT,Full window,market_phase,BREAKOUT,EXPLORATORY,39,12,27,0.307692,-2.601300,-0.066700,0.884128,10.855200,0.970700,-0.906600,-1.000000,22,-0.010141,17,-0.139894,2025.03.27 17:30:00,2026.07.16 05:44:57
FastBreakout,BREAKOUT,Full window,market_phase,COMPRESSION,INSUFFICIENT,14,5,9,0.357143,2.536700,0.181193,1.388588,4.272500,1.501686,-0.743129,-0.343100,7,0.044829,7,0.317557,2025.03.11 08:55:00,2026.07.21 04:10:00
FastBreakout,BREAKOUT,Full window,market_phase,PULLBACK,MODERATE_SAMPLE,63,27,36,0.428571,19.494800,0.309441,1.680834,4.892000,1.277146,-0.850754,-0.213300,32,0.283425,31,0.336297,2025.03.05 19:00:00,2026.07.21 04:39:58
FastBreakout,BREAKOUT,Full window,market_phase,TRANSITION,INSUFFICIENT,1,0,1,0.000000,-1.000000,-1.000000,0.000000,1.000000,0.163300,-1.387800,-1.000000,1,-1.000000,0,0.000000,2025.05.30 03:00:00,2025.05.30 03:14:58
FastBreakout,BREAKOUT,Full window,market_phase,TREND_CONTINUATION,EXPLORATORY,38,7,31,0.184211,-10.123400,-0.266405,0.548818,10.123400,0.879692,-0.786105,-0.646550,12,0.083800,26,-0.428038,2025.04.22 19:40:00,2026.05.22 21:04:58
FastBreakout,BREAKOUT,Full window,market_phase,UNCLASSIFIED,STRONGER_DESCRIPTIVE_SAMPLE,106,40,66,0.377358,12.533500,0.118241,1.242553,7.884100,1.093838,-0.791942,-0.455750,55,0.180891,51,0.050676,2025.03.05 15:45:00,2026.07.16 04:20:00
FastBreakout,BREAKOUT,Full window,trend_strength,NORMAL,MODERATE_SAMPLE,60,26,34,0.433333,21.686600,0.361443,1.808221,4.307800,1.249297,-0.764767,-0.298000,26,0.554562,34,0.213765,2025.03.05 15:45:00,2026.07.21 04:39:58
FastBreakout,BREAKOUT,Full window,trend_strength,STRONG,INSUFFICIENT,12,3,9,0.250000,-2.055900,-0.171325,0.662486,3.412100,0.656217,-0.731742,-0.472750,7,-0.046000,5,-0.346780,2025.03.27 13:45:00,2026.07.15 20:35:00
FastBreakout,BREAKOUT,Full window,trend_strength,WEAK,STRONGER_DESCRIPTIVE_SAMPLE,189,62,127,0.328042,1.209600,0.006400,1.012120,18.333200,1.090196,-0.846018,-0.611800,96,0.052274,93,-0.040954,2025.03.05 17:05:00,2026.07.21 04:10:00
FastBreakout,BREAKOUT,Full window,volatility,CONTRACTING,EXPLORATORY,38,9,29,0.236842,-11.364700,-0.299071,0.515780,11.439700,0.884311,-0.952879,-0.960850,18,-0.068811,20,-0.506305,2025.03.11 08:55:00,2026.07.15 20:35:00
FastBreakout,BREAKOUT,Full window,volatility,EXPANDING,STRONGER_DESCRIPTIVE_SAMPLE,128,49,79,0.382812,25.716500,0.200910,1.432057,7.043400,1.143084,-0.779008,-0.344200,65,0.243131,63,0.157349,2025.03.05 15:45:00,2026.07.21 04:39:58
FastBreakout,BREAKOUT,Full window,volatility,NORMAL,MODERATE_SAMPLE,95,33,62,0.347368,6.488500,0.068300,1.130472,9.297500,1.146958,-0.827809,-0.611800,46,0.098913,49,0.039561,2025.03.11 06:25:00,2026.07.21 04:10:00
FastMedConfluence,CONFLUENCE,Full window,alignment,FULLY_ALIGNED,MODERATE_SAMPLE,64,20,44,0.312500,-0.483000,-0.007547,0.985814,11.047600,1.054675,-0.777725,-0.640350,26,0.449212,38,-0.320066,2025.03.27 17:30:00,2026.07.16 05:44:57
FastMedConfluence,CONFLUENCE,Full window,alignment,OPPOSED,STRONGER_DESCRIPTIVE_SAMPLE,123,49,74,0.398374,26.907000,0.218756,1.443584,6.862400,1.217568,-0.822776,-0.474000,63,0.302024,60,0.131325,2025.03.05 15:45:00,2026.07.21 04:39:58
FastMedConfluence,CONFLUENCE,Full window,alignment,PARTIALLY_ALIGNED,EXPLORATORY,37,12,25,0.324324,1.820700,0.049208,1.087712,4.447500,1.241073,-0.936951,-0.701800,18,-0.485100,19,0.555395,2025.03.11 08:55:00,2026.07.13 17:19:58
FastMedConfluence,CONFLUENCE,Full window,direction,BEARISH,STRONGER_DESCRIPTIVE_SAMPLE,104,39,65,0.375000,18.122100,0.174251,1.348837,11.125800,1.166825,-0.893157,-0.570950,33,0.405939,71,0.066565,2025.03.05 15:45:00,2026.07.21 04:10:00
FastMedConfluence,CONFLUENCE,Full window,direction,BULLISH,STRONGER_DESCRIPTIVE_SAMPLE,120,42,78,0.350000,10.122600,0.084355,1.159379,7.288200,1.181917,-0.772956,-0.551500,74,0.115935,46,0.033552,2025.03.11 06:25:00,2026.07.21 04:39:58
FastMedConfluence,CONFLUENCE,Full window,market_phase,BREAKOUT,EXPLORATORY,38,10,28,0.263158,-6.305100,-0.165924,0.731122,11.559000,0.923534,-0.919979,-1.000000,21,-0.044138,17,-0.316365,2025.03.27 17:30:00,2026.07.16 05:44:57
FastMedConfluence,CONFLUENCE,Full window,market_phase,COMPRESSION,INSUFFICIENT,11,5,6,0.454545,4.572600,0.415691,2.017920,3.461400,1.735373,-0.685164,-0.030700,4,0.634650,7,0.290571,2025.03.11 08:55:00,2026.07.21 04:10:00
FastMedConfluence,CONFLUENCE,Full window,market_phase,PULLBACK,MODERATE_SAMPLE,63,26,37,0.412698,16.914000,0.268476,1.542949,3.230200,1.270533,-0.888832,-0.414300,33,0.185697,30,0.359533,2025.03.05 19:00:00,2026.07.21 04:39:58
FastMedConfluence,CONFLUENCE,Full window,market_phase,TREND_CONTINUATION,EXPLORATORY,31,8,23,0.258065,-4.157500,-0.134113,0.749195,6.027200,1.020797,-0.721510,-0.639400,8,0.518150,23,-0.360987,2025.04.24 18:00:00,2026.05.13 19:35:00
FastMedConfluence,CONFLUENCE,Full window,market_phase,UNCLASSIFIED,MODERATE_SAMPLE,81,32,49,0.395062,17.220700,0.212601,1.432766,7.389000,1.201335,-0.799800,-0.505500,41,0.246105,40,0.178260,2025.03.05 15:45:00,2026.07.16 04:20:00
FastMedConfluence,CONFLUENCE,Full window,trend_strength,NORMAL,MODERATE_SAMPLE,57,26,31,0.456140,23.109400,0.405428,1.909472,4.544200,1.300893,-0.776242,-0.236400,24,0.551654,33,0.299082,2025.03.05 15:45:00,2026.07.21 04:39:58
FastMedConfluence,CONFLUENCE,Full window,trend_strength,STRONG,INSUFFICIENT,11,3,8,0.272727,-1.206000,-0.109636,0.769909,2.623500,0.723409,-0.724882,-0.322000,7,-0.046000,4,-0.221000,2025.03.27 13:45:00,2026.07.15 20:35:00
FastMedConfluence,CONFLUENCE,Full window,trend_strength,WEAK,STRONGER_DESCRIPTIVE_SAMPLE,156,52,104,0.333333,6.341300,0.040649,1.074769,12.463300,1.160714,-0.855279,-0.638750,76,0.119178,80,-0.033952,2025.03.05 17:05:00,2026.07.21 04:10:00
FastMedConfluence,CONFLUENCE,Full window,volatility,CONTRACTING,EXPLORATORY,35,7,28,0.200000,-11.855200,-0.338720,0.503771,11.930200,0.950103,-1.090231,-1.000000,15,-0.008313,20,-0.586525,2025.03.11 08:55:00,2026.07.15 20:35:00
FastMedConfluence,CONFLUENCE,Full window,volatility,EXPANDING,STRONGER_DESCRIPTIVE_SAMPLE,107,44,63,0.411215,27.312200,0.255254,1.539971,8.992400,1.210944,-0.745124,-0.380400,53,0.331562,54,0.180359,2025.03.05 15:45:00,2026.07.21 04:39:58
FastMedConfluence,CONFLUENCE,Full window,volatility,NORMAL,MODERATE_SAMPLE,82,30,52,0.365854,12.787700,0.155948,1.311962,6.357100,1.223844,-0.826300,-0.525950,39,0.116079,43,0.192107,2025.03.11 06:25:00,2026.07.21 04:10:00
FastMedContext,CONTEXT,Full window,alignment,FULLY_ALIGNED,MODERATE_SAMPLE,67,20,47,0.298507,-2.479400,-0.037006,0.931210,11.517900,1.019042,-0.784633,-0.639400,29,0.334097,38,-0.320216,2025.03.27 17:30:00,2026.07.16 05:44:57
FastMedContext,CONTEXT,Full window,alignment,OPPOSED,STRONGER_DESCRIPTIVE_SAMPLE,123,49,74,0.398374,27.557000,0.224041,1.462825,5.945800,1.205008,-0.847512,-0.414300,63,0.287575,60,0.157330,2025.03.05 15:45:00,2026.07.21 04:39:58
FastMedContext,CONTEXT,Full window,alignment,PARTIALLY_ALIGNED,EXPLORATORY,45,14,31,0.311111,-1.345600,-0.029902,0.948100,8.445200,1.268249,-1.013031,-0.750700,21,-0.519076,24,0.398125,2025.03.11 08:55:00,2026.07.13 17:19:58
