strategy,family,window,regime_dimension,regime_value,sample_label,trades,wins,losses,win_rate,cumulative_r,expectancy_r,profit_factor_r,max_drawdown_r,average_mfe_r,average_mae_r,median_r,long_trades,long_expectancy_r,short_trades,short_expectancy_r,first_entry_time,last_exit_time
FastBreakout,BREAKOUT,Development,alignment,FULLY_ALIGNED,EXPLORATORY,46,12,34,0.260870,-1.884100,-0.040959,0.924055,8.806300,1.012459,-0.805263,-0.624300,23,0.283552,23,-0.365470,2025.03.27 17:30:00,2025.12.18 18:14:58
FastBreakout,BREAKOUT,Development,alignment,OPPOSED,MODERATE_SAMPLE,91,34,57,0.373626,14.827500,0.162940,1.345521,9.411400,1.057231,-0.721137,-0.396900,49,0.353092,42,-0.058905,2025.03.05 15:45:00,2025.12.31 07:54:58
FastBreakout,BREAKOUT,Development,alignment,PARTIALLY_ALIGNED,EXPLORATORY,25,7,18,0.280000,-1.733400,-0.069336,0.878884,5.445200,1.242812,-0.832984,-0.750700,11,-0.480536,14,0.253750,2025.03.11 08:55:00,2025.12.10 05:20:00
FastBreakout,BREAKOUT,Development,direction,BEARISH,MODERATE_SAMPLE,76,23,53,0.302632,-1.261400,-0.016597,0.968812,11.176800,0.974545,-0.805889,-0.632400,29,0.107586,47,-0.093221,2025.03.05 15:45:00,2025.12.31 07:54:58
FastBreakout,BREAKOUT,Development,direction,BULLISH,MODERATE_SAMPLE,86,30,56,0.348837,12.471400,0.145016,1.299868,7.597700,1.160302,-0.723751,-0.405600,54,0.285506,32,-0.092059,2025.03.11 06:25:00,2025.12.29 21:00:00
FastBreakout,BREAKOUT,Development,market_phase,BREAKOUT,EXPLORATORY,29,8,21,0.275862,-2.073500,-0.071500,0.878016,10.327400,1.000807,-0.915586,-1.000000,17,0.148506,12,-0.383175,2025.03.27 17:30:00,2025.12.11 17:24:57
FastBreakout,BREAKOUT,Development,market_phase,COMPRESSION,INSUFFICIENT,6,3,3,0.500000,3.775200,0.629200,2.696872,1.000000,2.180733,-0.639350,0.887600,4,-0.056200,2,2.000000,2025.03.11 08:55:00,2025.12.30 03:05:00
FastBreakout,BREAKOUT,Development,market_phase,PULLBACK,EXPLORATORY,41,16,25,0.390244,11.527900,0.281168,1.621970,4.892000,1.157339,-0.794424,-0.230200,22,0.274495,19,0.288895,2025.03.05 19:00:00,2025.12.30 12:34:58
FastBreakout,BREAKOUT,Development,market_phase,TRANSITION,INSUFFICIENT,1,0,1,0.000000,-1.000000,-1.000000,0.000000,1.000000,0.163300,-1.387800,-1.000000,1,-1.000000,0,0.000000,2025.05.30 03:00:00,2025.05.30 03:14:58
FastBreakout,BREAKOUT,Development,market_phase,TREND_CONTINUATION,EXPLORATORY,20,3,17,0.150000,-4.367900,-0.218395,0.578709,7.600800,0.825245,-0.710435,-0.559200,7,0.136886,13,-0.409700,2025.04.22 19:40:00,2025.12.18 18:14:58
FastBreakout,BREAKOUT,Development,market_phase,UNCLASSIFIED,MODERATE_SAMPLE,65,23,42,0.353846,3.348300,0.051512,1.101745,7.884100,1.040377,-0.691295,-0.507600,32,0.320012,33,-0.208852,2025.03.05 15:45:00,2025.12.31 07:54:58
FastBreakout,BREAKOUT,Development,trend_strength,NORMAL,EXPLORATORY,33,14,19,0.424242,12.442600,0.377048,1.956255,3.916700,1.177097,-0.667406,-0.115300,17,0.789894,16,-0.061600,2025.03.05 15:45:00,2025.12.31 07:54:58
FastBreakout,BREAKOUT,Development,trend_strength,STRONG,INSUFFICIENT,8,2,6,0.250000,0.697300,0.087162,1.211130,1.679200,0.783587,-0.593437,-0.267650,5,0.335600,3,-0.326900,2025.03.27 13:45:00,2025.12.29 18:40:00
FastBreakout,BREAKOUT,Development,trend_strength,WEAK,STRONGER_DESCRIPTIVE_SAMPLE,121,37,84,0.305785,-1.929900,-0.015950,0.970634,18.333200,1.063955,-0.799325,-0.651800,61,0.056248,60,-0.089350,2025.03.05 17:05:00,2025.12.30 12:34:58
FastBreakout,BREAKOUT,Development,volatility,CONTRACTING,EXPLORATORY,23,5,18,0.217391,-8.973000,-0.390130,0.403510,8.973000,0.894648,-0.853817,-1.000000,11,-0.382673,12,-0.396967,2025.03.11 08:55:00,2025.12.30 03:05:00
FastBreakout,BREAKOUT,Development,volatility,EXPANDING,MODERATE_SAMPLE,83,30,53,0.361446,18.259900,0.219999,1.503398,7.043400,1.111064,-0.708482,-0.288200,42,0.372624,41,0.063651,2025.03.05 15:45:00,2025.12.31 07:54:58
FastBreakout,BREAKOUT,Development,volatility,NORMAL,MODERATE_SAMPLE,56,18,38,0.321429,1.923100,0.034341,1.062605,9.297500,1.090289,-0.804436,-0.646550,30,0.236550,26,-0.198977,2025.03.11 06:25:00,2025.12.30 03:44:58
FastBreakout,BREAKOUT,Final holdout,alignment,FULLY_ALIGNED,INSUFFICIENT,6,3,3,0.500000,-0.466000,-0.077667,0.844667,2.780100,0.852517,-0.885783,-0.390050,3,-0.561967,3,0.406633,2026.05.12 19:00:00,2026.07.16 05:44:57
FastBreakout,BREAKOUT,Final holdout,alignment,OPPOSED,EXPLORATORY,32,9,23,0.281250,-3.586700,-0.112084,0.808062,5.487500,1.030278,-1.029519,-0.960850,16,-0.219094,16,-0.005075,2026.05.13 21:45:00,2026.07.21 04:39:58
FastBreakout,BREAKOUT,Final holdout,alignment,PARTIALLY_ALIGNED,INSUFFICIENT,9,4,5,0.444444,3.089100,0.343233,1.854594,3.163200,1.121667,-1.005889,-0.451500,6,-0.485150,3,2.000000,2026.05.13 19:30:00,2026.07.10 07:25:00
FastBreakout,BREAKOUT,Final holdout,direction,BEARISH,EXPLORATORY,28,9,19,0.321429,-2.899300,-0.103546,0.800508,8.118900,0.901064,-1.125943,-0.581600,11,-0.531736,17,0.173518,2026.05.12 19:00:00,2026.07.21 04:10:00
FastBreakout,BREAKOUT,Final holdout,direction,BULLISH,INSUFFICIENT,19,7,12,0.368421,1.935700,0.101879,1.179762,3.000000,1.207853,-0.830837,-0.811100,14,-0.160943,5,0.837780,2026.05.13 19:30:00,2026.07.21 04:39:58
FastBreakout,BREAKOUT,Final holdout,market_phase,BREAKOUT,INSUFFICIENT,6,3,3,0.500000,0.472200,0.078700,1.192617,1.527800,0.992300,-0.804967,-0.115800,3,-0.249233,3,0.406633,2026.05.14 15:10:00,2026.07.16 05:44:57
FastBreakout,BREAKOUT,Final holdout,market_phase,COMPRESSION,INSUFFICIENT,5,1,4,0.200000,-1.238500,-0.247700,0.462270,2.272500,0.869780,-0.732000,-0.461400,2,-0.730700,3,0.074300,2026.05.22 19:35:00,2026.07.21 04:10:00
FastBreakout,BREAKOUT,Final holdout,market_phase,PULLBACK,INSUFFICIENT,13,4,9,0.307692,-2.063800,-0.158754,0.745185,3.964600,1.091300,-0.951738,-1.000000,7,-0.142857,6,-0.177300,2026.05.14 10:55:00,2026.07.21 04:39:58
FastBreakout,BREAKOUT,Final holdout,market_phase,TREND_CONTINUATION,INSUFFICIENT,2,1,1,0.500000,-0.685900,-0.342950,0.314100,1.000000,0.363150,-0.539850,-0.342950,2,-0.342950,0,0.000000,2026.05.12 19:00:00,2026.05.22 21:04:58
FastBreakout,BREAKOUT,Final holdout,market_phase,UNCLASSIFIED,EXPLORATORY,21,7,14,0.333333,2.552400,0.121543,1.222964,4.662200,1.093481,-1.208105,-0.701800,11,-0.382482,10,0.675970,2026.05.13 19:30:00,2026.07.16 04:20:00
FastBreakout,BREAKOUT,Final holdout,trend_strength,NORMAL,INSUFFICIENT,15,7,8,0.466667,5.551800,0.370120,1.738969,1.811100,1.372760,-0.740927,-0.701800,6,0.049700,9,0.583733,2026.05.13 19:30:00,2026.07.21 04:39:58
FastBreakout,BREAKOUT,Final holdout,trend_strength,STRONG,INSUFFICIENT,3,1,2,0.333333,-1.964600,-0.654867,0.017700,2.000000,0.517633,-1.047533,-1.000000,2,-1.000000,1,0.035400,2026.05.25 01:05:00,2026.07.15 20:35:00
FastBreakout,BREAKOUT,Final holdout,trend_strength,WEAK,EXPLORATORY,29,8,21,0.275862,-4.550800,-0.156924,0.711767,9.314200,0.897748,-1.139855,-0.505500,17,-0.376500,12,0.154142,2026.05.12 19:00:00,2026.07.21 04:10:00
FastBreakout,BREAKOUT,Final holdout,volatility,CONTRACTING,INSUFFICIENT,6,1,5,0.166667,-3.925000,-0.654167,0.008938,3.960400,0.675833,-1.629150,-0.960850,1,-1.000000,5,-0.585000,2026.05.22 22:20:00,2026.07.15 20:35:00
FastBreakout,BREAKOUT,Final holdout,volatility,EXPANDING,EXPLORATORY,23,9,14,0.391304,0.256100,0.011135,1.019728,5.481900,1.082452,-1.097461,-1.000000,14,-0.548850,9,0.882222,2026.05.12 19:00:00,2026.07.21 04:39:58
FastBreakout,BREAKOUT,Final holdout,volatility,NORMAL,INSUFFICIENT,18,6,12,0.333333,2.705300,0.150294,1.323624,2.811100,1.068200,-0.683100,-0.456450,10,0.058160,8,0.265462,2026.05.13 19:30:00,2026.07.21 04:10:00
FastBreakout,BREAKOUT,Full window,alignment,FULLY_ALIGNED,MODERATE_SAMPLE,76,20,56,0.263158,-7.886400,-0.103768,0.818056,12.808600,0.981568,-0.829217,-0.667850,33,0.167876,43,-0.312240,2025.03.27 17:30:00,2026.07.16 05:44:57
FastBreakout,BREAKOUT,Full window,alignment,OPPOSED,STRONGER_DESCRIPTIVE_SAMPLE,144,57,87,0.395833,27.368500,0.190059,1.405757,9.411400,1.152791,-0.794889,-0.352700,75,0.303624,69,0.066619,2025.03.05 15:45:00,2026.07.21 04:39:58
FastBreakout,BREAKOUT,Full window,alignment,PARTIALLY_ALIGNED,EXPLORATORY,41,14,27,0.341463,1.358200,0.033127,1.061943,5.445200,1.177522,-0.904385,-0.518400,21,-0.437943,20,0.527750,2025.03.11 08:55:00,2026.07.10 07:25:00
FastBreakout,BREAKOUT,Full window,direction,BEARISH,STRONGER_DESCRIPTIVE_SAMPLE,128,44,84,0.343750,9.695300,0.075745,1.148879,11.176800,1.073693,-0.889951,-0.570950,51,0.058333,77,0.087277,2025.03.05 15:45:00,2026.07.21 04:10:00
FastBreakout,BREAKOUT,Full window,direction,BULLISH,STRONGER_DESCRIPTIVE_SAMPLE,133,47,86,0.353383,11.145000,0.083797,1.164866,7.597700,1.138698,-0.756771,-0.507600,78,0.206922,55,-0.090816,2025.03.11 06:25:00,2026.07.21 04:39:58
FastBreakout,BREAKOUT,Full window,market_phase,BREAKOUT,EXPLORATORY,39,12,27,0.307692,-2.601300,-0.066700,0.884128,10.855200,0.970700,-0.906600,-1.000000,22,-0.010141,17,-0.139894,2025.03.27 17:30:00,2026.07.16 05:44:57
FastBreakout,BREAKOUT,Full window,market_phase,COMPRESSION,INSUFFICIENT,14,5,9,0.357143,2.536700,0.181193,1.388588,4.272500,1.501686,-0.743129,-0.343100,7,0.044829,7,0.317557,2025.03.11 08:55:00,2026.07.21 04:10:00
FastBreakout,BREAKOUT,Full window,market_phase,PULLBACK,MODERATE_SAMPLE,63,27,36,0.428571,19.494800,0.309441,1.680834,4.892000,1.277146,-0.850754,-0.213300,32,0.283425,31,0.336297,2025.03.05 19:00:00,2026.07.21 04:39:58
FastBreakout,BREAKOUT,Full window,market_phase,TRANSITION,INSUFFICIENT,1,0,1,0.000000,-1.000000,-1.000000,0.000000,1.000000,0.163300,-1.387800,-1.000000,1,-1.000000,0,0.000000,2025.05.30 03:00:00,2025.05.30 03:14:58
FastBreakout,BREAKOUT,Full window,market_phase,TREND_CONTINUATION,EXPLORATORY,38,7,31,0.184211,-10.123400,-0.266405,0.548818,10.123400,0.879692,-0.786105,-0.646550,12,0.083800,26,-0.428038,2025.04.22 19:40:00,2026.05.22 21:04:58
FastBreakout,BREAKOUT,Full window,market_phase,UNCLASSIFIED,STRONGER_DESCRIPTIVE_SAMPLE,106,40,66,0.377358,12.533500,0.118241,1.242553,7.884100,1.093838,-0.791942,-0.455750,55,0.180891,51,0.050676,2025.03.05 15:45:00,2026.07.16 04:20:00
FastBreakout,BREAKOUT,Full window,trend_strength,NORMAL,MODERATE_SAMPLE,60,26,34,0.433333,21.686600,0.361443,1.808221,4.307800,1.249297,-0.764767,-0.298000,26,0.554562,34,0.213765,2025.03.05 15:45:00,2026.07.21 04:39:58
FastBreakout,BREAKOUT,Full window,trend_strength,STRONG,INSUFFICIENT,12,3,9,0.250000,-2.055900,-0.171325,0.662486,3.412100,0.656217,-0.731742,-0.472750,7,-0.046000,5,-0.346780,2025.03.27 13:45:00,2026.07.15 20:35:00
FastBreakout,BREAKOUT,Full window,trend_strength,WEAK,STRONGER_DESCRIPTIVE_SAMPLE,189,62,127,0.328042,1.209600,0.006400,1.012120,18.333200,1.090196,-0.846018,-0.611800,96,0.052274,93,-0.040954,2025.03.05 17:05:00,2026.07.21 04:10:00
FastBreakout,BREAKOUT,Full window,volatility,CONTRACTING,EXPLORATORY,38,9,29,0.236842,-11.364700,-0.299071,0.515780,11.439700,0.884311,-0.952879,-0.960850,18,-0.068811,20,-0.506305,2025.03.11 08:55:00,2026.07.15 20:35:00
FastBreakout,BREAKOUT,Full window,volatility,EXPANDING,STRONGER_DESCRIPTIVE_SAMPLE,128,49,79,0.382812,25.716500,0.200910,1.432057,7.043400,1.143084,-0.779008,-0.344200,65,0.243131,63,0.157349,2025.03.05 15:45:00,2026.07.21 04:39:58
FastBreakout,BREAKOUT,Full window,volatility,NORMAL,MODERATE_SAMPLE,95,33,62,0.347368,6.488500,0.068300,1.130472,9.297500,1.146958,-0.827809,-0.611800,46,0.098913,49,0.039561,2025.03.11 06:25:00,2026.07.21 04:10:00
FastBreakout,BREAKOUT,Validation,alignment,FULLY_ALIGNED,EXPLORATORY,24,5,19,0.208333,-5.536300,-0.230679,0.643654,8.457200,0.954625,-0.860987,-0.894300,7,0.100586,17,-0.367082,2026.01.06 01:10:00,2026.05.07 09:34:58
FastBreakout,BREAKOUT,Validation,alignment,OPPOSED,EXPLORATORY,21,14,7,0.666667,16.127700,0.767986,3.756778,3.002100,1.753571,-0.756948,1.125500,10,0.897580,11,0.650173,2026.01.06 17:25:00,2026.04.21 21:19:58
FastBreakout,BREAKOUT,Validation,alignment,PARTIALLY_ALIGNED,INSUFFICIENT,7,3,4,0.428571,0.002500,0.000357,1.000625,3.997500,1.016157,-1.028886,-1.000000,4,-0.250000,3,0.334167,2026.01.30 22:20:00,2026.04.16 05:29:58
