strategy,quarter,trades,cumulative_r,expectancy_r
AlignedFastPullback,2025-Q1,11,4.672400,0.424764
AlignedFastPullback,2025-Q2,19,-6.396000,-0.336632
AlignedFastPullback,2025-Q3,13,-4.000000,-0.307692
AlignedFastPullback,2025-Q4,23,-3.285000,-0.142826
AlignedFastPullback,2026-Q1,11,4.000000,0.363636
AlignedFastPullback,2026-Q2,26,-2.706400,-0.104092
AlignedFastPullback,2026-Q3,7,0.786200,0.112314
BreakoutRetest,2025-Q1,16,-7.017000,-0.438562
BreakoutRetest,2025-Q2,55,-0.987500,-0.017955
BreakoutRetest,2025-Q3,36,9.038600,0.251072
BreakoutRetest,2025-Q4,68,-19.525000,-0.287132
BreakoutRetest,2026-Q1,61,-19.995300,-0.327792
BreakoutRetest,2026-Q2,93,0.787400,0.008467
BreakoutRetest,2026-Q3,25,-0.077100,-0.003084
SweepReclaim,2025-Q1,21,6.263500,0.298262
SweepReclaim,2025-Q2,32,15.266800,0.477087
SweepReclaim,2025-Q3,33,9.860900,0.298815
SweepReclaim,2025-Q4,37,-13.808200,-0.373195
SweepReclaim,2026-Q1,18,5.501500,0.305639
SweepReclaim,2026-Q2,35,-2.255600,-0.064446
SweepReclaim,2026-Q3,14,7.782800,0.555914
CompressionBreakout,2025-Q1,3,1.802300,0.600767
CompressionBreakout,2025-Q2,21,3.591600,0.171029
CompressionBreakout,2025-Q3,13,-4.481500,-0.344731
CompressionBreakout,2025-Q4,11,-4.751900,-0.431991
CompressionBreakout,2026-Q1,8,2.537300,0.317163
CompressionBreakout,2026-Q2,19,0.439500,0.023132
CompressionBreakout,2026-Q3,9,-1.874000,-0.208222
StructureTransition,2025-Q1,1,-1.000000,-1.000000
StructureTransition,2025-Q2,4,-4.000000,-1.000000
StructureTransition,2025-Q3,3,-3.000000,-1.000000
StructureTransition,2025-Q4,3,3.000000,1.000000
StructureTransition,2026-Q1,5,1.000000,0.200000
StructureTransition,2026-Q2,4,2.000000,0.500000
StructureTransition,2026-Q3,1,-0.189200,-0.189200
