strategy,dimension,value,sample_label,trades,percentage,cumulative_r,expectancy_r,profit_factor_r
AlignedFastPullback,direction,BEARISH,MODERATE_SAMPLE,53,48.181818,-16.314900,-0.307828,0.574391
AlignedFastPullback,direction,BULLISH,MODERATE_SAMPLE,57,51.818182,9.386100,0.164668,1.287794
AlignedFastPullback,trend_strength,NORMAL,EXPLORATORY,28,25.454545,6.104300,0.218011,1.384022
AlignedFastPullback,trend_strength,STRONG,INSUFFICIENT,5,4.545455,-3.981800,-0.796360,0.004550
AlignedFastPullback,trend_strength,WEAK,MODERATE_SAMPLE,77,70.000000,-9.051300,-0.117549,0.822702
AlignedFastPullback,volatility_state,CONTRACTING,EXPLORATORY,22,20.000000,-12.271000,-0.557773,0.246679
AlignedFastPullback,volatility_state,EXPANDING,EXPLORATORY,39,35.454545,2.529500,0.064859,1.107774
AlignedFastPullback,volatility_state,NORMAL,EXPLORATORY,49,44.545455,2.812700,0.057402,1.090187
AlignedFastPullback,alignment_state,FULLY_ALIGNED,INSUFFICIENT,12,10.909091,-8.232000,-0.686000,0.195465
AlignedFastPullback,alignment_state,OPPOSED,MODERATE_SAMPLE,94,85.454545,2.303200,0.024502,1.039906
AlignedFastPullback,alignment_state,PARTIALLY_ALIGNED,INSUFFICIENT,4,3.636364,-1.000000,-0.250000,0.666667
AlignedFastPullback,market_phase,BREAKOUT,INSUFFICIENT,16,14.545455,-9.232000,-0.577000,0.302297
AlignedFastPullback,market_phase,COMPRESSION,INSUFFICIENT,7,6.363636,-1.000000,-0.142857,0.800000
AlignedFastPullback,market_phase,PULLBACK,EXPLORATORY,43,39.090909,3.146800,0.073181,1.126523
AlignedFastPullback,market_phase,UNCLASSIFIED,EXPLORATORY,44,40.000000,0.156400,0.003555,1.005617
BreakoutRetest,direction,BEARISH,STRONGER_DESCRIPTIVE_SAMPLE,175,49.435028,-27.292900,-0.155959,0.780425
BreakoutRetest,direction,BULLISH,STRONGER_DESCRIPTIVE_SAMPLE,179,50.564972,-10.483000,-0.058564,0.914441
BreakoutRetest,trend_strength,NORMAL,MODERATE_SAMPLE,72,20.338983,-14.079200,-0.195544,0.729666
BreakoutRetest,trend_strength,STRONG,INSUFFICIENT,6,1.694915,3.004300,0.500717,2.001433
BreakoutRetest,trend_strength,WEAK,STRONGER_DESCRIPTIVE_SAMPLE,276,77.966102,-26.701000,-0.096743,0.860745
BreakoutRetest,volatility_state,CONTRACTING,MODERATE_SAMPLE,55,15.536723,-9.969400,-0.181262,0.750765
BreakoutRetest,volatility_state,EXPANDING,STRONGER_DESCRIPTIVE_SAMPLE,157,44.350282,-23.738900,-0.151203,0.787555
BreakoutRetest,volatility_state,NORMAL,STRONGER_DESCRIPTIVE_SAMPLE,142,40.112994,-4.067600,-0.028645,0.957220
BreakoutRetest,alignment_state,FULLY_ALIGNED,STRONGER_DESCRIPTIVE_SAMPLE,122,34.463277,-13.201700,-0.108211,0.845083
BreakoutRetest,alignment_state,OPPOSED,STRONGER_DESCRIPTIVE_SAMPLE,189,53.389831,-18.491600,-0.097839,0.859405
BreakoutRetest,alignment_state,PARTIALLY_ALIGNED,EXPLORATORY,43,12.146893,-6.082600,-0.141456,0.797791
BreakoutRetest,market_phase,BREAKOUT,INSUFFICIENT,4,1.129944,-4.000000,-1.000000,0.000000
BreakoutRetest,market_phase,COMPRESSION,EXPLORATORY,22,6.214689,-3.078000,-0.139909,0.795899
BreakoutRetest,market_phase,PULLBACK,MODERATE_SAMPLE,80,22.598870,0.013400,0.000168,1.000253
