strategy,family,scope,trades,wins,losses,win_rate,cumulative_r,expectancy_r,profit_factor_r,max_drawdown_r,median_r,average_mfe_r,average_mae_r,median_hold_bars,p90_hold_bars,wall_clock_exposure_pct,long_trades,long_expectancy_r,short_trades,short_expectancy_r,first_entry_time,last_exit_time
AlignedFastPullback,PULLBACK,Development,66,18,48,0.272727,-9.008600,-0.136494,0.799847,15.681000,-1.000000,1.015479,-0.954789,17.000000,208.500000,10.300147,37,0.213197,29,-0.582652,2025.03.05 15:45:00,2025.12.30 12:14:58
AlignedFastPullback,PULLBACK,Validation,23,9,14,0.391304,4.731000,0.205696,1.356545,4.766800,-1.000000,1.329543,-0.940161,53.000000,280.600000,8.347175,12,0.291483,11,0.112109,2026.01.06 19:50:00,2026.04.21 08:39:58
AlignedFastPullback,PULLBACK,Final holdout,21,6,15,0.285714,-2.651200,-0.126248,0.790740,5.000000,-1.000000,1.079057,-0.896605,51.000000,607.000000,20.566011,8,-0.250000,13,-0.050092,2026.05.05 23:35:00,2026.07.16 15:14:57
BreakoutRetest,RETEST,Development,175,52,123,0.297143,-18.490900,-0.105662,0.849083,24.523600,-1.000000,1.175454,-1.140485,2.000000,10.600000,1.794765,77,0.013331,98,-0.199157,2025.03.05 15:50:00,2025.12.30 17:19:58
BreakoutRetest,RETEST,Validation,89,25,64,0.280899,-14.988100,-0.168406,0.765811,25.997200,-1.000000,1.165706,-1.125265,2.000000,10.000000,1.387266,37,-0.108000,52,-0.211387,2026.01.06 20:10:00,2026.04.29 17:19:58
BreakoutRetest,RETEST,Final holdout,90,28,62,0.311111,-4.296900,-0.047743,0.928740,16.293400,-1.000000,1.290466,-1.048527,3.000000,18.300000,3.106496,46,-0.021667,44,-0.075005,2026.05.05 23:10:00,2026.07.21 04:39:58
SweepReclaim,REVERSAL,Development,123,44,79,0.357724,17.583000,0.142951,1.249698,18.294100,-1.000000,1.353523,-0.930137,5.000000,45.200000,4.040614,60,0.101933,63,0.182016,2025.03.05 03:10:00,2025.12.31 01:39:57
SweepReclaim,REVERSAL,Validation,29,11,18,0.379310,4.469500,0.154121,1.272877,4.032000,-1.000000,1.255966,-1.093607,6.000000,46.000000,2.082169,15,-0.012220,14,0.332343,2026.01.06 17:15:00,2026.04.22 06:39:58
SweepReclaim,REVERSAL,Final holdout,38,15,23,0.394737,6.559200,0.172611,1.333589,8.421300,-0.516850,1.161963,-0.800808,4.000000,23.300000,1.734245,21,0.086681,17,0.278759,2026.05.05 23:05:00,2026.07.16 15:19:58
CompressionBreakout,COMPRESSION,Development,48,13,35,0.270833,-3.839500,-0.079990,0.851465,11.119800,-0.540450,0.935569,-0.784027,770.500000,3090.400000,63.153794,23,0.163839,25,-0.304312,2025.03.04 18:35:00,2026.01.06 06:35:00
CompressionBreakout,COMPRESSION,Validation,12,6,6,0.500000,-0.014600,-0.001217,0.997157,3.000000,-0.021100,1.197767,-0.732767,1678.000000,4849.600000,77.854167,6,-0.020233,6,0.017800,2026.01.06 06:30:00,2026.05.06 11:54:58
CompressionBreakout,COMPRESSION,Final holdout,24,9,15,0.375000,1.117400,0.046558,1.098629,5.000000,-0.304800,0.842392,-0.687762,119.000000,1420.600000,53.985098,11,0.038018,13,0.053785,2026.05.12 11:35:00,2026.07.22 05:34:58
StructureTransition,REVERSAL,Development,11,2,9,0.181818,-5.000000,-0.454545,0.444444,8.000000,-1.000000,0.858764,-1.019709,75.000000,1717.000000,7.397887,6,0.000000,5,-1.000000,2025.03.24 23:05:00,2025.12.18 18:14:58
StructureTransition,REVERSAL,Validation,6,2,4,0.333333,0.000000,0.000000,1.000000,2.000000,-1.000000,1.063117,-0.846400,47.500000,327.500000,2.712537,2,0.500000,4,-0.250000,2026.01.06 17:35:00,2026.04.13 02:54:57
StructureTransition,REVERSAL,Final holdout,4,2,2,0.500000,2.810800,0.702700,3.363606,1.189200,0.905400,1.575350,-0.405425,242.500000,599.500000,7.216985,1,-0.189200,3,1.000000,2026.05.26 10:45:00,2026.07.23 23:59:59
