variant,month,trades,cumulative_r,expectancy_r
2R,2025-03,21,6.263500,0.298262
2R,2025-04,9,6.552800,0.728089
2R,2025-05,12,3.918000,0.326500
2R,2025-06,11,4.796000,0.436000
2R,2025-07,13,2.000000,0.153846
2R,2025-08,13,2.860900,0.220069
2R,2025-09,7,5.000000,0.714286
2R,2025-10,5,-1.449100,-0.289820
2R,2025-11,16,-8.845000,-0.552813
2R,2025-12,16,-3.514100,-0.219631
2R,2026-01,4,-0.347200,-0.086800
2R,2026-02,11,5.848700,0.531700
2R,2026-03,3,0.000000,0.000000
2R,2026-04,11,-1.032000,-0.093818
2R,2026-05,11,4.128400,0.375309
2R,2026-06,13,-5.352000,-0.411692
2R,2026-07,14,7.782800,0.555914
3R,2025-03,20,5.341300,0.267065
3R,2025-04,9,7.552800,0.839200
3R,2025-05,11,9.918000,0.901636
3R,2025-06,11,9.796000,0.890545
3R,2025-07,12,-4.000000,-0.333333
3R,2025-08,13,3.860900,0.296992
3R,2025-09,7,9.000000,1.285714
3R,2025-10,5,-0.449100,-0.089820
3R,2025-11,16,-14.845000,-0.927813
3R,2025-12,16,0.485900,0.030369
3R,2026-01,4,0.652800,0.163200
3R,2026-02,11,5.829800,0.529982
3R,2026-03,3,1.000000,0.333333
3R,2026-04,11,-6.032000,-0.548364
3R,2026-05,11,2.014400,0.183127
3R,2026-06,13,-11.352000,-0.873231
3R,2026-07,14,5.584500,0.398893
