variant,quarter,trades,cumulative_r,expectancy_r
2R,2025-Q1,21,6.263500,0.298262
2R,2025-Q2,32,15.266800,0.477087
2R,2025-Q3,33,9.860900,0.298815
2R,2025-Q4,37,-13.808200,-0.373195
2R,2026-Q1,18,5.501500,0.305639
2R,2026-Q2,35,-2.255600,-0.064446
2R,2026-Q3,14,7.782800,0.555914
3R,2025-Q1,20,5.341300,0.267065
3R,2025-Q2,31,27.266800,0.879574
3R,2025-Q3,32,8.860900,0.276903
3R,2025-Q4,37,-14.808200,-0.400222
3R,2026-Q1,18,7.482600,0.415700
3R,2026-Q2,35,-15.369600,-0.439131
3R,2026-Q3,14,5.584500,0.398893
