variant,dimension,value,trades,percentage,cumulative_r,expectancy_r,profit_factor_r
2R,direction,BEARISH,101,53.157895,10.797100,0.106902,1.181694
2R,direction,BULLISH,89,46.842105,17.814600,0.200164,1.378759
2R,trend_strength,NORMAL,40,21.052632,-2.267900,-0.056697,0.909151
2R,trend_strength,STRONG,7,3.684211,-1.809500,-0.258500,0.525003
2R,trend_strength,WEAK,143,75.263158,32.689100,0.228595,1.420787
2R,volatility_state,CONTRACTING,22,11.578947,10.043300,0.456514,1.913027
2R,volatility_state,EXPANDING,89,46.842105,0.868000,0.009753,1.016478
2R,volatility_state,NORMAL,79,41.578947,17.700400,0.224056,1.413731
2R,alignment_state,FULLY_ALIGNED,46,24.210526,-5.304400,-0.115313,0.834237
2R,alignment_state,OPPOSED,84,44.210526,42.534100,0.506358,2.199296
2R,alignment_state,PARTIALLY_ALIGNED,60,31.578947,-8.618000,-0.143633,0.778985
2R,market_phase,BREAKOUT,13,6.842105,3.695600,0.284277,1.527943
2R,market_phase,COMPRESSION,21,11.052632,6.001100,0.285767,1.572531
2R,market_phase,PULLBACK,19,10.000000,3.328600,0.175189,1.383860
2R,market_phase,TREND_CONTINUATION,28,14.736842,-7.000000,-0.250000,0.666667
2R,market_phase,UNCLASSIFIED,109,57.368421,22.586400,0.207215,1.380848
3R,direction,BEARISH,99,52.941176,-2.163700,-0.021856,0.968331
3R,direction,BULLISH,88,47.058824,26.522000,0.301386,1.519692
3R,trend_strength,NORMAL,41,21.925134,3.732100,0.091027,1.138413
3R,trend_strength,STRONG,7,3.743316,-0.809500,-0.115643,0.787505
3R,trend_strength,WEAK,139,74.331551,21.435700,0.154214,1.241981
3R,volatility_state,CONTRACTING,21,11.229947,4.566800,0.217467,1.351292
3R,volatility_state,EXPANDING,89,47.593583,20.013300,0.224869,1.372852
3R,volatility_state,NORMAL,77,41.176471,-0.221800,-0.002881,0.995790
3R,alignment_state,FULLY_ALIGNED,44,23.529412,-11.328100,-0.257457,0.666821
3R,alignment_state,OPPOSED,84,44.919786,41.304400,0.491719,1.931026
3R,alignment_state,PARTIALLY_ALIGNED,59,31.550802,-5.618000,-0.095220,0.862952
3R,market_phase,BREAKOUT,13,6.951872,0.695600,0.053508,1.077289
3R,market_phase,COMPRESSION,20,10.695187,3.740100,0.187005,1.302103
3R,market_phase,PULLBACK,19,10.160428,9.328600,0.490979,2.075789
3R,market_phase,TREND_CONTINUATION,27,14.438503,-8.023700,-0.297174,0.617919
3R,market_phase,UNCLASSIFIED,108,57.754011,18.617700,0.172386,1.272565
