variant,role,scope,trades,wins,losses,win_rate,cumulative_r,expectancy_r,profit_factor_r,max_drawdown_r,long_trades,long_expectancy_r,short_trades,short_expectancy_r,first_entry_time,last_exit_time
A_2R,core,Development,133,45,88,0.338346,13.936800,0.104788,1.203044,15.158100,69,0.292594,64,-0.097691,2025.03.05 15:45:00,2025.12.31 07:54:58
A_2R,core,Validation,52,20,32,0.384615,6.884300,0.132390,1.240600,8.205700,20,0.229615,32,0.071625,2026.01.06 04:35:00,2026.05.07 09:34:58
A_2R,core,Final holdout,39,16,23,0.410256,7.423600,0.190349,1.407655,4.921700,18,-0.155894,21,0.487129,2026.05.12 19:00:00,2026.07.21 04:39:58
SweepReclaim_2R,new,Development,123,44,79,0.357724,17.583000,0.142951,1.249698,18.294100,60,0.101933,63,0.182016,2025.03.05 03:10:00,2025.12.31 01:39:57
SweepReclaim_2R,new,Validation,29,11,18,0.379310,4.469500,0.154121,1.272877,4.032000,15,-0.012220,14,0.332343,2026.01.06 17:15:00,2026.04.22 06:39:58
SweepReclaim_2R,new,Final holdout,38,15,23,0.394737,6.559200,0.172611,1.333589,8.421300,21,0.086681,17,0.278759,2026.05.05 23:05:00,2026.07.16 15:19:58
A_plus_SweepReclaim_2R,combined,Development,229,75,154,0.327511,13.088100,0.057153,1.115455,25.279800,112,0.211985,117,-0.091062,2025.03.05 03:10:00,2025.12.31 07:54:58
A_plus_SweepReclaim_2R,combined,Validation,79,26,53,0.329114,1.566300,0.019827,1.036623,9.458400,36,0.027189,43,0.013663,2026.01.06 04:35:00,2026.05.07 09:34:58
A_plus_SweepReclaim_2R,combined,Final holdout,63,23,40,0.365079,6.085600,0.096597,1.221274,10.284500,28,-0.169357,35,0.309360,2026.05.12 19:00:00,2026.07.21 04:39:58
E_3R,core,Development,127,33,94,0.259843,7.536600,0.059343,1.100506,16.920400,66,0.400082,61,-0.309325,2025.03.05 15:45:00,2026.01.05 03:04:58
E_3R,core,Validation,49,17,32,0.346939,14.884300,0.303761,1.520194,7.029200,17,0.093665,32,0.415375,2026.01.06 04:35:00,2026.05.07 09:34:58
E_3R,core,Final holdout,37,13,24,0.351351,8.825600,0.238530,1.445546,5.903700,18,-0.378117,19,0.822721,2026.05.12 19:00:00,2026.07.21 04:39:58
SweepReclaim_3R,new,Development,120,36,84,0.300000,26.660800,0.222173,1.349350,24.294100,58,0.237253,62,0.208066,2025.03.05 03:10:00,2025.12.31 07:54:58
SweepReclaim_3R,new,Validation,29,8,21,0.275862,1.450600,0.050021,1.074853,9.032000,15,-0.346813,14,0.475200,2026.01.06 17:15:00,2026.04.22 06:39:58
SweepReclaim_3R,new,Final holdout,38,11,27,0.289474,-3.753100,-0.098766,0.841390,16.421300,21,-0.031248,17,-0.182171,2026.05.05 23:05:00,2026.07.16 15:44:58
E_plus_SweepReclaim_3R,combined,Development,220,60,160,0.272727,13.348800,0.060676,1.111206,28.116400,107,0.319190,113,-0.184111,2025.03.05 03:10:00,2026.01.05 03:04:58
E_plus_SweepReclaim_3R,combined,Validation,75,21,54,0.280000,6.484700,0.086463,1.151401,8.094700,33,-0.031518,42,0.179162,2026.01.06 04:35:00,2026.05.07 09:34:58
E_plus_SweepReclaim_3R,combined,Final holdout,58,18,40,0.310345,0.759800,0.013100,1.026409,14.312700,29,-0.320217,29,0.346417,2026.05.12 19:00:00,2026.07.21 04:39:58
