strategy,mode,trades,cumulative_r,excluding_best_trade_r,excluding_top_three_trades_r,best_quarter,best_quarter_r,excluding_best_quarter_r,positive_quarters,negative_quarters
AlignedFastPullback,LABEL_ONLY,110,-6.928800,-8.928800,-12.928800,2025-Q1,4.672400,-11.601200,3,4
AlignedFastPullback,RESEARCH_FILTER,0,0.000000,0.000000,0.000000,,0.000000,0.000000,0,0
BreakoutRetest,LABEL_ONLY,354,-37.775900,-39.790600,-43.807100,2025-Q3,9.038600,-46.814500,2,5
BreakoutRetest,RESEARCH_FILTER,96,-8.992200,-10.996900,-15.002900,2025-Q3,5.007300,-13.999500,5,2
SweepReclaim,LABEL_ONLY,190,28.611700,26.611700,22.611700,2025-Q2,15.266800,13.344900,5,2
SweepReclaim,RESEARCH_FILTER,0,0.000000,0.000000,0.000000,,0.000000,0.000000,0,0
CompressionBreakout,LABEL_ONLY,84,-2.736700,-4.736700,-8.736700,2025-Q2,3.591600,-6.328300,4,3
CompressionBreakout,RESEARCH_FILTER,73,4.411500,2.411500,-1.588500,2025-Q2,4.591600,-0.180100,4,2
StructureTransition,LABEL_ONLY,21,-2.189200,-4.189200,-8.189200,2025-Q4,3.000000,-5.189200,3,4
StructureTransition,RESEARCH_FILTER,21,-2.189200,-4.189200,-8.189200,2025-Q4,3.000000,-5.189200,3,4
