strategy,mode,scope,trades,wins,losses,win_rate,cumulative_r,expectancy_r,profit_factor_r,max_drawdown_r,long_trades,long_expectancy_r,short_trades,short_expectancy_r,first_entry_time,last_exit_time
AlignedFastPullback,LABEL_ONLY,Full window,110,33,77,0.300000,-6.928800,-0.062989,0.902338,17.681000,57,0.164668,53,-0.307828,2025.03.05 15:45:00,2026.07.16 15:14:57
AlignedFastPullback,RESEARCH_FILTER,Full window,0,0,0,,0.000000,,,0.000000,0,,0,,,
BreakoutRetest,LABEL_ONLY,Full window,354,105,249,0.296610,-37.775900,-0.106712,0.846951,49.518900,160,-0.024789,194,-0.174277,2025.03.05 15:50:00,2026.07.21 04:39:58
BreakoutRetest,RESEARCH_FILTER,Full window,96,29,67,0.302083,-8.992200,-0.093669,0.865788,24.997700,36,0.333856,60,-0.350183,2025.03.07 12:20:00,2026.07.16 14:29:57
SweepReclaim,LABEL_ONLY,Full window,190,70,120,0.368421,28.611700,0.150588,1.268759,18.294100,96,0.080760,94,0.221901,2025.03.05 03:10:00,2026.07.16 15:19:58
SweepReclaim,RESEARCH_FILTER,Full window,0,0,0,,0.000000,,,0.000000,0,,0,,,
CompressionBreakout,LABEL_ONLY,Full window,84,28,56,0.333333,-2.736700,-0.032580,0.935325,11.415100,40,0.101628,44,-0.154586,2025.03.04 18:35:00,2026.07.22 05:34:58
CompressionBreakout,RESEARCH_FILTER,Full window,73,27,46,0.369863,4.411500,0.060432,1.125697,6.788200,37,0.154857,36,-0.036617,2025.03.04 18:35:00,2026.07.22 17:04:58
StructureTransition,LABEL_ONLY,Full window,21,6,15,0.285714,-2.189200,-0.104248,0.845714,8.000000,9,0.090089,12,-0.250000,2025.03.24 23:05:00,2026.07.23 23:59:59
StructureTransition,RESEARCH_FILTER,Full window,21,6,15,0.285714,-2.189200,-0.104248,0.845714,8.000000,9,0.090089,12,-0.250000,2025.03.24 23:05:00,2026.07.23 23:59:59
