strategy,mode,scope,trades,wins,losses,win_rate,cumulative_r,expectancy_r,profit_factor_r,max_drawdown_r,long_trades,long_expectancy_r,short_trades,short_expectancy_r,first_entry_time,last_exit_time
AlignedFastPullback,LABEL_ONLY,Development,66,18,48,0.272727,-9.008600,-0.136494,0.799847,15.681000,37,0.213197,29,-0.582652,2025.03.05 15:45:00,2025.12.30 12:14:58
AlignedFastPullback,LABEL_ONLY,Validation,23,9,14,0.391304,4.731000,0.205696,1.356545,4.766800,12,0.291483,11,0.112109,2026.01.06 19:50:00,2026.04.21 08:39:58
AlignedFastPullback,LABEL_ONLY,Final holdout,21,6,15,0.285714,-2.651200,-0.126248,0.790740,5.000000,8,-0.250000,13,-0.050092,2026.05.05 23:35:00,2026.07.16 15:14:57
AlignedFastPullback,RESEARCH_FILTER,Development,0,0,0,,0.000000,,,0.000000,0,,0,,,
AlignedFastPullback,RESEARCH_FILTER,Validation,0,0,0,,0.000000,,,0.000000,0,,0,,,
AlignedFastPullback,RESEARCH_FILTER,Final holdout,0,0,0,,0.000000,,,0.000000,0,,0,,,
BreakoutRetest,LABEL_ONLY,Development,175,52,123,0.297143,-18.490900,-0.105662,0.849083,24.523600,77,0.013331,98,-0.199157,2025.03.05 15:50:00,2025.12.30 17:19:58
BreakoutRetest,LABEL_ONLY,Validation,89,25,64,0.280899,-14.988100,-0.168406,0.765811,25.997200,37,-0.108000,52,-0.211387,2026.01.06 20:10:00,2026.04.29 17:19:58
BreakoutRetest,LABEL_ONLY,Final holdout,90,28,62,0.311111,-4.296900,-0.047743,0.928740,16.293400,46,-0.021667,44,-0.075005,2026.05.05 23:10:00,2026.07.21 04:39:58
BreakoutRetest,RESEARCH_FILTER,Development,51,18,33,0.352941,3.003200,0.058886,1.091006,7.999000,21,0.429248,30,-0.200367,2025.03.07 12:20:00,2025.12.30 14:09:58
BreakoutRetest,RESEARCH_FILTER,Validation,33,5,28,0.151515,-18.000400,-0.545467,0.357129,21.000400,9,-0.666711,24,-0.500000,2026.01.13 10:50:00,2026.04.29 17:19:58
BreakoutRetest,RESEARCH_FILTER,Final holdout,12,6,6,0.500000,6.005000,0.500417,2.000833,3.000000,6,1.500833,6,-0.500000,2026.05.12 19:25:00,2026.07.16 14:29:57
SweepReclaim,LABEL_ONLY,Development,123,44,79,0.357724,17.583000,0.142951,1.249698,18.294100,60,0.101933,63,0.182016,2025.03.05 03:10:00,2025.12.31 01:39:57
SweepReclaim,LABEL_ONLY,Validation,29,11,18,0.379310,4.469500,0.154121,1.272877,4.032000,15,-0.012220,14,0.332343,2026.01.06 17:15:00,2026.04.22 06:39:58
SweepReclaim,LABEL_ONLY,Final holdout,38,15,23,0.394737,6.559200,0.172611,1.333589,8.421300,21,0.086681,17,0.278759,2026.05.05 23:05:00,2026.07.16 15:19:58
SweepReclaim,RESEARCH_FILTER,Development,0,0,0,,0.000000,,,0.000000,0,,0,,,
SweepReclaim,RESEARCH_FILTER,Validation,0,0,0,,0.000000,,,0.000000,0,,0,,,
SweepReclaim,RESEARCH_FILTER,Final holdout,0,0,0,,0.000000,,,0.000000,0,,0,,,
CompressionBreakout,LABEL_ONLY,Development,48,13,35,0.270833,-3.839500,-0.079990,0.851465,11.119800,23,0.163839,25,-0.304312,2025.03.04 18:35:00,2026.01.06 06:35:00
CompressionBreakout,LABEL_ONLY,Validation,12,6,6,0.500000,-0.014600,-0.001217,0.997157,3.000000,6,-0.020233,6,0.017800,2026.01.06 06:30:00,2026.05.06 11:54:58
CompressionBreakout,LABEL_ONLY,Final holdout,24,9,15,0.375000,1.117400,0.046558,1.098629,5.000000,11,0.038018,13,0.053785,2026.05.12 11:35:00,2026.07.22 05:34:58
CompressionBreakout,RESEARCH_FILTER,Development,46,14,32,0.304348,0.787400,0.017117,1.033825,6.492900,23,0.278052,23,-0.243817,2025.03.04 18:35:00,2026.01.06 06:35:00
CompressionBreakout,RESEARCH_FILTER,Validation,12,6,6,0.500000,-0.014600,-0.001217,0.997157,3.000000,6,-0.020233,6,0.017800,2026.01.06 06:30:00,2026.05.06 11:54:58
CompressionBreakout,RESEARCH_FILTER,Final holdout,15,7,8,0.466667,3.638700,0.242580,1.544553,2.643500,8,-0.068012,7,0.597543,2026.05.12 11:35:00,2026.07.22 17:04:58
StructureTransition,LABEL_ONLY,Development,11,2,9,0.181818,-5.000000,-0.454545,0.444444,8.000000,6,0.000000,5,-1.000000,2025.03.24 23:05:00,2025.12.18 18:14:58
StructureTransition,LABEL_ONLY,Validation,6,2,4,0.333333,0.000000,0.000000,1.000000,2.000000,2,0.500000,4,-0.250000,2026.01.06 17:35:00,2026.04.13 02:54:57
StructureTransition,LABEL_ONLY,Final holdout,4,2,2,0.500000,2.810800,0.702700,3.363606,1.189200,1,-0.189200,3,1.000000,2026.05.26 10:45:00,2026.07.23 23:59:59
StructureTransition,RESEARCH_FILTER,Development,11,2,9,0.181818,-5.000000,-0.454545,0.444444,8.000000,6,0.000000,5,-1.000000,2025.03.24 23:05:00,2025.12.18 18:14:58
StructureTransition,RESEARCH_FILTER,Validation,6,2,4,0.333333,0.000000,0.000000,1.000000,2.000000,2,0.500000,4,-0.250000,2026.01.06 17:35:00,2026.04.13 02:54:57
StructureTransition,RESEARCH_FILTER,Final holdout,4,2,2,0.500000,2.810800,0.702700,3.363606,1.189200,1,-0.189200,3,1.000000,2026.05.26 10:45:00,2026.07.23 23:59:59
