run,window,trades,cumulative_r,expectancy_r,profit_factor_r,max_drawdown_r,wins,losses,long_trades,short_trades
P2_Independent_NoOpposing,Development,179,9.206091786586944,0.0514306803719941,1.092644785476056,18.158276289261778,58,121,93,86
P2_Independent_NoOpposing,Validation,64,7.8524434644777,0.12269442913246406,1.2202960642232727,8.20562371582113,24,40,28,36
P2_Independent_NoOpposing,Final holdout,49,4.931453708470078,0.10064191241775669,1.2035365185851747,8.327488079611811,19,30,22,27
P2_Independent_NoOpposing,Full window,292,21.98998895953472,0.0753081813682696,1.1380902753670905,18.158276289261778,101,191,143,149
P3_Independent_Opposing,Development,209,20.53925146432055,0.0982739304512945,1.17700663567431,23.588276289261607,72,137,107,102
P3_Independent_Opposing,Validation,72,5.852443464477392,0.08128393700663045,1.140531868913001,9.20562371582113,26,46,30,42
P3_Independent_Opposing,Final holdout,62,13.535815079185275,0.2183195980513754,1.4569131941861229,8.922076116488025,26,36,31,31
P3_Independent_Opposing,Full window,343,39.927510007983216,0.11640673471715224,1.2131672170585517,23.588276289261607,124,219,168,175
P4_Independent_E3R_Sweep2R,Development,203,17.139162227511125,0.08442937057887254,1.1423713000311722,24.245536258655875,62,141,103,100
P4_Independent_E3R_Sweep2R,Validation,69,12.852443464477311,0.1862672965866277,1.3086194529045265,9.029193948745847,23,46,27,42
P4_Independent_E3R_Sweep2R,Final holdout,59,15.937839479559814,0.2701328725349121,1.5273509374254708,10.857375973877474,23,36,31,28
P4_Independent_E3R_Sweep2R,Full window,331,45.92944517154825,0.1387596530862485,1.2389035960981203,24.245536258655875,108,223,161,170
