variant,era,trades,win_rate,expectancy_r,profit_factor_r,total_r,max_drawdown_r,long_trades,long_total_r,short_trades,short_total_r
D29_SR0,PRE_PATCH,190,0.3684,0.1506,1.2688,28.6117,18.2941,96,7.753,94,20.8587
D29_SR0,PATCHED_RERUN,190,0.3684,0.1506,1.2688,28.6117,18.2941,96,7.753,94,20.8587
D29_P3,PRE_PATCH,342,0.3655,0.1217,1.2218,41.6064,23.9365,168,33.3885,174,8.2179
D29_P3,PATCHED_RERUN,342,0.3655,0.1217,1.2218,41.6064,23.9365,168,33.3885,174,8.2179
D29_P4,PRE_PATCH,330,0.3303,0.1443,1.2472,47.6083,24.2455,161,31.605,169,16.0034
D29_P4,PATCHED_RERUN,330,0.3303,0.1443,1.2472,47.6083,24.2455,161,31.605,169,16.0034
SR3_PCT,PRE_PATCH,194,0.4897,0.0807,1.1776,15.6564,14.9477,99,-0.3451,95,16.0015
SR3_PCT,PATCHED_RERUN,194,0.4897,0.0807,1.1776,15.6564,14.9477,99,-0.3451,95,16.0015
SR4_PCT,PRE_PATCH,186,0.4892,0.0795,1.1752,14.7804,19.5857,92,6.4761,94,8.3043
SR4_PCT,PATCHED_RERUN,186,0.4892,0.0795,1.1752,14.7804,19.5857,92,6.4761,94,8.3043
P3_SR3,PRE_PATCH,347,0.415,0.086,1.1709,29.8514,20.8497,171,26.2192,176,3.6322
P3_SR3,PATCHED_RERUN,347,0.415,0.0855,1.1698,29.6655,20.8497,171,26.2192,176,3.4463
P4_SR3,PRE_PATCH,335,0.3791,0.1063,1.1972,35.6172,22.6597,164,25.4709,171,10.1463
P4_SR3,PATCHED_RERUN,335,0.3791,0.1058,1.1961,35.4281,22.6597,164,25.4709,171,9.9572
