variant,ticket,logical_position_id,entry_volume,exit_volume,volume_ok,weighted_exit_price,reported_exit_price,price_diff,price_ok,recomputed_r,reported_r,r_diff,r_ok,gross_money,commission,swap,net_money
D29_SR0,2,MSZZC1|6:XAUUSD|1:5|2:-1|1:4|39:MSZZ|XAUUSD|5|0|1|1741108200|1741108500,0.46,0.46,True,2913.57,2913.57,0.0,True,-1.0,-1.0,0.0,True,-249.78,-0.92,0.0,-250.7
D29_SR0,4,MSZZC1|6:XAUUSD|1:5|2:-1|1:4|39:MSZZ|XAUUSD|5|0|1|1741168500|1741168500,0.72,0.72,True,2909.45,2909.45,0.0,True,2.0,2.0,0.0,True,495.36,-1.44,0.0,493.92
D29_SR0,6,MSZZC1|6:XAUUSD|1:5|1:1|1:4|40:MSZZ|XAUUSD|5|0|-1|1741177200|1741177200,2.45,2.45,True,2913.82,2913.82,0.0,True,-1.0,-1.0,0.0,True,-249.9,-4.9,0.0,-254.8
D29_SR0,8,MSZZC1|6:XAUUSD|1:5|2:-1|1:4|39:MSZZ|XAUUSD|5|0|1|1741198500|1741198500,0.4,0.4,True,2922.93,2922.93,0.0,True,-0.013072,-0.013071895424824946,0.0,True,-3.2,-0.8,0.0,-4.0
D29_SR0,10,MSZZC1|6:XAUUSD|1:5|1:1|1:4|40:MSZZ|XAUUSD|5|0|-1|1741200900|1741200900,1.61,1.61,True,2921.38,2921.38,0.0,True,-1.0,-1.0,0.0,True,-249.55,-3.22,0.0,-252.77
D29_SR0,12,MSZZC1|6:XAUUSD|1:5|1:1|1:4|40:MSZZ|XAUUSD|5|0|-1|1741640400|1741640400,0.89,0.89,True,2899.69,2899.69,0.0,True,2.0,1.9999999999998364,0.0,True,494.84,-1.78,0.0,493.06
D29_SR0,14,MSZZC1|6:XAUUSD|1:5|1:1|1:4|40:MSZZ|XAUUSD|5|0|-1|1741686300|1741686300,0.77,0.77,True,2895.64,2895.64,0.0,True,-0.101538,-0.10153846153843915,0.0,True,-25.41,-1.54,0.0,-26.95
D29_SR0,16,MSZZC1|6:XAUUSD|1:5|2:-1|1:4|39:MSZZ|XAUUSD|5|0|1|1741674000|1741674000,0.73,0.73,True,2899.05,2899.05,0.0,True,-1.0,-1.0,0.0,True,-248.93,-1.46,0.0,-250.39
D29_SR0,18,MSZZC1|6:XAUUSD|1:5|2:-1|1:4|39:MSZZ|XAUUSD|5|0|1|1741690500|1741690800,0.53,0.53,True,2900.72,2900.72,0.0,True,-0.408511,-0.40851063829780687,0.0,True,-101.76,-1.06,0.0,-102.82
D29_SR0,20,MSZZC1|6:XAUUSD|1:5|1:1|1:4|40:MSZZ|XAUUSD|5|0|-1|1741691400|1741691400,0.92,0.92,True,2898.02,2898.02,0.0,True,-1.0,-1.0,0.0,True,-248.4,-1.84,0.0,-250.24
D29_SR0,22,MSZZC1|6:XAUUSD|1:5|1:1|1:4|40:MSZZ|XAUUSD|5|0|-1|1741368000|1741368000,0.84,0.84,True,2930.22,2930.22,0.0,True,2.0,1.9999999999998463,0.0,True,497.28,-1.68,0.0,495.6
D29_SR0,24,MSZZC1|6:XAUUSD|1:5|2:-1|1:4|39:MSZZ|XAUUSD|5|0|1|1742583900|1742583900,2.97,2.97,True,3013.35,3013.35,0.0,True,2.0,2.0000000000010827,0.0,True,498.96,-5.94,0.0,493.02
D29_SR0,26,MSZZC1|6:XAUUSD|1:5|1:1|1:4|40:MSZZ|XAUUSD|5|0|-1|1742898000|1742898000,1.39,1.39,True,3017.28,3017.28,0.0,True,2.0,2.0000000000005054,0.0,True,500.4,-2.78,0.0,497.62
D29_SR0,28,MSZZC1|6:XAUUSD|1:5|2:-1|1:4|39:MSZZ|XAUUSD|5|0|1|1742901600|1742901600,1.11,1.11,True,3018.7,3018.7,0.0,True,-1.0,-1.0,0.0,True,-251.97,-2.22,0.0,-254.19
D29_SR0,30,MSZZC1|6:XAUUSD|1:5|2:-1|1:4|39:MSZZ|XAUUSD|5|0|1|1742919000|1742919300,1.36,1.36,True,3021.08,3021.08,0.0,True,2.0,2.000000000000246,0.0,True,503.2,-2.72,0.0,500.48
D29_SR0,32,MSZZC1|6:XAUUSD|1:5|1:1|1:4|40:MSZZ|XAUUSD|5|0|-1|1742926200|1742926200,0.41,0.41,True,3018.04,3018.04,0.0,True,-1.0,-1.0,0.0,True,-252.97,-0.82,0.0,-253.79
D29_SR0,34,MSZZC1|6:XAUUSD|1:5|1:1|1:4|40:MSZZ|XAUUSD|5|0|-1|1742987400|1742987400,0.9,0.9,True,3026.88,3026.88,0.0,True,-1.0,-1.0,0.0,True,-252.0,-1.8,0.0,-253.8
D29_SR0,36,MSZZC1|6:XAUUSD|1:5|1:1|1:4|40:MSZZ|XAUUSD|5|0|-1|1742457900|1742458200,0.35,0.35,True,3052.87,3052.8700000000003,0.0,True,-0.213389,-0.21338912133887444,0.0,True,-53.55,-0.7,0.0,-54.25
D29_SR0,38,MSZZC1|6:XAUUSD|1:5|2:-1|1:4|39:MSZZ|XAUUSD|5|0|1|1743081900|1743081900,1.39,1.39,True,3054.68,3054.6800000000003,0.0,True,-1.0,-1.0000000000002511,0.0,True,-251.59,-2.78,0.0,-254.37
