dimension,bucket,trade_count,gross_profit_r,gross_loss_r,pf,expectancy_r,total_r,win_rate,long_count,short_count,dev_count,dev_expectancy_r,val_count,val_expectancy_r,holdout_count,holdout_expectancy_r
strategy_book,FastMedConfluence_E3R,196,142.6543,114.5349,1.2455,0.1435,28.1194,0.301,92,104,114,0.056,45,0.2869,37,0.2385
strategy_book,SweepReclaim_2R,134,97.5261,78.0372,1.2497,0.1454,19.4889,0.3731,69,65,89,0.1507,22,-0.0015,23,0.2657
direction,LONG,161,121.4033,89.7983,1.352,0.1963,31.605,0.3478,161,0,104,0.3068,26,0.0552,31,-0.056
direction,SHORT,169,118.7771,102.7738,1.1557,0.0947,16.0034,0.3136,0,169,99,-0.1224,41,0.2791,29,0.575
hour,1,18,13.0307,11.2845,1.1547,0.097,1.7462,0.3333,11,7,9,-0.1824,5,0.8619,4,-0.2304
hour,10,18,19.7304,8.6199,2.2889,0.6172,11.1105,0.4444,10,8,14,0.865,3,-1.0,1,2.0
hour,11,8,4.0,3.8879,1.0288,0.014,0.1121,0.25,3,5,4,0.6479,1,-1.0,3,-0.4931
hour,12,9,12.0,4.0,3.0,0.8889,8.0,0.5556,6,3,3,2.3333,3,0.3333,3,-0.0
hour,13,10,8.5297,5.2003,1.6402,0.3329,3.3294,0.4,5,5,8,0.1662,2,1.0,0,
hour,14,8,6.0,5.3956,1.112,0.0755,0.6044,0.25,7,1,5,0.6,1,-1.0,2,-0.6978
hour,15,21,5.9247,15.5579,0.3808,-0.4587,-9.6333,0.1429,8,13,16,-0.5971,3,0.3333,2,-0.5401
hour,16,28,20.3249,16.5875,1.2253,0.1335,3.7374,0.3571,11,17,18,0.0122,3,-1.0,7,0.9312
hour,17,25,24.5636,12.5218,1.9617,0.4817,12.0418,0.44,11,14,16,0.3073,8,1.0157,1,-1.0
hour,18,23,10.0,14.7909,0.6761,-0.2083,-4.7909,0.1739,14,9,15,-0.2886,3,0.3333,5,-0.2923
hour,19,17,20.2337,5.5152,3.6688,0.8658,14.7186,0.5882,10,7,9,0.9301,3,-0.3222,5,1.4628
hour,2,11,8.0,5.1311,1.5591,0.2608,2.8689,0.3636,7,4,8,0.2385,1,2.0,2,-0.5194
hour,20,17,11.0354,9.7095,1.1366,0.078,1.3259,0.3529,6,11,11,-0.3822,3,1.3333,3,0.51
hour,21,10,4.0433,8.0,0.5054,-0.3957,-3.9567,0.2,3,7,7,-0.4286,1,-1.0,2,0.0216
hour,22,10,12.0,4.5379,2.6444,0.7462,7.4621,0.5,4,6,4,0.6155,5,1.2,1,-1.0
hour,23,4,4.0,1.3573,2.947,0.6607,2.6427,0.5,3,1,2,0.8213,0,,2,0.5
hour,3,14,7.2164,10.0782,0.716,-0.2044,-2.8617,0.2143,6,8,12,-0.4051,2,1.0,0,
hour,4,17,16.0,7.641,2.094,0.4917,8.359,0.4118,8,9,9,0.3984,3,0.4705,5,0.6724
hour,5,17,10.0,11.5992,0.8621,-0.0941,-1.5992,0.2353,9,8,11,0.4001,2,-1.0,4,-1.0
hour,6,17,7.5475,9.7262,0.776,-0.1282,-2.1787,0.2941,6,11,8,0.0342,5,-1.0,4,0.6369
hour,7,7,5.0,5.0,1.0,-0.0,-0.0,0.2857,4,3,3,-1.0,4,0.75,0,
hour,8,12,8.0,9.0,0.8889,-0.0833,-1.0,0.25,6,6,5,0.4,4,-1.0,3,0.3333
hour,9,9,3.0,7.43,0.4038,-0.4922,-4.43,0.1111,3,6,6,-0.905,2,-1.0,1,3.0
session,ASIAN,101,66.7947,60.4602,1.1048,0.0627,6.3345,0.3069,51,50,60,0.0111,22,0.26,19,-0.0027
session,LONDON,95,67.1848,59.0917,1.137,0.0852,8.0931,0.2947,48,47,61,0.2139,19,-0.3684,15,0.1363
