dimension,bucket,trade_count,gross_profit_r,gross_loss_r,pf,expectancy_r,total_r,win_rate,long_count,short_count,dev_count,dev_expectancy_r,val_count,val_expectancy_r,holdout_count,holdout_expectancy_r
month,2025-03,26,25.4381,12.51,2.0334,0.4972,12.928,0.4615,14,12,26,0.4972,0,,0,
month,2025-04,18,9.0,9.2901,0.9688,-0.0161,-0.2901,0.2222,9,9,18,-0.0161,0,,0,
month,2025-05,20,13.0,12.2301,1.063,0.0385,0.7699,0.25,10,10,20,0.0385,0,,0,
month,2025-06,16,14.5297,6.3745,2.2793,0.5097,8.1552,0.4375,8,8,16,0.5097,0,,0,
month,2025-07,31,20.9247,20.1699,1.0374,0.0243,0.7548,0.2903,17,14,31,0.0243,0,,0,
month,2025-08,21,17.7304,12.1511,1.4592,0.2657,5.5793,0.381,10,11,21,0.2657,0,,0,
month,2025-09,7,10.0,2.4143,4.142,1.0837,7.5857,0.5714,4,3,7,1.0837,0,,0,
month,2025-10,12,8.5785,6.2695,1.3683,0.1924,2.309,0.3333,7,5,12,0.1924,0,,0,
month,2025-11,23,7.105,17.5882,0.404,-0.4558,-10.4833,0.1739,12,11,23,-0.4558,0,,0,
month,2025-12,30,13.2164,21.7341,0.6081,-0.2839,-8.5177,0.2,13,17,29,-0.2592,1,-1.0,0,
month,2026-01,9,11.0,4.5566,2.4141,0.7159,6.4434,0.4444,4,5,0,,9,0.7159,0,
month,2026-02,21,17.3411,12.0292,1.4416,0.2529,5.3119,0.381,7,14,0,,21,0.2529,0,
month,2026-03,19,15.0307,13.0,1.1562,0.1069,2.0307,0.3158,4,15,0,,19,0.1069,0,
month,2026-04,18,11.1255,12.032,0.9247,-0.0504,-0.9065,0.2778,11,7,0,,17,0.0055,1,-1.0
month,2026-05,27,25.3574,14.4724,1.7521,0.4031,10.885,0.4074,13,14,0,,0,,27,0.4031
month,2026-06,17,6.2846,10.2203,0.6149,-0.2315,-3.9356,0.2353,8,9,0,,0,,17,-0.2315
month,2026-07,15,14.5183,5.5298,2.6255,0.5992,8.9884,0.5333,10,5,0,,0,,15,0.5992
