regime_direction,trend_strength,volatility_state,alignment_state,market_phase,bar_count,bar_pct_of_window,trade_count,expectancy_r,total_r,trades_per_1000_bars
BEARISH,WEAK,NORMAL,FULLY_ALIGNED,TREND_CONTINUATION,12853,12.9903,6,1.0,6.0,0.4668
BULLISH,WEAK,NORMAL,FULLY_ALIGNED,TREND_CONTINUATION,9258,9.3569,9,-0.4946,-4.4517,0.9721
BEARISH,WEAK,EXPANDING,FULLY_ALIGNED,TREND_CONTINUATION,7623,7.7044,9,-0.854,-7.6859,1.1806
BEARISH,WEAK,CONTRACTING,FULLY_ALIGNED,UNCLASSIFIED,5994,6.058,5,0.6557,3.2786,0.8342
BULLISH,WEAK,NORMAL,OPPOSED,UNCLASSIFIED,5331,5.388,15,0.7419,11.1289,2.8137
BULLISH,WEAK,EXPANDING,FULLY_ALIGNED,TREND_CONTINUATION,4959,5.012,15,0.0963,1.4442,3.0248
BULLISH,WEAK,CONTRACTING,FULLY_ALIGNED,UNCLASSIFIED,4623,4.6724,5,0.2,1.0,1.0815
BEARISH,WEAK,NORMAL,OPPOSED,UNCLASSIFIED,3845,3.8861,9,0.1111,1.0,2.3407
BULLISH,WEAK,CONTRACTING,OPPOSED,UNCLASSIFIED,3321,3.3565,6,0.4071,2.4423,1.8067
BULLISH,WEAK,EXPANDING,OPPOSED,UNCLASSIFIED,3247,3.2817,15,0.5325,7.9875,4.6196
BEARISH,WEAK,EXPANDING,OPPOSED,UNCLASSIFIED,2616,2.6439,20,0.4446,8.8927,7.6453
BEARISH,NORMAL,EXPANDING,FULLY_ALIGNED,TREND_CONTINUATION,2590,2.6177,2,1.0,2.0,0.7722
BEARISH,NORMAL,NORMAL,FULLY_ALIGNED,TREND_CONTINUATION,2469,2.4954,3,-0.8804,-2.6413,1.2151
BULLISH,NORMAL,NORMAL,FULLY_ALIGNED,TREND_CONTINUATION,2306,2.3306,3,-1.0,-3.0,1.301
BULLISH,NORMAL,EXPANDING,FULLY_ALIGNED,TREND_CONTINUATION,1791,1.8101,5,-1.0,-5.0,2.7917
BEARISH,WEAK,CONTRACTING,OPPOSED,UNCLASSIFIED,1787,1.8061,10,-0.296,-2.9605,5.596
BULLISH,NORMAL,NORMAL,OPPOSED,UNCLASSIFIED,1431,1.4463,2,-1.0,-2.0,1.3976
BULLISH,NORMAL,EXPANDING,OPPOSED,UNCLASSIFIED,1398,1.4129,6,0.4216,2.5297,4.2918
BEARISH,NORMAL,CONTRACTING,FULLY_ALIGNED,UNCLASSIFIED,1253,1.2664,1,-0.3078,-0.3078,0.7981
BULLISH,WEAK,NORMAL,OPPOSED,PULLBACK,1195,1.2078,6,0.5051,3.0307,5.0209
BULLISH,NORMAL,CONTRACTING,FULLY_ALIGNED,UNCLASSIFIED,1077,1.0885,1,-1.0,-1.0,0.9285
BEARISH,WEAK,NORMAL,OPPOSED,PULLBACK,1069,1.0804,7,0.3044,2.1305,6.5482
BEARISH,NORMAL,EXPANDING,OPPOSED,UNCLASSIFIED,965,0.9753,6,-0.885,-5.3098,6.2176
BEARISH,WEAK,NORMAL,PARTIALLY_ALIGNED,UNCLASSIFIED,831,0.8399,4,-0.25,-1.0,4.8135
BEARISH,WEAK,EXPANDING,OPPOSED,PULLBACK,808,0.8166,12,0.4347,5.2164,14.8515
BULLISH,NORMAL,CONTRACTING,OPPOSED,UNCLASSIFIED,772,0.7802,0,,,0.0
BEARISH,NORMAL,NORMAL,OPPOSED,UNCLASSIFIED,698,0.7055,3,2.6667,8.0,4.298
BULLISH,WEAK,CONTRACTING,OPPOSED,PULLBACK,674,0.6812,3,-0.846,-2.5379,4.451
BULLISH,WEAK,NORMAL,PARTIALLY_ALIGNED,UNCLASSIFIED,663,0.6701,12,0.3645,4.3744,18.0995
BULLISH,WEAK,CONTRACTING,FULLY_ALIGNED,COMPRESSION,654,0.661,1,2.0,2.0,1.5291
BULLISH,WEAK,EXPANDING,OPPOSED,PULLBACK,646,0.6529,10,0.0206,0.2057,15.4799
BEARISH,WEAK,EXPANDING,PARTIALLY_ALIGNED,UNCLASSIFIED,595,0.6014,7,-0.4397,-3.0782,11.7647
BEARISH,WEAK,CONTRACTING,OPPOSED,PULLBACK,566,0.572,3,-0.0,-0.0,5.3004
BEARISH,WEAK,CONTRACTING,FULLY_ALIGNED,COMPRESSION,562,0.568,0,,,0.0
BEARISH,WEAK,NORMAL,OPPOSED,COMPRESSION,562,0.568,2,-0.5508,-1.1015,3.5587
BULLISH,WEAK,NORMAL,OPPOSED,COMPRESSION,558,0.564,0,,,0.0
BEARISH,WEAK,CONTRACTING,PARTIALLY_ALIGNED,UNCLASSIFIED,482,0.4871,2,0.0216,0.0433,4.1494
BULLISH,WEAK,EXPANDING,PARTIALLY_ALIGNED,UNCLASSIFIED,422,0.4265,8,1.0105,8.0838,18.9573
BULLISH,NORMAL,NORMAL,OPPOSED,PULLBACK,349,0.3527,4,0.1425,0.57,11.4613
BEARISH,NORMAL,CONTRACTING,OPPOSED,UNCLASSIFIED,337,0.3406,1,-1.0,-1.0,2.9674
BULLISH,WEAK,CONTRACTING,OPPOSED,COMPRESSION,336,0.3396,0,,,0.0
BEARISH,STRONG,EXPANDING,FULLY_ALIGNED,TREND_CONTINUATION,329,0.3325,1,3.0,3.0,3.0395
BULLISH,WEAK,CONTRACTING,PARTIALLY_ALIGNED,UNCLASSIFIED,316,0.3194,0,,,0.0
BEARISH,WEAK,CONTRACTING,OPPOSED,COMPRESSION,281,0.284,1,2.0,2.0,3.5587
BEARISH,NORMAL,NORMAL,OPPOSED,PULLBACK,243,0.2456,1,-1.0,-1.0,4.1152
BULLISH,NORMAL,EXPANDING,OPPOSED,PULLBACK,234,0.2365,3,0.454,1.3619,12.8205
BULLISH,STRONG,EXPANDING,OPPOSED,UNCLASSIFIED,210,0.2122,3,-1.0,-3.0,14.2857
