dimension,value,bar_count,bar_pct,trade_count,trades_per_1000_bars,expectancy_r,total_r
alignment_state,FULLY_ALIGNED,59376,60.0103,97,1.6337,-0.0626,-6.0738
alignment_state,OPPOSED,34794,35.1657,162,4.656,0.3107,50.328
alignment_state,PARTIALLY_ALIGNED,4773,4.824,71,14.8753,0.0472,3.3541
market_phase,TREND_CONTINUATION,44649,45.126,54,1.2094,-0.194,-10.4786
market_phase,UNCLASSIFIED,43424,43.8879,155,3.5695,0.2566,39.7797
market_phase,PULLBACK,6402,6.4704,57,8.9035,0.268,15.2775
market_phase,COMPRESSION,4050,4.0933,23,5.679,0.548,12.6044
market_phase,TRANSITION,261,0.2638,0,0.0,,
market_phase,BREAKOUT,157,0.1587,41,261.1465,-0.2335,-9.5747
regime_direction,BEARISH,51185,51.7318,158,3.0868,0.0792,12.5096
regime_direction,BULLISH,47758,48.2682,172,3.6015,0.2041,35.0988
trend_strength,WEAK,77339,78.1652,244,3.1549,0.1581,38.5841
trend_strength,NORMAL,19941,20.154,73,3.6608,0.1401,10.2301
trend_strength,STRONG,1663,1.6808,13,7.8172,-0.0928,-1.206
volatility_state,NORMAL,45222,45.7051,128,2.8305,0.226,28.9333
volatility_state,EXPANDING,29445,29.7596,152,5.1622,0.1426,21.6816
volatility_state,CONTRACTING,24276,24.5353,50,2.0596,-0.0601,-3.0066
