logical_position_id;book_id;strategy_id;family_id;magic;direction;entry_time;exit_time;entry_price;exit_price;logical_volume;initial_risk_price;execution_cost;realized_r;exit_policy;exit_reason;regime_snapshot_id
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|39:MSZZ|XAUUSD|5|0|1|1741108200|1741108500;2;1050;4;27124002;SHORT;2025.03.05 03:15:00;2025.03.05 04:19:58;2908.14;2913.57;0.46;5.430000000000291;0.0;-1.0;2;BROKER_SL_TP_OR_TEST_END;2025.03.05 04:10:00
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|39:MSZZ|XAUUSD|5|0|1|1741168500|1741168500;2;1050;4;27124002;SHORT;2025.03.05 11:25:00;2025.03.05 12:59:58;2916.33;2909.45;0.72;3.4400000000000546;0.0;2.0;2;BROKER_SL_TP_OR_TEST_END;2025.03.05 12:50:00
MSZZC1|6:XAUUSD|1:5|1:1|1:4|40:MSZZ|XAUUSD|5|0|-1|1741177200|1741177200;2;1050;4;27124002;LONG;2025.03.05 13:20:00;2025.03.05 13:29:58;2914.84;2913.82;2.45;1.0199999999999818;0.0;-1.0;2;BROKER_SL_TP_OR_TEST_END;2025.03.05 13:20:00
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1741189500|MSZZ|XAUUSD|5|0|-1|1741189200|1741189200;1;1010;1;27084001;SHORT;2025.03.05 15:50:00;2025.03.05 16:44:57;2896.23;2917.24;0.11;21.009999999999764;0.0;-1.0;1;BROKER_SL_TP_OR_TEST_END;2025.03.05 16:35:00
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1741194300|MSZZ|XAUUSD|5|0|1|1741192500|1741192500;1;1010;1;27084001;LONG;2025.03.05 17:10:00;2025.03.05 19:05:00;2918.04;2922.8499999999995;0.22;10.980000000000018;0.0;0.4380692167576942;1;OWN_FAMILY_OPPOSITE;2025.03.05 19:00:00
MSZZC1|6:XAUUSD|1:5|1:1|1:4|40:MSZZ|XAUUSD|5|0|-1|1741200900|1741200900;2;1050;4;27124002;LONG;2025.03.05 22:55:00;2025.03.05 23:04:58;2922.93;2921.38;1.6099999999999999;1.5499999999997272;0.0;-1.0;2;BROKER_SL_TP_OR_TEST_END;2025.03.05 22:55:00
MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1741201200|MSZZ|XAUUSD|5|0|-1|1741200900|1741200900;1;1010;1;27084001;SHORT;2025.03.05 19:05:00;2025.03.06 11:04:58;2922.85;2901.19;0.34;7.220000000000255;0.0;2.999999999999874;1;BROKER_SL_TP_OR_TEST_END;2025.03.06 10:55:00
MSZZC1|6:XAUUSD|1:5|1:1|1:4|40:MSZZ|XAUUSD|5|0|-1|1741640400|1741640400;2;1050;4;27124002;LONG;2025.03.11 06:15:00;2025.03.11 06:59:57;2894.13;2899.69;0.9;2.7800000000002;0.0;1.9999999999998364;2;BROKER_SL_TP_OR_TEST_END;2025.03.11 06:50:00
MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1741683300|MSZZ|XAUUSD|5|0|1|1741674000|1741674000;1;1010;1;27084001;LONG;2025.03.11 09:00:00;2025.03.11 09:44:58;2897.83;2895.93;1.32;1.900000000000091;0.0;-1.0;1;BROKER_SL_TP_OR_TEST_END;2025.03.11 09:35:00
MSZZC1|6:XAUUSD|1:5|1:1|1:4|40:MSZZ|XAUUSD|5|0|-1|1741686300|1741686300;2;1050;4;27124002;LONG;2025.03.11 10:00:00;2025.03.11 10:05:00;2895.97;2895.64;0.77;3.25;0.0;-0.10153846153843915;2;OWN_FAMILY_OPPOSITE;2025.03.11 10:00:00
