strategy_id;family_id;setup_name;signal_time;expiry_time;direction;entry;stop;target;score;origin_id;event_id;reason;canonical_variant_id;hypothesis_version;regime_id;session_id;reference_level_type;structural_context;stop_distance_points;target_r;spread_to_risk_ratio
1203;11;Compression Breakout (Research);2025.03.03 04:55:00;2025.03.03 05:10:00;SHORT;2868.28;2871.96;2860.92;7.0000;CBR|2025.03.03 04:30:00;CBR|2025.03.03 04:30:00|1740976200|FINAL;rolling-window compression (raw ATR ratio + range width) resolved by medium/slow-aligned bearish close;CBR-CANON-1;D031v1;2025.03.03 04:55:00;Asian;ROLLING_WINDOW_RANGE;compression_high=2871.96000;compression_low=2868.49000;atr_ratio=0.661;368.00;2.0000;0.038043
1200;8;Session Sweep Reversal;2025.03.03 14:35:00;2025.03.03 14:50:00;SHORT;2876.65;2877.76;2874.43;7.0000;ASIA_HIGH|20250303;SSR|ASIA_HIGH|20250303|1741012200|FINAL;Asia session level swept during London/NewYork, closed-bar reclaim within frozen window;SSR-CANON-1;D031v1;2025.03.03 14:35:00;London;ASIA_SESSION_HIGH_LOW;asian_high=2876.92000;asian_low=2855.52000;sweep_extreme=2877.69000;111.18;2.0000;0.098943
1200;8;Session Sweep Reversal;2025.03.03 14:40:00;2025.03.03 14:55:00;SHORT;2876.79;2877.76;2874.84;7.0000;ASIA_HIGH|20250303;SSR|ASIA_HIGH|20250303|1741012500|FINAL;Asia session level swept during London/NewYork, closed-bar reclaim within frozen window;SSR-CANON-1;D031v1;2025.03.03 14:40:00;London;ASIA_SESSION_HIGH_LOW;asian_high=2876.92000;asian_low=2855.52000;sweep_extreme=2877.69000;97.43;2.0000;0.143690
1200;8;Session Sweep Reversal;2025.03.03 14:50:00;2025.03.03 15:05:00;SHORT;2876.52;2877.49;2874.58;7.0000;ASIA_HIGH|20250303;SSR|ASIA_HIGH|20250303|1741013100|FINAL;Asia session level swept during London/NewYork, closed-bar reclaim within frozen window;SSR-CANON-1;D031v1;2025.03.03 14:50:00;London;ASIA_SESSION_HIGH_LOW;asian_high=2876.92000;asian_low=2855.52000;sweep_extreme=2877.41000;96.86;2.0000;0.154862
1200;8;Session Sweep Reversal;2025.03.03 14:55:00;2025.03.03 15:10:00;SHORT;2875.65;2877.39;2872.18;7.0000;ASIA_HIGH|20250303;SSR|ASIA_HIGH|20250303|1741013400|FINAL;Asia session level swept during London/NewYork, closed-bar reclaim within frozen window;SSR-CANON-1;D031v1;2025.03.03 14:55:00;London;ASIA_SESSION_HIGH_LOW;asian_high=2876.92000;asian_low=2855.52000;sweep_extreme=2877.31000;173.70;2.0000;0.097868
1200;8;Session Sweep Reversal;2025.03.03 16:55:00;2025.03.03 17:10:00;SHORT;2876.63;2883.22;2863.45;7.0000;ASIA_HIGH|20250303;SSR|ASIA_HIGH|20250303|1741019700|FINAL;Asia session level swept during London/NewYork, closed-bar reclaim within frozen window;SSR-CANON-1;D031v1;2025.03.03 16:55:00;NewYork;ASIA_SESSION_HIGH_LOW;asian_high=2876.92000;asian_low=2855.52000;sweep_extreme=2883.08000;658.82;2.0000;0.009107
1200;8;Session Sweep Reversal;2025.03.05 08:05:00;2025.03.05 08:20:00;SHORT;2918.44;2919.40;2916.52;7.0000;ASIA_HIGH|20250305;SSR|ASIA_HIGH|20250305|1741161600|FINAL;Asia session level swept during London/NewYork, closed-bar reclaim within frozen window;SSR-CANON-1;D031v1;2025.03.05 08:05:00;London;ASIA_SESSION_HIGH_LOW;asian_high=2918.75000;asian_low=2902.06000;sweep_extreme=2919.32000;96.11;2.0000;0.124851
1200;8;Session Sweep Reversal;2025.03.05 08:25:00;2025.03.05 08:40:00;SHORT;2918.58;2921.77;2912.20;7.0000;ASIA_HIGH|20250305;SSR|ASIA_HIGH|20250305|1741162500|FINAL;Asia session level swept during London/NewYork, closed-bar reclaim within frozen window;SSR-CANON-1;D031v1;2025.03.05 08:25:00;London;ASIA_SESSION_HIGH_LOW;asian_high=2918.75000;asian_low=2902.06000;sweep_extreme=2921.67000;318.96;2.0000;0.028217
1200;8;Session Sweep Reversal;2025.03.05 08:35:00;2025.03.05 08:50:00;SHORT;2915.73;2919.77;2907.66;7.0000;ASIA_HIGH|20250305;SSR|ASIA_HIGH|20250305|1741163400|FINAL;Asia session level swept during London/NewYork, closed-bar reclaim within frozen window;SSR-CANON-1;D031v1;2025.03.05 08:35:00;London;ASIA_SESSION_HIGH_LOW;asian_high=2918.75000;asian_low=2902.06000;sweep_extreme=2919.66000;403.61;2.0000;0.029731
1200;8;Session Sweep Reversal;2025.03.05 08:40:00;2025.03.05 08:55:00;SHORT;2917.62;2919.78;2913.31;7.0000;ASIA_HIGH|20250305;SSR|ASIA_HIGH|20250305|1741163700|FINAL;Asia session level swept during London/NewYork, closed-bar reclaim within frozen window;SSR-CANON-1;D031v1;2025.03.05 08:40:00;London;ASIA_SESSION_HIGH_LOW;asian_high=2918.75000;asian_low=2902.06000;sweep_extreme=2919.66000;215.63;2.0000;0.037100
