comparison,a_trades,b_trades,same_dir_episodes,opp_dir_episodes,total_episodes
SessionSweepReversal_vs_MomentumContinuation,822,0,0,0,0
SessionSweepReversal_vs_BreakRetestContinuation,822,136,26,22,48
SessionSweepReversal_vs_CompressionBreakout,822,254,50,54,104
SessionSweepReversal_vs_TrendPullback,822,5,2,2,4
SessionSweepReversal_vs_RangeRotation,822,137,28,18,46
MomentumContinuation_vs_BreakRetestContinuation,0,136,0,0,0
MomentumContinuation_vs_CompressionBreakout,0,254,0,0,0
MomentumContinuation_vs_TrendPullback,0,5,0,0,0
MomentumContinuation_vs_RangeRotation,0,137,0,0,0
BreakRetestContinuation_vs_CompressionBreakout,136,254,8,6,14
BreakRetestContinuation_vs_TrendPullback,136,5,1,0,1
BreakRetestContinuation_vs_RangeRotation,136,137,1,0,1
CompressionBreakout_vs_TrendPullback,254,5,0,0,0
CompressionBreakout_vs_RangeRotation,254,137,1,5,6
TrendPullback_vs_RangeRotation,5,137,0,0,0
SessionSweepReversal_vs_P4_SweepReclaim_1050,822,134,17,15,32
SessionSweepReversal_vs_P4_FastMedConfluence_1010,822,196,128,201,329
MomentumContinuation_vs_P4_SweepReclaim_1050,0,134,0,0,0
MomentumContinuation_vs_P4_FastMedConfluence_1010,0,196,0,0,0
BreakRetestContinuation_vs_P4_SweepReclaim_1050,136,134,4,4,8
BreakRetestContinuation_vs_P4_FastMedConfluence_1010,136,196,66,25,91
CompressionBreakout_vs_P4_SweepReclaim_1050,254,134,6,7,13
CompressionBreakout_vs_P4_FastMedConfluence_1010,254,196,48,64,112
TrendPullback_vs_P4_SweepReclaim_1050,5,134,3,2,5
TrendPullback_vs_P4_FastMedConfluence_1010,5,196,4,4,8
RangeRotation_vs_P4_SweepReclaim_1050,137,134,0,2,2
RangeRotation_vs_P4_FastMedConfluence_1010,137,196,23,15,38
