strategy_id,market_phase,trade_count,expectancy_r,total_r,pf
1200,UNCLASSIFIED,301,0.1262,38.0,1.2021
1200,TREND_CONTINUATION,434,0.03,13.0,1.0456
1200,PULLBACK,63,-0.1905,-12.0,0.7391
1200,TRANSITION,1,-1.0,-1.0,0.0
1200,COMPRESSION,21,0.2857,6.0,1.5
1200,BREAKOUT,2,-1.0,-2.0,0.0
1202,TREND_CONTINUATION,42,-0.0714,-3.0,0.8966
1202,UNCLASSIFIED,68,-0.25,-17.0,0.6667
1202,PULLBACK,21,-0.2857,-6.0,0.625
1202,COMPRESSION,4,-1.0,-4.0,0.0
1202,BREAKOUT,1,2.0,2.0,-1.0
1203,UNCLASSIFIED,190,0.1842,35.0,1.3043
1203,COMPRESSION,21,-0.1429,-3.0,0.8
1203,PULLBACK,20,-0.25,-5.0,0.6667
1203,TREND_CONTINUATION,22,-0.0455,-1.0,0.9333
1203,BREAKOUT,1,-1.0,-1.0,0.0
1204,UNCLASSIFIED,1,-1.0,-1.0,0.0
1204,PULLBACK,2,0.5,1.0,2.0
1204,TREND_CONTINUATION,2,0.5,1.0,2.0
1205,TREND_CONTINUATION,76,-0.1794,-13.6347,0.7475
1205,UNCLASSIFIED,40,-0.3394,-13.577,0.4971
1205,PULLBACK,15,0.8953,13.4293,2.9185
1205,COMPRESSION,5,0.2941,1.4704,1.4901
1205,TRANSITION,1,-1.0,-1.0,0.0
