strategy_id,session,trade_count,expectancy_r,total_r,pf
1200,London,533,0.0469,25.0,1.072
1200,NewYork,289,0.0588,17.0,1.0909
1202,London,44,-0.3864,-17.0,0.5143
1202,NewYork,50,-0.04,-2.0,0.9412
1202,Asian,42,-0.2143,-9.0,0.7097
1203,Asian,64,0.3594,23.0,1.6571
1203,London,76,-0.2105,-16.0,0.7143
1203,NewYork,114,0.1579,18.0,1.2571
1204,NewYork,1,-1.0,-1.0,0.0
1204,Asian,3,0.0,0.0,1.0
1204,London,1,2.0,2.0,-1.0
1205,London,49,-0.0724,-3.5488,0.8891
1205,Asian,37,-0.1634,-6.0455,0.7675
1205,NewYork,51,-0.0729,-3.7177,0.8907
