strategy_id,family_id,direction,signal_time,entry_time,exit_time,entry,stop,target,realized_r,target_r,mfe_r,mae_r,holding_bars,session_id,regime_id,origin_id,event_id
1200,8,SHORT,2025.03.03 14:35:00,2025.03.03 14:35:00,2025.03.03 15:00:00,2876.65,2877.76,2874.43,2.0,2.0,2.1892,-0.6847,5,London,2025.03.03 14:35:00,ASIA_HIGH|20250303,SSR|ASIA_HIGH|20250303|1741012200|FINAL
1200,8,SHORT,2025.03.03 16:55:00,2025.03.03 16:55:00,2025.03.03 17:15:00,2876.63,2883.22,2863.45,-1.0,2.0,0.4446,-1.0152,4,NewYork,2025.03.03 16:55:00,ASIA_HIGH|20250303,SSR|ASIA_HIGH|20250303|1741019700|FINAL
1200,8,SHORT,2025.03.05 08:05:00,2025.03.05 08:05:00,2025.03.05 08:10:00,2918.44,2919.4,2916.52,-1.0,2.0,0.1875,-1.2396,1,London,2025.03.05 08:05:00,ASIA_HIGH|20250305,SSR|ASIA_HIGH|20250305|1741161600|FINAL
1200,8,SHORT,2025.03.05 08:25:00,2025.03.05 08:25:00,2025.03.05 10:15:00,2918.58,2921.77,2912.2,-1.0,2.0,1.721,-1.0815,22,London,2025.03.05 08:25:00,ASIA_HIGH|20250305,SSR|ASIA_HIGH|20250305|1741162500|FINAL
1200,8,SHORT,2025.03.05 11:15:00,2025.03.05 11:15:00,2025.03.05 15:30:00,2918.02,2922.66,2908.75,2.0,2.0,2.4655,-0.2996,51,London,2025.03.05 11:15:00,ASIA_HIGH|20250305,SSR|ASIA_HIGH|20250305|1741172400|FINAL
1200,8,LONG,2025.03.05 16:00:00,2025.03.05 16:00:00,2025.03.05 18:20:00,2905.0,2893.73,2927.54,2.0,2.0,2.1837,-0.6531,28,NewYork,2025.03.05 16:00:00,ASIA_LOW|20250305,SSR|ASIA_LOW|20250305|1741189800|FINAL
1200,8,SHORT,2025.03.05 19:20:00,2025.03.05 19:20:00,2025.03.05 22:25:00,2918.08,2922.62,2908.99,-1.0,2.0,1.5,-1.0,37,NewYork,2025.03.05 19:20:00,ASIA_HIGH|20250305,SSR|ASIA_HIGH|20250305|1741201800|FINAL
1200,8,SHORT,2025.03.05 23:15:00,2025.03.05 23:15:00,2025.03.06 03:35:00,2918.39,2920.77,2913.63,-1.0,2.0,1.042,-1.3529,40,NewYork,2025.03.05 23:15:00,ASIA_HIGH|20250305,SSR|ASIA_HIGH|20250305|1741215900|FINAL
1200,8,LONG,2025.03.06 09:40:00,2025.03.06 09:40:00,2025.03.06 09:55:00,2915.22,2911.48,2922.7,-1.0,2.0,0.3075,-1.4412,3,London,2025.03.06 09:40:00,ASIA_LOW|20250306,SSR|ASIA_LOW|20250306|1741253400|FINAL
1200,8,LONG,2025.03.06 16:50:00,2025.03.06 16:50:00,2025.03.06 17:25:00,2915.37,2909.36,2927.39,-1.0,2.0,1.228,-1.015,7,NewYork,2025.03.06 16:50:00,ASIA_LOW|20250306,SSR|ASIA_LOW|20250306|1741278900|FINAL
