trade_id,entry_time,opposite_signal_time,exit_price,r_at_opposite_close,subsequent_reversal_entered,event_id,stop_target_only_outcome,stop_target_only_exit_time,stop_target_only_r
MSZZC1|6:XAUUSD|1:5|1:1|1:4|33:SSRP|ASIA_LOW|20250305|1741189800,2025.03.05 16:05:00,2025.03.05 17:10:00,2916.92000000,1.0289,true,SSRP|ASIA_HIGH|20250305|1741194300|FINAL,TARGET,2025.03.05 18:20:00,2.0
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|34:SSRP|ASIA_HIGH|20250307|1741368900,2025.03.07 17:50:00,2025.03.10 09:35:00,2909.95000000,0.1303,true,SSRP|ASIA_LOW|20250310|1741598700|FINAL,TARGET,2025.03.10 21:35:00,2.0
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|34:SSRP|ASIA_HIGH|20250312|1741773900,2025.03.12 10:25:00,2025.03.12 11:10:00,2911.71000000,1.4576,true,SSRP|ASIA_LOW|20250312|1741777500|FINAL,TARGET,2025.03.12 11:20:00,2.0
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|34:SSRP|ASIA_HIGH|20250314|1741962600,2025.03.14 14:40:00,2025.03.14 19:05:00,2984.98000000,0.4799,true,SSRP|ASIA_LOW|20250314|1741978800|FINAL,STOP,2025.03.18 03:30:00,-1.0
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|34:SSRP|ASIA_HIGH|20250319|1742375100,2025.03.19 09:15:00,2025.03.19 11:45:00,3028.50000000,1.6051,true,SSRP|ASIA_LOW|20250319|1742384400|FINAL,TARGET,2025.03.19 11:55:00,2.0
MSZZC1|6:XAUUSD|1:5|1:1|1:4|33:SSRP|ASIA_LOW|20250625|1750870800,2025.06.25 17:30:00,2025.06.25 22:45:00,3334.20000000,1.2426,true,SSRP|ASIA_HIGH|20250625|1750891200|FINAL,TARGET,2025.06.26 05:50:00,2.0
MSZZC1|6:XAUUSD|1:5|1:1|1:4|33:SSRP|ASIA_LOW|20250702|1751452800,2025.07.02 10:50:00,2025.07.02 13:45:00,3344.13000000,0.8847,true,SSRP|ASIA_HIGH|20250702|1751463600|FINAL,TARGET,2025.07.02 21:55:00,2.0
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|34:SSRP|ASIA_HIGH|20250710|1752165600,2025.07.10 16:50:00,2025.07.10 17:00:00,3314.52000000,0.5732,true,SSRP|ASIA_LOW|20250710|1752166500|FINAL,STOP,2025.07.11 03:30:00,-1.0
MSZZC1|6:XAUUSD|1:5|1:1|1:4|33:SSRP|ASIA_LOW|20250805|1754410500,2025.08.05 16:35:00,2025.08.05 19:30:00,3382.17000000,0.8074,true,SSRP|ASIA_HIGH|20250805|1754421000|FINAL,STOP,2025.08.06 11:15:00,-1.0
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|34:SSRP|ASIA_HIGH|20250805|1754421000,2025.08.05 19:35:00,2025.08.06 08:30:00,3372.97000000,1.2603,true,SSRP|ASIA_LOW|20250806|1754468400|FINAL,TARGET,2025.08.06 11:15:00,2.0
