logical_position_id,position_ticket,entry_deal_count,exit_deal_count,entry_volume,exit_volume,weighted_exit_price,reported_exit_price,reported_r,recomputed_r,volume_match,weighted_exit_match,r_match
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|34:SSRP|ASIA_HIGH|20250303|1741012200,2,1,1,2.21,2.21000000,2874.37000000,2874.37,2.0,2.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|34:SSRP|ASIA_HIGH|20250303|1741019700,4,1,1,0.38,0.38000000,2883.22000000,2883.22,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|34:SSRP|ASIA_HIGH|20250305|1741161600,6,1,1,2.63,2.63000000,2919.40000000,2919.4,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|34:SSRP|ASIA_HIGH|20250305|1741162500,8,1,1,0.76,0.76000000,2921.77000000,2921.77,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|34:SSRP|ASIA_HIGH|20250305|1741172400,10,1,1,0.52,0.52000000,2908.48000000,2908.48,1.9978858350950912,1.99788584,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|33:SSRP|ASIA_LOW|20250305|1741189800,12,1,1,0.21,0.21000000,2928.02000000,2928.02,2.00000000000004,2.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|34:SSRP|ASIA_HIGH|20250305|1741201800,14,1,1,0.55,0.55000000,2922.62000000,2922.62,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|34:SSRP|ASIA_HIGH|20250305|1741215900,16,1,1,1.05,1.05000000,2920.77000000,2920.77,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|33:SSRP|ASIA_LOW|20250306|1741253400,18,1,1,0.66,0.66000000,2911.48000000,2911.48,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|33:SSRP|ASIA_LOW|20250306|1741278900,20,1,1,0.4,0.40000000,2909.36000000,2909.36,-1.0,-1.00000000,true,true,true
