origin_id,event_id,direction,arm_time,prior_terminal_state,prior_terminal_time,same_bar_as_prior_terminal,price_crossed_back_inside_before_this_arm,fresh_threshold_crossing_occurred,classification
SSRP|ASIA_HIGH|20250303|1741012200,SSRP|ASIA_HIGH|20250303|1741012200|FINAL,SHORT,2025.03.03 14:30:00,NONE,,false,true,true,FRESH_CROSS_FROM_INSIDE
SSRP|ASIA_HIGH|20250303|1741012500,SSRP|ASIA_HIGH|20250303|1741012500|FINAL,SHORT,2025.03.03 14:35:00,TRIGGERED,2025.03.03 14:35:00,true,false,false,SAME_TRIGGER_BAR_REARM
SSRP|ASIA_HIGH|20250303|1741013100,SSRP|ASIA_HIGH|20250303|1741013100|FINAL,SHORT,2025.03.03 14:45:00,TRIGGERED,2025.03.03 14:40:00,false,false,true,FRESH_CROSS_FROM_INSIDE
SSRP|ASIA_HIGH|20250303|1741013400,SSRP|ASIA_HIGH|20250303|1741013400|FINAL,SHORT,2025.03.03 14:50:00,TRIGGERED,2025.03.03 14:50:00,true,false,false,SAME_TRIGGER_BAR_REARM
SSRP|ASIA_HIGH|20250303|1741019700,SSRP|ASIA_HIGH|20250303|1741019700|FINAL,SHORT,2025.03.03 16:35:00,INVALIDATED,2025.03.03 16:35:00,true,false,false,SAME_TRIGGER_BAR_REARM
SSRP|ASIA_HIGH|20250305|1741161600,SSRP|ASIA_HIGH|20250305|1741161600|FINAL,SHORT,2025.03.05 08:00:00,NONE,,false,true,true,FRESH_CROSS_FROM_INSIDE
SSRP|ASIA_HIGH|20250305|1741162500,SSRP|ASIA_HIGH|20250305|1741162500|FINAL,SHORT,2025.03.05 08:15:00,INVALIDATED,2025.03.05 08:15:00,true,false,false,SAME_TRIGGER_BAR_REARM
SSRP|ASIA_HIGH|20250305|1741163400,SSRP|ASIA_HIGH|20250305|1741163400|FINAL,SHORT,2025.03.05 08:30:00,TRIGGERED,2025.03.05 08:25:00,false,false,true,FRESH_CROSS_FROM_INSIDE
SSRP|ASIA_HIGH|20250305|1741163700,SSRP|ASIA_HIGH|20250305|1741163700|FINAL,SHORT,2025.03.05 08:35:00,TRIGGERED,2025.03.05 08:35:00,true,false,false,SAME_TRIGGER_BAR_REARM
SSRP|ASIA_HIGH|20250305|1741165500,SSRP|ASIA_HIGH|20250305|1741165500|FINAL,SHORT,2025.03.05 09:05:00,TRIGGERED,2025.03.05 08:40:00,false,true,true,FRESH_CROSS_AFTER_NEUTRAL_RESET
SSRP|ASIA_HIGH|20250305|1741172400,SSRP|ASIA_HIGH|20250305|1741172400|FINAL,SHORT,2025.03.05 11:00:00,INVALIDATED,2025.03.05 11:00:00,true,false,false,SAME_TRIGGER_BAR_REARM
SSRP|ASIA_HIGH|20250305|1741173300,SSRP|ASIA_HIGH|20250305|1741173300|FINAL,SHORT,2025.03.05 11:15:00,TRIGGERED,2025.03.05 11:15:00,true,false,false,SAME_TRIGGER_BAR_REARM
SSRP|ASIA_HIGH|20250305|1741175400,SSRP|ASIA_HIGH|20250305|1741175400|FINAL,SHORT,2025.03.05 11:50:00,TRIGGERED,2025.03.05 11:20:00,false,true,true,FRESH_CROSS_AFTER_NEUTRAL_RESET
SSRP|ASIA_HIGH|20250305|1741176000,SSRP|ASIA_HIGH|20250305|1741176000|FINAL,SHORT,2025.03.05 12:00:00,TRIGGERED,2025.03.05 12:00:00,true,false,false,SAME_TRIGGER_BAR_REARM
SSRP|ASIA_HIGH|20250305|1741184700,SSRP|ASIA_HIGH|20250305|1741184700|FINAL,SHORT,2025.03.05 14:25:00,TRIGGERED,2025.03.05 12:05:00,false,true,true,FRESH_CROSS_AFTER_NEUTRAL_RESET
SSRP|ASIA_LOW|20250305|1741189800,SSRP|ASIA_LOW|20250305|1741189800|FINAL,LONG,2025.03.05 15:50:00,INVALIDATED,2025.03.05 15:50:00,true,false,false,SAME_TRIGGER_BAR_REARM
SSRP|ASIA_LOW|20250305|1741190400,SSRP|ASIA_LOW|20250305|1741190400|FINAL,LONG,2025.03.05 16:00:00,TRIGGERED,2025.03.05 16:00:00,true,false,false,SAME_TRIGGER_BAR_REARM
SSRP|ASIA_LOW|20250305|1741191300,SSRP|ASIA_LOW|20250305|1741191300|FINAL,LONG,2025.03.05 16:15:00,TRIGGERED,2025.03.05 16:10:00,false,false,true,FRESH_CROSS_FROM_INSIDE
SSRP|ASIA_HIGH|20250305|1741194300,SSRP|ASIA_HIGH|20250305|1741194300|FINAL,SHORT,2025.03.05 17:05:00,TRIGGERED,2025.03.05 14:30:00,false,true,true,FRESH_CROSS_AFTER_NEUTRAL_RESET
SSRP|ASIA_HIGH|20250305|1741195200,SSRP|ASIA_HIGH|20250305|1741195200|FINAL,SHORT,2025.03.05 17:20:00,TRIGGERED,2025.03.05 17:10:00,false,true,true,FRESH_CROSS_AFTER_NEUTRAL_RESET
SSRP|ASIA_HIGH|20250305|1741196100,SSRP|ASIA_HIGH|20250305|1741196100|FINAL,SHORT,2025.03.05 17:35:00,INVALIDATED,2025.03.05 17:35:00,true,false,false,SAME_TRIGGER_BAR_REARM
SSRP|ASIA_HIGH|20250305|1741197000,SSRP|ASIA_HIGH|20250305|1741197000|FINAL,SHORT,2025.03.05 17:50:00,TRIGGERED,2025.03.05 17:50:00,true,false,false,SAME_TRIGGER_BAR_REARM
SSRP|ASIA_HIGH|20250305|1741201800,SSRP|ASIA_HIGH|20250305|1741201800|FINAL,SHORT,2025.03.05 19:10:00,INVALIDATED,2025.03.05 19:10:00,true,false,false,SAME_TRIGGER_BAR_REARM
SSRP|ASIA_HIGH|20250305|1741202400,SSRP|ASIA_HIGH|20250305|1741202400|FINAL,SHORT,2025.03.05 19:20:00,TRIGGERED,2025.03.05 19:20:00,true,false,false,SAME_TRIGGER_BAR_REARM
SSRP|ASIA_HIGH|20250305|1741205700,SSRP|ASIA_HIGH|20250305|1741205700|FINAL,SHORT,2025.03.05 20:15:00,TRIGGERED,2025.03.05 19:25:00,false,true,true,FRESH_CROSS_AFTER_NEUTRAL_RESET
SSRP|ASIA_HIGH|20250305|1741206300,SSRP|ASIA_HIGH|20250305|1741206300|FINAL,SHORT,2025.03.05 20:25:00,TRIGGERED,2025.03.05 20:25:00,true,false,false,SAME_TRIGGER_BAR_REARM
SSRP|ASIA_HIGH|20250305|1741210200,SSRP|ASIA_HIGH|20250305|1741210200|FINAL,SHORT,2025.03.05 21:30:00,TRIGGERED,2025.03.05 20:30:00,false,true,true,FRESH_CROSS_AFTER_NEUTRAL_RESET
SSRP|ASIA_HIGH|20250305|1741215900,SSRP|ASIA_HIGH|20250305|1741215900|FINAL,SHORT,2025.03.05 23:05:00,INVALIDATED,2025.03.05 23:05:00,true,false,false,SAME_TRIGGER_BAR_REARM
SSRP|ASIA_HIGH|20250305|1741217100,SSRP|ASIA_HIGH|20250305|1741217100|FINAL,SHORT,2025.03.05 23:25:00,INVALIDATED,2025.03.05 23:25:00,true,false,false,SAME_TRIGGER_BAR_REARM
SSRP|ASIA_HIGH|20250305|1741218000,SSRP|ASIA_HIGH|20250305|1741218000|FINAL,SHORT,2025.03.05 23:40:00,TRIGGERED,2025.03.05 23:40:00,true,false,false,SAME_TRIGGER_BAR_REARM
SSRP|ASIA_HIGH|20250305|1741218600,SSRP|ASIA_HIGH|20250305|1741218600|FINAL,SHORT,2025.03.05 23:50:00,TRIGGERED,2025.03.05 23:45:00,false,false,true,FRESH_CROSS_FROM_INSIDE
SSRP|ASIA_LOW|20250306|1741253400,SSRP|ASIA_LOW|20250306|1741253400|FINAL,LONG,2025.03.06 09:30:00,NONE,,false,true,true,FRESH_CROSS_FROM_INSIDE
SSRP|ASIA_LOW|20250306|1741254000,SSRP|ASIA_LOW|20250306|1741254000|FINAL,LONG,2025.03.06 09:40:00,TRIGGERED,2025.03.06 09:40:00,true,false,false,SAME_TRIGGER_BAR_REARM
SSRP|ASIA_LOW|20250306|1741278900,SSRP|ASIA_LOW|20250306|1741278900|FINAL,LONG,2025.03.06 16:35:00,INVALIDATED,2025.03.06 16:35:00,true,false,false,SAME_TRIGGER_BAR_REARM
SSRP|ASIA_LOW|20250306|1741280100,SSRP|ASIA_LOW|20250306|1741280100|FINAL,LONG,2025.03.06 16:55:00,TRIGGERED,2025.03.06 16:50:00,false,false,true,FRESH_CROSS_FROM_INSIDE
SSRP|ASIA_LOW|20250306|1741282500,SSRP|ASIA_LOW|20250306|1741282500|FINAL,LONG,2025.03.06 17:35:00,INVALIDATED,2025.03.06 17:35:00,true,false,false,SAME_TRIGGER_BAR_REARM
SSRP|ASIA_LOW|20250306|1741283100,SSRP|ASIA_LOW|20250306|1741283100|FINAL,LONG,2025.03.06 17:45:00,TRIGGERED,2025.03.06 17:45:00,true,false,false,SAME_TRIGGER_BAR_REARM
SSRP|ASIA_LOW|20250306|1741284300,SSRP|ASIA_LOW|20250306|1741284300|FINAL,LONG,2025.03.06 18:05:00,TRIGGERED,2025.03.06 18:00:00,false,false,true,FRESH_CROSS_FROM_INSIDE
SSRP|ASIA_LOW|20250306|1741284900,SSRP|ASIA_LOW|20250306|1741284900|FINAL,LONG,2025.03.06 18:15:00,TRIGGERED,2025.03.06 18:15:00,true,false,false,SAME_TRIGGER_BAR_REARM
SSRP|ASIA_LOW|20250306|1741293600,SSRP|ASIA_LOW|20250306|1741293600|FINAL,LONG,2025.03.06 20:40:00,TRIGGERED,2025.03.06 18:20:00,false,true,true,FRESH_CROSS_AFTER_NEUTRAL_RESET
SSRP|ASIA_LOW|20250306|1741293900,SSRP|ASIA_LOW|20250306|1741293900|FINAL,LONG,2025.03.06 20:45:00,TRIGGERED,2025.03.06 20:45:00,true,false,false,SAME_TRIGGER_BAR_REARM
SSRP|ASIA_LOW|20250306|1741296000,SSRP|ASIA_LOW|20250306|1741296000|FINAL,LONG,2025.03.06 21:20:00,TRIGGERED,2025.03.06 20:50:00,false,true,true,FRESH_CROSS_AFTER_NEUTRAL_RESET
SSRP|ASIA_LOW|20250306|1741297500,SSRP|ASIA_LOW|20250306|1741297500|FINAL,LONG,2025.03.06 21:45:00,TRIGGERED,2025.03.06 21:45:00,true,false,false,SAME_TRIGGER_BAR_REARM
SSRP|ASIA_LOW|20250306|1741298100,SSRP|ASIA_LOW|20250306|1741298100|FINAL,LONG,2025.03.06 21:55:00,TRIGGERED,2025.03.06 21:50:00,false,false,true,FRESH_CROSS_FROM_INSIDE
SSRP|ASIA_LOW|20250306|1741298400,SSRP|ASIA_LOW|20250306|1741298400|FINAL,LONG,2025.03.06 22:00:00,TRIGGERED,2025.03.06 22:00:00,true,false,false,SAME_TRIGGER_BAR_REARM
SSRP|ASIA_HIGH|20250307|1741336200,SSRP|ASIA_HIGH|20250307|1741336200|FINAL,SHORT,2025.03.07 08:30:00,NONE,,false,true,true,FRESH_CROSS_FROM_INSIDE
SSRP|ASIA_HIGH|20250307|1741336800,SSRP|ASIA_HIGH|20250307|1741336800|FINAL,SHORT,2025.03.07 08:40:00,TRIGGERED,2025.03.07 08:35:00,false,false,true,FRESH_CROSS_FROM_INSIDE
SSRP|ASIA_HIGH|20250307|1741338000,SSRP|ASIA_HIGH|20250307|1741338000|FINAL,SHORT,2025.03.07 09:00:00,TRIGGERED,2025.03.07 08:45:00,false,true,true,FRESH_CROSS_AFTER_NEUTRAL_RESET
SSRP|ASIA_HIGH|20250307|1741338300,SSRP|ASIA_HIGH|20250307|1741338300|FINAL,SHORT,2025.03.07 09:05:00,TRIGGERED,2025.03.07 09:05:00,true,false,false,SAME_TRIGGER_BAR_REARM
SSRP|ASIA_HIGH|20250307|1741339200,SSRP|ASIA_HIGH|20250307|1741339200|FINAL,SHORT,2025.03.07 09:20:00,TRIGGERED,2025.03.07 09:20:00,true,false,false,SAME_TRIGGER_BAR_REARM
SSRP|ASIA_HIGH|20250307|1741360200,SSRP|ASIA_HIGH|20250307|1741360200|FINAL,SHORT,2025.03.07 15:10:00,INVALIDATED,2025.03.07 15:10:00,true,false,false,SAME_TRIGGER_BAR_REARM
SSRP|ASIA_HIGH|20250307|1741360800,SSRP|ASIA_HIGH|20250307|1741360800|FINAL,SHORT,2025.03.07 15:20:00,TRIGGERED,2025.03.07 15:20:00,true,false,false,SAME_TRIGGER_BAR_REARM
SSRP|ASIA_HIGH|20250307|1741362600,SSRP|ASIA_HIGH|20250307|1741362600|FINAL,SHORT,2025.03.07 15:50:00,INVALIDATED,2025.03.07 15:50:00,true,false,false,SAME_TRIGGER_BAR_REARM
SSRP|ASIA_HIGH|20250307|1741368900,SSRP|ASIA_HIGH|20250307|1741368900|FINAL,SHORT,2025.03.07 17:35:00,INVALIDATED,2025.03.07 17:35:00,true,false,false,SAME_TRIGGER_BAR_REARM
SSRP|ASIA_HIGH|20250307|1741373100,SSRP|ASIA_HIGH|20250307|1741373100|FINAL,SHORT,2025.03.07 18:45:00,INVALIDATED,2025.03.07 18:45:00,true,false,false,SAME_TRIGGER_BAR_REARM
SSRP|ASIA_HIGH|20250307|1741374600,SSRP|ASIA_HIGH|20250307|1741374600|FINAL,SHORT,2025.03.07 19:10:00,TRIGGERED,2025.03.07 19:10:00,true,false,false,SAME_TRIGGER_BAR_REARM
SSRP|ASIA_LOW|20250310|1741598700,SSRP|ASIA_LOW|20250310|1741598700|FINAL,LONG,2025.03.10 09:25:00,NONE,,false,true,true,FRESH_CROSS_FROM_INSIDE
SSRP|ASIA_LOW|20250310|1741599300,SSRP|ASIA_LOW|20250310|1741599300|FINAL,LONG,2025.03.10 09:35:00,TRIGGERED,2025.03.10 09:35:00,true,false,false,SAME_TRIGGER_BAR_REARM
SSRP|ASIA_LOW|20250310|1741607400,SSRP|ASIA_LOW|20250310|1741607400|FINAL,LONG,2025.03.10 11:50:00,TRIGGERED,2025.03.10 09:40:00,false,true,true,FRESH_CROSS_AFTER_NEUTRAL_RESET
SSRP|ASIA_LOW|20250310|1741607700,SSRP|ASIA_LOW|20250310|1741607700|FINAL,LONG,2025.03.10 11:55:00,TRIGGERED,2025.03.10 11:55:00,true,false,false,SAME_TRIGGER_BAR_REARM
SSRP|ASIA_LOW|20250310|1741608000,SSRP|ASIA_LOW|20250310|1741608000|FINAL,LONG,2025.03.10 12:00:00,TRIGGERED,2025.03.10 12:00:00,true,false,false,SAME_TRIGGER_BAR_REARM
SSRP|ASIA_LOW|20250310|1741611900,SSRP|ASIA_LOW|20250310|1741611900|FINAL,LONG,2025.03.10 13:05:00,INVALIDATED,2025.03.10 13:05:00,true,false,false,SAME_TRIGGER_BAR_REARM
SSRP|ASIA_LOW|20250310|1741612200,SSRP|ASIA_LOW|20250310|1741612200|FINAL,LONG,2025.03.10 13:10:00,TRIGGERED,2025.03.10 13:10:00,true,false,false,SAME_TRIGGER_BAR_REARM
SSRP|ASIA_LOW|20250310|1741612500,SSRP|ASIA_LOW|20250310|1741612500|FINAL,LONG,2025.03.10 13:15:00,TRIGGERED,2025.03.10 13:15:00,true,false,false,SAME_TRIGGER_BAR_REARM
SSRP|ASIA_LOW|20250310|1741615200,SSRP|ASIA_LOW|20250310|1741615200|FINAL,LONG,2025.03.10 14:00:00,TRIGGERED,2025.03.10 13:20:00,false,true,true,FRESH_CROSS_AFTER_NEUTRAL_RESET
SSRP|ASIA_HIGH|20250311|1741689000,SSRP|ASIA_HIGH|20250311|1741689000|FINAL,SHORT,2025.03.11 10:30:00,NONE,,false,true,true,FRESH_CROSS_FROM_INSIDE
SSRP|ASIA_HIGH|20250311|1741689300,SSRP|ASIA_HIGH|20250311|1741689300|FINAL,SHORT,2025.03.11 10:35:00,TRIGGERED,2025.03.11 10:35:00,true,false,false,SAME_TRIGGER_BAR_REARM
SSRP|ASIA_HIGH|20250311|1741691100,SSRP|ASIA_HIGH|20250311|1741691100|FINAL,SHORT,2025.03.11 11:05:00,INVALIDATED,2025.03.11 11:05:00,true,false,false,SAME_TRIGGER_BAR_REARM
SSRP|ASIA_HIGH|20250311|1741691400,SSRP|ASIA_HIGH|20250311|1741691400|FINAL,SHORT,2025.03.11 11:10:00,TRIGGERED,2025.03.11 11:10:00,true,false,false,SAME_TRIGGER_BAR_REARM
SSRP|ASIA_HIGH|20250311|1741692300,SSRP|ASIA_HIGH|20250311|1741692300|FINAL,SHORT,2025.03.11 11:25:00,TRIGGERED,2025.03.11 11:15:00,false,true,true,FRESH_CROSS_AFTER_NEUTRAL_RESET
SSRP|ASIA_HIGH|20250311|1741692600,SSRP|ASIA_HIGH|20250311|1741692600|FINAL,SHORT,2025.03.11 11:30:00,TRIGGERED,2025.03.11 11:30:00,true,false,false,SAME_TRIGGER_BAR_REARM
SSRP|ASIA_HIGH|20250311|1741693200,SSRP|ASIA_HIGH|20250311|1741693200|FINAL,SHORT,2025.03.11 11:40:00,TRIGGERED,2025.03.11 11:35:00,false,false,true,FRESH_CROSS_FROM_INSIDE
SSRP|ASIA_HIGH|20250312|1741773900,SSRP|ASIA_HIGH|20250312|1741773900|FINAL,SHORT,2025.03.12 10:05:00,NONE,,false,true,true,FRESH_CROSS_FROM_INSIDE
SSRP|ASIA_LOW|20250312|1741777500,SSRP|ASIA_LOW|20250312|1741777500|FINAL,LONG,2025.03.12 11:05:00,NONE,,false,true,true,FRESH_CROSS_FROM_INSIDE
SSRP|ASIA_LOW|20250312|1741778100,SSRP|ASIA_LOW|20250312|1741778100|FINAL,LONG,2025.03.12 11:15:00,TRIGGERED,2025.03.12 11:10:00,false,false,true,FRESH_CROSS_FROM_INSIDE
