logical_position_id,position_ticket,entry_deal_count,exit_deal_count,entry_volume,exit_volume,weighted_exit_price,reported_exit_price,reported_r,portfolio_reported_r,recomputed_r,volume_match,weighted_exit_match,r_match
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|34:SSRP|ASIA_HIGH|20250303|1741012200,2,1,1,2.21,2.21000000,2874.37000000,2874.37,2.0000,2.0,2.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|34:SSRP|ASIA_HIGH|20250303|1741019700,4,1,1,0.38,0.38000000,2883.22000000,2883.22,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|34:SSRP|ASIA_HIGH|20250305|1741161600,6,1,1,2.63,2.63000000,2919.40000000,2919.4,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|34:SSRP|ASIA_HIGH|20250305|1741162500,8,1,1,0.76,0.76000000,2921.77000000,2921.77,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|34:SSRP|ASIA_HIGH|20250305|1741172400,10,1,1,0.52,0.52000000,2908.48000000,2908.48,1.9979,1.9978858350950912,1.99788584,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|33:SSRP|ASIA_LOW|20250305|1741189800,12,1,1,0.21,0.21000000,2916.92000000,2916.92,1.0289,1.0288713910761493,1.02887139,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|34:SSRP|ASIA_HIGH|20250305|1741194300,14,1,1,0.49,0.49000000,2921.97000000,2921.97,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|34:SSRP|ASIA_HIGH|20250305|1741196100,16,1,1,0.4,0.40000000,2923.99000000,2923.99,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|34:SSRP|ASIA_HIGH|20250305|1741201800,18,1,1,0.54,0.54000000,2922.62000000,2922.62,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|34:SSRP|ASIA_HIGH|20250305|1741215900,20,1,1,1.04,1.04000000,2920.77000000,2920.77,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|33:SSRP|ASIA_LOW|20250306|1741253400,22,1,1,0.65,0.65000000,2911.48000000,2911.48,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|33:SSRP|ASIA_LOW|20250306|1741278900,24,1,1,0.4,0.40000000,2909.36000000,2909.36,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|33:SSRP|ASIA_LOW|20250306|1741282500,26,1,1,0.35,0.35000000,2908.72000000,2908.72,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|34:SSRP|ASIA_HIGH|20250307|1741336200,28,1,1,1.27,1.27000000,2914.92000000,2914.92,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|34:SSRP|ASIA_HIGH|20250307|1741360200,30,1,1,0.27,0.27000000,2920.61000000,2920.61,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|34:SSRP|ASIA_HIGH|20250307|1741362600,32,1,1,0.19,0.19000000,2922.18000000,2922.18,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|34:SSRP|ASIA_HIGH|20250307|1741368900,34,1,1,0.2,0.20000000,2909.95000000,2909.95,0.1303,0.13032581453637646,0.13032581,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|33:SSRP|ASIA_LOW|20250310|1741598700,36,1,1,0.79,0.79000000,2906.87000000,2906.8699999999994,-1.0000,-1.0000000000001477,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|33:SSRP|ASIA_LOW|20250310|1741607400,38,1,1,0.56,0.56000000,2904.17000000,2904.17,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|33:SSRP|ASIA_LOW|20250310|1741611900,40,1,1,0.32,0.32000000,2901.09000000,2901.09,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|34:SSRP|ASIA_HIGH|20250311|1741689000,42,1,1,0.89,0.89000000,2902.14000000,2902.14,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|34:SSRP|ASIA_HIGH|20250311|1741691100,44,1,1,0.66,0.66000000,2903.60000000,2903.6,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|34:SSRP|ASIA_HIGH|20250312|1741773900,46,1,1,0.62,0.62000000,2911.71000000,2911.71,1.4576,1.457583547557907,1.45758355,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|33:SSRP|ASIA_LOW|20250312|1741777500,48,1,1,1.8,1.80000000,2910.36000000,2910.36,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|33:SSRP|ASIA_LOW|20250312|1741778100,50,1,1,0.75,0.75000000,2918.50000000,2918.5,2.0000,2.000000000000141,2.00000000,true,true,true
