signal_time,direction,old_origin_id,corrected_origin_id,event_id_before,event_id_after,entry_before,entry_after,stop_before,stop_after,target_before,target_after,geometry_identical
2025.03.03 14:35:00,SHORT,ASIA_HIGH|20250303,SSRP|ASIA_HIGH|20250303|1741012200,SSRP|ASIA_HIGH|20250303|1741012200|FINAL,SSRP|ASIA_HIGH|20250303|1741012200|FINAL,2876.65,2876.65,2877.76,2877.76,2874.43,2874.43,true
2025.03.03 14:40:00,SHORT,ASIA_HIGH|20250303,SSRP|ASIA_HIGH|20250303|1741012500,SSRP|ASIA_HIGH|20250303|1741012500|FINAL,SSRP|ASIA_HIGH|20250303|1741012500|FINAL,2876.79,2876.79,2877.76,2877.76,2874.84,2874.84,true
2025.03.03 14:50:00,SHORT,ASIA_HIGH|20250303,SSRP|ASIA_HIGH|20250303|1741013100,SSRP|ASIA_HIGH|20250303|1741013100|FINAL,SSRP|ASIA_HIGH|20250303|1741013100|FINAL,2876.52,2876.52,2877.49,2877.49,2874.58,2874.58,true
2025.03.03 14:55:00,SHORT,ASIA_HIGH|20250303,SSRP|ASIA_HIGH|20250303|1741013400,SSRP|ASIA_HIGH|20250303|1741013400|FINAL,SSRP|ASIA_HIGH|20250303|1741013400|FINAL,2875.65,2875.65,2877.39,2877.39,2872.18,2872.18,true
2025.03.03 16:55:00,SHORT,ASIA_HIGH|20250303,SSRP|ASIA_HIGH|20250303|1741019700,SSRP|ASIA_HIGH|20250303|1741019700|FINAL,SSRP|ASIA_HIGH|20250303|1741019700|FINAL,2876.63,2876.63,2883.22,2883.22,2863.45,2863.45,true
2025.03.05 08:05:00,SHORT,ASIA_HIGH|20250305,SSRP|ASIA_HIGH|20250305|1741161600,SSRP|ASIA_HIGH|20250305|1741161600|FINAL,SSRP|ASIA_HIGH|20250305|1741161600|FINAL,2918.44,2918.44,2919.40,2919.40,2916.52,2916.52,true
2025.03.05 08:25:00,SHORT,ASIA_HIGH|20250305,SSRP|ASIA_HIGH|20250305|1741162500,SSRP|ASIA_HIGH|20250305|1741162500|FINAL,SSRP|ASIA_HIGH|20250305|1741162500|FINAL,2918.58,2918.58,2921.77,2921.77,2912.20,2912.20,true
2025.03.05 08:35:00,SHORT,ASIA_HIGH|20250305,SSRP|ASIA_HIGH|20250305|1741163400,SSRP|ASIA_HIGH|20250305|1741163400|FINAL,SSRP|ASIA_HIGH|20250305|1741163400|FINAL,2915.73,2915.73,2919.77,2919.77,2907.66,2907.66,true
2025.03.05 08:40:00,SHORT,ASIA_HIGH|20250305,SSRP|ASIA_HIGH|20250305|1741163700,SSRP|ASIA_HIGH|20250305|1741163700|FINAL,SSRP|ASIA_HIGH|20250305|1741163700|FINAL,2917.62,2917.62,2919.78,2919.78,2913.31,2913.31,true
2025.03.05 09:10:00,SHORT,ASIA_HIGH|20250305,SSRP|ASIA_HIGH|20250305|1741165500,SSRP|ASIA_HIGH|20250305|1741165500|FINAL,SSRP|ASIA_HIGH|20250305|1741165500|FINAL,2917.64,2917.64,2919.96,2919.96,2913.01,2913.01,true
