research_signal,production_candidate,eligible_candidate,cluster,execution_intent,order,position,entry_deal,exit_deal,closed_strategybook_trade,reported_r,recomputed_r,final_status,classification
SSR|ASIA_HIGH|20250303|1741012200|FINAL,SSRP|ASIA_HIGH|20250303|1741012200|FINAL,true,MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20250303,MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20250303,2,2,2,3,true,2.0000,2.0,EXECUTED,broker-executed
SSR|ASIA_HIGH|20250303|1741012500|FINAL,SSRP|ASIA_HIGH|20250303|1741012500|FINAL,true,MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20250303,,,,,,false,,,REJECT_DUPLICATE_CLUSTER,"Asia session level swept during London/NewYork, closed-bar reclaim within frozen window"
SSR|ASIA_HIGH|20250303|1741013100|FINAL,SSRP|ASIA_HIGH|20250303|1741013100|FINAL,true,MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20250303,,,,,,false,,,REJECT_DUPLICATE_CLUSTER,"Asia session level swept during London/NewYork, closed-bar reclaim within frozen window"
SSR|ASIA_HIGH|20250303|1741013400|FINAL,SSRP|ASIA_HIGH|20250303|1741013400|FINAL,true,MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20250303,,,,,,false,,,REJECT_DUPLICATE_CLUSTER,"Asia session level swept during London/NewYork, closed-bar reclaim within frozen window"
SSR|ASIA_HIGH|20250303|1741019700|FINAL,SSRP|ASIA_HIGH|20250303|1741019700|FINAL,true,MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20250303,,,,,,false,,,REJECT_DUPLICATE_CLUSTER,"Asia session level swept during London/NewYork, closed-bar reclaim within frozen window"
SSR|ASIA_HIGH|20250305|1741161600|FINAL,SSRP|ASIA_HIGH|20250305|1741161600|FINAL,true,MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20250305,MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20250305,4,4,4,5,true,-1.0000,-1.0,EXECUTED,broker-executed
SSR|ASIA_HIGH|20250305|1741162500|FINAL,SSRP|ASIA_HIGH|20250305|1741162500|FINAL,true,MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20250305,,,,,,false,,,REJECT_DUPLICATE_CLUSTER,"Asia session level swept during London/NewYork, closed-bar reclaim within frozen window"
SSR|ASIA_HIGH|20250305|1741163400|FINAL,SSRP|ASIA_HIGH|20250305|1741163400|FINAL,true,MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20250305,,,,,,false,,,REJECT_DUPLICATE_CLUSTER,"Asia session level swept during London/NewYork, closed-bar reclaim within frozen window"
SSR|ASIA_HIGH|20250305|1741163700|FINAL,SSRP|ASIA_HIGH|20250305|1741163700|FINAL,true,MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20250305,,,,,,false,,,REJECT_DUPLICATE_CLUSTER,"Asia session level swept during London/NewYork, closed-bar reclaim within frozen window"
SSR|ASIA_HIGH|20250305|1741165500|FINAL,SSRP|ASIA_HIGH|20250305|1741165500|FINAL,true,MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20250305,,,,,,false,,,REJECT_DUPLICATE_CLUSTER,"Asia session level swept during London/NewYork, closed-bar reclaim within frozen window"
SSR|ASIA_HIGH|20250305|1741172400|FINAL,SSRP|ASIA_HIGH|20250305|1741172400|FINAL,true,MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20250305,,,,,,false,,,REJECT_DUPLICATE_CLUSTER,"Asia session level swept during London/NewYork, closed-bar reclaim within frozen window"
SSR|ASIA_HIGH|20250305|1741173300|FINAL,SSRP|ASIA_HIGH|20250305|1741173300|FINAL,true,MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20250305,,,,,,false,,,REJECT_DUPLICATE_CLUSTER,"Asia session level swept during London/NewYork, closed-bar reclaim within frozen window"
SSR|ASIA_HIGH|20250305|1741175400|FINAL,SSRP|ASIA_HIGH|20250305|1741175400|FINAL,true,MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20250305,,,,,,false,,,REJECT_DUPLICATE_CLUSTER,"Asia session level swept during London/NewYork, closed-bar reclaim within frozen window"
SSR|ASIA_HIGH|20250305|1741176000|FINAL,SSRP|ASIA_HIGH|20250305|1741176000|FINAL,true,MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20250305,,,,,,false,,,REJECT_DUPLICATE_CLUSTER,"Asia session level swept during London/NewYork, closed-bar reclaim within frozen window"
