cluster_id,cluster_origin_id,consumed_event_id,rejected_event_id,consumed_signal_time,rejected_signal_time,minutes_after_consumed_signal,first_trade_close_time,after_first_trade_close,d032_accepted_as_trade,exact_event_duplicate,event_identity_class,execution_eligibility_class,audit_verdict
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20250303,ASIA_HIGH|20250303,SSRP|ASIA_HIGH|20250303|1741012200|FINAL,SSRP|ASIA_HIGH|20250303|1741012500|FINAL,2025.03.03 14:35:00,2025.03.03 14:40:00,5,2025.03.03 15:04:58,false,false,false,DISTINCT_TIMESTAMPED_REARM_EVENT,D032_REJECTED_BY_SAME_FAMILY_STACKING,DISTINCT_SETUP_SUPPRESSION
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20250303,ASIA_HIGH|20250303,SSRP|ASIA_HIGH|20250303|1741012200|FINAL,SSRP|ASIA_HIGH|20250303|1741013100|FINAL,2025.03.03 14:35:00,2025.03.03 14:50:00,15,2025.03.03 15:04:58,false,false,false,DISTINCT_TIMESTAMPED_REARM_EVENT,D032_REJECTED_BY_SAME_FAMILY_STACKING,DISTINCT_SETUP_SUPPRESSION
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20250303,ASIA_HIGH|20250303,SSRP|ASIA_HIGH|20250303|1741012200|FINAL,SSRP|ASIA_HIGH|20250303|1741013400|FINAL,2025.03.03 14:35:00,2025.03.03 14:55:00,20,2025.03.03 15:04:58,false,false,false,DISTINCT_TIMESTAMPED_REARM_EVENT,D032_REJECTED_BY_SAME_FAMILY_STACKING,DISTINCT_SETUP_SUPPRESSION
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20250303,ASIA_HIGH|20250303,SSRP|ASIA_HIGH|20250303|1741012200|FINAL,SSRP|ASIA_HIGH|20250303|1741019700|FINAL,2025.03.03 14:35:00,2025.03.03 16:55:00,140,2025.03.03 15:04:58,true,true,false,DISTINCT_TIMESTAMPED_REARM_EVENT,D032_ACCEPTED_DISTINCT_TRADE,DISTINCT_SETUP_SUPPRESSION
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20250305,ASIA_HIGH|20250305,SSRP|ASIA_HIGH|20250305|1741161600|FINAL,SSRP|ASIA_HIGH|20250305|1741162500|FINAL,2025.03.05 08:05:00,2025.03.05 08:25:00,20,2025.03.05 08:14:58,true,true,false,DISTINCT_TIMESTAMPED_REARM_EVENT,D032_ACCEPTED_DISTINCT_TRADE,DISTINCT_SETUP_SUPPRESSION
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20250305,ASIA_HIGH|20250305,SSRP|ASIA_HIGH|20250305|1741161600|FINAL,SSRP|ASIA_HIGH|20250305|1741163400|FINAL,2025.03.05 08:05:00,2025.03.05 08:35:00,30,2025.03.05 08:14:58,true,false,false,DISTINCT_TIMESTAMPED_REARM_EVENT,D032_REJECTED_BY_SAME_FAMILY_STACKING,DISTINCT_SETUP_SUPPRESSION
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20250305,ASIA_HIGH|20250305,SSRP|ASIA_HIGH|20250305|1741161600|FINAL,SSRP|ASIA_HIGH|20250305|1741163700|FINAL,2025.03.05 08:05:00,2025.03.05 08:40:00,35,2025.03.05 08:14:58,true,false,false,DISTINCT_TIMESTAMPED_REARM_EVENT,D032_REJECTED_BY_SAME_FAMILY_STACKING,DISTINCT_SETUP_SUPPRESSION
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20250305,ASIA_HIGH|20250305,SSRP|ASIA_HIGH|20250305|1741161600|FINAL,SSRP|ASIA_HIGH|20250305|1741165500|FINAL,2025.03.05 08:05:00,2025.03.05 09:10:00,65,2025.03.05 08:14:58,true,false,false,DISTINCT_TIMESTAMPED_REARM_EVENT,D032_REJECTED_BY_SAME_FAMILY_STACKING,DISTINCT_SETUP_SUPPRESSION
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20250305,ASIA_HIGH|20250305,SSRP|ASIA_HIGH|20250305|1741161600|FINAL,SSRP|ASIA_HIGH|20250305|1741172400|FINAL,2025.03.05 08:05:00,2025.03.05 11:15:00,190,2025.03.05 08:14:58,true,true,false,DISTINCT_TIMESTAMPED_REARM_EVENT,D032_ACCEPTED_DISTINCT_TRADE,DISTINCT_SETUP_SUPPRESSION
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20250305,ASIA_HIGH|20250305,SSRP|ASIA_HIGH|20250305|1741161600|FINAL,SSRP|ASIA_HIGH|20250305|1741173300|FINAL,2025.03.05 08:05:00,2025.03.05 11:20:00,195,2025.03.05 08:14:58,true,false,false,DISTINCT_TIMESTAMPED_REARM_EVENT,D032_REJECTED_BY_SAME_FAMILY_STACKING,DISTINCT_SETUP_SUPPRESSION
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20250305,ASIA_HIGH|20250305,SSRP|ASIA_HIGH|20250305|1741161600|FINAL,SSRP|ASIA_HIGH|20250305|1741175400|FINAL,2025.03.05 08:05:00,2025.03.05 12:00:00,235,2025.03.05 08:14:58,true,false,false,DISTINCT_TIMESTAMPED_REARM_EVENT,D032_REJECTED_BY_SAME_FAMILY_STACKING,DISTINCT_SETUP_SUPPRESSION
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20250305,ASIA_HIGH|20250305,SSRP|ASIA_HIGH|20250305|1741161600|FINAL,SSRP|ASIA_HIGH|20250305|1741176000|FINAL,2025.03.05 08:05:00,2025.03.05 12:05:00,240,2025.03.05 08:14:58,true,false,false,DISTINCT_TIMESTAMPED_REARM_EVENT,D032_REJECTED_BY_SAME_FAMILY_STACKING,DISTINCT_SETUP_SUPPRESSION
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20250305,ASIA_HIGH|20250305,SSRP|ASIA_HIGH|20250305|1741161600|FINAL,SSRP|ASIA_HIGH|20250305|1741184700|FINAL,2025.03.05 08:05:00,2025.03.05 14:30:00,385,2025.03.05 08:14:58,true,false,false,DISTINCT_TIMESTAMPED_REARM_EVENT,D032_REJECTED_BY_SAME_FAMILY_STACKING,DISTINCT_SETUP_SUPPRESSION
MSZZC1|6:XAUUSD|1:5|1:1|1:4|17:ASIA_LOW|20250305,ASIA_LOW|20250305,SSRP|ASIA_LOW|20250305|1741189800|FINAL,SSRP|ASIA_LOW|20250305|1741190400|FINAL,2025.03.05 16:00:00,2025.03.05 16:10:00,10,2025.03.05 18:24:58,false,false,false,DISTINCT_TIMESTAMPED_REARM_EVENT,D032_REJECTED_BY_SAME_FAMILY_STACKING,DISTINCT_SETUP_SUPPRESSION
MSZZC1|6:XAUUSD|1:5|1:1|1:4|17:ASIA_LOW|20250305,ASIA_LOW|20250305,SSRP|ASIA_LOW|20250305|1741189800|FINAL,SSRP|ASIA_LOW|20250305|1741191300|FINAL,2025.03.05 16:00:00,2025.03.05 16:20:00,20,2025.03.05 18:24:58,false,false,false,DISTINCT_TIMESTAMPED_REARM_EVENT,D032_REJECTED_BY_SAME_FAMILY_STACKING,DISTINCT_SETUP_SUPPRESSION
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20250305,ASIA_HIGH|20250305,SSRP|ASIA_HIGH|20250305|1741161600|FINAL,SSRP|ASIA_HIGH|20250305|1741194300|FINAL,2025.03.05 08:05:00,2025.03.05 17:10:00,545,2025.03.05 08:14:58,true,false,false,DISTINCT_TIMESTAMPED_REARM_EVENT,D032_REJECTED_BY_SAME_FAMILY_STACKING,DISTINCT_SETUP_SUPPRESSION
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20250305,ASIA_HIGH|20250305,SSRP|ASIA_HIGH|20250305|1741161600|FINAL,SSRP|ASIA_HIGH|20250305|1741195200|FINAL,2025.03.05 08:05:00,2025.03.05 17:25:00,560,2025.03.05 08:14:58,true,false,false,DISTINCT_TIMESTAMPED_REARM_EVENT,D032_REJECTED_BY_SAME_FAMILY_STACKING,DISTINCT_SETUP_SUPPRESSION
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20250305,ASIA_HIGH|20250305,SSRP|ASIA_HIGH|20250305|1741161600|FINAL,SSRP|ASIA_HIGH|20250305|1741196100|FINAL,2025.03.05 08:05:00,2025.03.05 17:50:00,585,2025.03.05 08:14:58,true,false,false,DISTINCT_TIMESTAMPED_REARM_EVENT,D032_REJECTED_BY_SAME_FAMILY_STACKING,DISTINCT_SETUP_SUPPRESSION
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20250305,ASIA_HIGH|20250305,SSRP|ASIA_HIGH|20250305|1741161600|FINAL,SSRP|ASIA_HIGH|20250305|1741197000|FINAL,2025.03.05 08:05:00,2025.03.05 17:55:00,590,2025.03.05 08:14:58,true,false,false,DISTINCT_TIMESTAMPED_REARM_EVENT,D032_REJECTED_BY_SAME_FAMILY_STACKING,DISTINCT_SETUP_SUPPRESSION
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20250305,ASIA_HIGH|20250305,SSRP|ASIA_HIGH|20250305|1741161600|FINAL,SSRP|ASIA_HIGH|20250305|1741201800|FINAL,2025.03.05 08:05:00,2025.03.05 19:20:00,675,2025.03.05 08:14:58,true,true,false,DISTINCT_TIMESTAMPED_REARM_EVENT,D032_ACCEPTED_DISTINCT_TRADE,DISTINCT_SETUP_SUPPRESSION
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20250305,ASIA_HIGH|20250305,SSRP|ASIA_HIGH|20250305|1741161600|FINAL,SSRP|ASIA_HIGH|20250305|1741202400|FINAL,2025.03.05 08:05:00,2025.03.05 19:25:00,680,2025.03.05 08:14:58,true,false,false,DISTINCT_TIMESTAMPED_REARM_EVENT,D032_REJECTED_BY_SAME_FAMILY_STACKING,DISTINCT_SETUP_SUPPRESSION
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20250305,ASIA_HIGH|20250305,SSRP|ASIA_HIGH|20250305|1741161600|FINAL,SSRP|ASIA_HIGH|20250305|1741205700|FINAL,2025.03.05 08:05:00,2025.03.05 20:25:00,740,2025.03.05 08:14:58,true,false,false,DISTINCT_TIMESTAMPED_REARM_EVENT,D032_REJECTED_BY_SAME_FAMILY_STACKING,DISTINCT_SETUP_SUPPRESSION
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20250305,ASIA_HIGH|20250305,SSRP|ASIA_HIGH|20250305|1741161600|FINAL,SSRP|ASIA_HIGH|20250305|1741206300|FINAL,2025.03.05 08:05:00,2025.03.05 20:30:00,745,2025.03.05 08:14:58,true,false,false,DISTINCT_TIMESTAMPED_REARM_EVENT,D032_REJECTED_BY_SAME_FAMILY_STACKING,DISTINCT_SETUP_SUPPRESSION
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20250305,ASIA_HIGH|20250305,SSRP|ASIA_HIGH|20250305|1741161600|FINAL,SSRP|ASIA_HIGH|20250305|1741210200|FINAL,2025.03.05 08:05:00,2025.03.05 21:40:00,815,2025.03.05 08:14:58,true,false,false,DISTINCT_TIMESTAMPED_REARM_EVENT,D032_REJECTED_BY_SAME_FAMILY_STACKING,DISTINCT_SETUP_SUPPRESSION
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20250305,ASIA_HIGH|20250305,SSRP|ASIA_HIGH|20250305|1741161600|FINAL,SSRP|ASIA_HIGH|20250305|1741215900|FINAL,2025.03.05 08:05:00,2025.03.05 23:15:00,910,2025.03.05 08:14:58,true,true,false,DISTINCT_TIMESTAMPED_REARM_EVENT,D032_ACCEPTED_DISTINCT_TRADE,DISTINCT_SETUP_SUPPRESSION
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20250305,ASIA_HIGH|20250305,SSRP|ASIA_HIGH|20250305|1741161600|FINAL,SSRP|ASIA_HIGH|20250305|1741217100|FINAL,2025.03.05 08:05:00,2025.03.05 23:40:00,935,2025.03.05 08:14:58,true,false,false,DISTINCT_TIMESTAMPED_REARM_EVENT,D032_REJECTED_BY_SAME_FAMILY_STACKING,DISTINCT_SETUP_SUPPRESSION
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20250305,ASIA_HIGH|20250305,SSRP|ASIA_HIGH|20250305|1741161600|FINAL,SSRP|ASIA_HIGH|20250305|1741218000|FINAL,2025.03.05 08:05:00,2025.03.05 23:45:00,940,2025.03.05 08:14:58,true,false,false,DISTINCT_TIMESTAMPED_REARM_EVENT,D032_REJECTED_BY_SAME_FAMILY_STACKING,DISTINCT_SETUP_SUPPRESSION
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20250305,ASIA_HIGH|20250305,SSRP|ASIA_HIGH|20250305|1741161600|FINAL,SSRP|ASIA_HIGH|20250305|1741218600|FINAL,2025.03.05 08:05:00,2025.03.05 23:55:00,950,2025.03.05 08:14:58,true,false,false,DISTINCT_TIMESTAMPED_REARM_EVENT,D032_REJECTED_BY_SAME_FAMILY_STACKING,DISTINCT_SETUP_SUPPRESSION
