signal_time,direction,synthetic_entry,broker_entry,synthetic_stop,broker_stop,synthetic_target,broker_target,synthetic_R,broker_R,status,difference_reason
2025.03.03 14:35:00,SHORT,2876.65,2876.63000000,2877.76,2877.76000000,2874.43,2874.37000000,2.0,2.0000,EXECUTED,next-tick executable entry; spread; broker target normalization
2025.03.03 16:55:00,SHORT,2876.63,2876.63000000,2883.22,2877.76000000,2863.45,2874.37000000,-1.0,2.0000,REJECT_DUPLICATE_CLUSTER,candidate collision / duplicate suppression
2025.03.05 08:05:00,SHORT,2918.44,2918.45000000,2919.4,2919.40000000,2916.52,2916.55000000,-1.0,-1.0000,EXECUTED,next-tick executable entry; spread; broker target normalization
2025.03.05 08:25:00,SHORT,2918.58,2918.45000000,2921.77,2919.40000000,2912.2,2916.55000000,-1.0,-1.0000,REJECT_DUPLICATE_CLUSTER,candidate collision / duplicate suppression
2025.03.05 11:15:00,SHORT,2918.02,2918.45000000,2922.66,2919.40000000,2908.75,2916.55000000,2.0,-1.0000,REJECT_DUPLICATE_CLUSTER,candidate collision / duplicate suppression
2025.03.05 16:00:00,LONG,2905.0,2905.16000000,2893.73,2893.73000000,2927.54,2928.02000000,2.0,2.0000,EXECUTED,next-tick executable entry; spread; broker target normalization
2025.03.05 19:20:00,SHORT,2918.08,2918.45000000,2922.62,2919.40000000,2908.99,2916.55000000,-1.0,-1.0000,REJECT_DUPLICATE_CLUSTER,candidate collision / duplicate suppression
2025.03.05 23:15:00,SHORT,2918.39,2918.45000000,2920.77,2919.40000000,2913.63,2916.55000000,-1.0,-1.0000,REJECT_DUPLICATE_CLUSTER,candidate collision / duplicate suppression
2025.03.06 09:40:00,LONG,2915.22,2915.27000000,2911.48,2911.48000000,2922.7,2922.85000000,-1.0,-1.0000,EXECUTED,next-tick executable entry; spread; broker target normalization
2025.03.06 16:50:00,LONG,2915.37,2915.27000000,2909.36,2911.48000000,2927.39,2922.85000000,-1.0,-1.0000,REJECT_DUPLICATE_CLUSTER,candidate collision / duplicate suppression
2025.03.06 17:45:00,LONG,2915.49,2915.27000000,2908.72,2911.48000000,2929.03,2922.85000000,-1.0,-1.0000,REJECT_DUPLICATE_CLUSTER,candidate collision / duplicate suppression
2025.03.07 08:35:00,SHORT,2912.99,2912.98000000,2914.92,2914.92000000,2909.13,2909.10000000,-1.0,-1.0000,EXECUTED,next-tick executable entry; spread; broker target normalization
2025.03.07 15:20:00,SHORT,2911.52,2912.98000000,2920.61,2914.92000000,2893.33,2909.10000000,-1.0,-1.0000,REJECT_DUPLICATE_CLUSTER,candidate collision / duplicate suppression
2025.03.07 16:00:00,SHORT,2909.57,2912.98000000,2922.18,2914.92000000,2884.34,2909.10000000,-1.0,-1.0000,REJECT_DUPLICATE_CLUSTER,candidate collision / duplicate suppression
2025.03.07 17:45:00,SHORT,2911.51,2912.98000000,2923.48,2914.92000000,2887.57,2909.10000000,2.0,-1.0000,REJECT_DUPLICATE_CLUSTER,candidate collision / duplicate suppression
2025.03.11 10:35:00,SHORT,2899.43,2899.42000000,2902.14,2902.14000000,2894.01,2893.98000000,-1.0,-1.0000,EXECUTED,next-tick executable entry; spread; broker target normalization
2025.03.11 11:10:00,SHORT,2899.93,2899.42000000,2903.6,2902.14000000,2892.58,2893.98000000,-1.0,-1.0000,REJECT_DUPLICATE_CLUSTER,candidate collision / duplicate suppression
2025.03.12 10:20:00,SHORT,2917.36,2917.38000000,2921.27,2921.27000000,2909.53,2909.59000000,2.0,1.4576,EXECUTED,next-tick executable entry; spread; broker target normalization
2025.03.12 11:20:00,LONG,2911.89,2911.71000000,2908.84,2910.36000000,2917.99,2914.41000000,2.0,-1.0000,REJECT_DUPLICATE_CLUSTER,candidate collision / duplicate suppression
2025.03.12 13:10:00,SHORT,2919.52,2917.38000000,2922.75,2921.27000000,2913.05,2909.59000000,2.0,1.4576,REJECT_DUPLICATE_CLUSTER,candidate collision / duplicate suppression
2025.03.12 16:40:00,SHORT,2918.92,2917.38000000,2923.2,2921.27000000,2910.36,2909.59000000,2.0,1.4576,REJECT_DUPLICATE_CLUSTER,candidate collision / duplicate suppression
2025.03.12 17:30:00,LONG,2911.52,2911.71000000,2905.8,2910.36000000,2922.95,2914.41000000,2.0,-1.0000,REJECT_DUPLICATE_CLUSTER,candidate collision / duplicate suppression
2025.03.13 13:25:00,SHORT,2946.04,2946.03000000,2947.8,2947.80000000,2942.52,2942.49000000,-1.0,-1.0000,EXECUTED,next-tick executable entry; spread; broker target normalization
2025.03.13 14:05:00,SHORT,2946.38,2946.03000000,2948.61,2947.80000000,2941.91,2942.49000000,-1.0,-1.0000,REJECT_DUPLICATE_CLUSTER,candidate collision / duplicate suppression
2025.03.13 16:10:00,SHORT,2946.1,2946.03000000,2949.28,2947.80000000,2939.74,2942.49000000,2.0,-1.0000,REJECT_DUPLICATE_CLUSTER,candidate collision / duplicate suppression
2025.03.14 08:05:00,SHORT,2992.03,2991.93000000,2993.99,2993.99000000,2988.11,2987.81000000,2.0,2.0000,EXECUTED,next-tick executable entry; spread; broker target normalization
2025.03.14 11:30:00,LONG,2984.34,2984.46000000,2980.74,2980.74000000,2991.54,2991.90000000,2.0,2.0000,EXECUTED,next-tick executable entry; spread; broker target normalization
2025.03.14 14:35:00,SHORT,2990.93,2991.93000000,3003.36,2993.99000000,2966.07,2987.81000000,-1.0,2.0000,REJECT_DUPLICATE_CLUSTER,candidate collision / duplicate suppression
2025.03.18 09:55:00,SHORT,3015.95,3015.95000000,3018.08,3018.08000000,3011.69,3011.69000000,-1.0,-1.0000,EXECUTED,next-tick executable entry; spread; broker target normalization
2025.03.18 10:20:00,SHORT,3015.92,3015.95000000,3019.33,3018.08000000,3009.11,3011.69000000,-1.0,-1.0000,REJECT_DUPLICATE_CLUSTER,candidate collision / duplicate suppression
2025.03.19 09:10:00,SHORT,3038.6,3038.58000000,3044.86,3044.86000000,3026.07,3026.01000000,2.0,1.6051,EXECUTED,next-tick executable entry; spread; broker target normalization
2025.03.19 12:20:00,LONG,3027.96,3028.50000000,3025.36,3027.06000000,3033.16,3031.37000000,2.0,-1.0000,REJECT_DUPLICATE_CLUSTER,candidate collision / duplicate suppression
2025.03.19 14:35:00,SHORT,3038.97,3038.58000000,3039.94,3044.86000000,3037.04,3026.01000000,-1.0,1.6051,REJECT_DUPLICATE_CLUSTER,candidate collision / duplicate suppression
2025.03.19 14:50:00,SHORT,3039.06,3038.58000000,3040.1,3044.86000000,3036.98,3026.01000000,2.0,1.6051,REJECT_DUPLICATE_CLUSTER,candidate collision / duplicate suppression
2025.03.19 15:20:00,SHORT,3037.86,3038.58000000,3039.92,3044.86000000,3033.73,3026.01000000,-1.0,1.6051,REJECT_DUPLICATE_CLUSTER,candidate collision / duplicate suppression
2025.03.19 15:50:00,SHORT,3037.53,3038.58000000,3041.25,3044.86000000,3030.09,3026.01000000,2.0,1.6051,REJECT_DUPLICATE_CLUSTER,candidate collision / duplicate suppression
2025.03.19 17:20:00,LONG,3029.07,3028.50000000,3025.81,3027.06000000,3035.59,3031.37000000,2.0,-1.0000,REJECT_DUPLICATE_CLUSTER,candidate collision / duplicate suppression
2025.03.19 21:25:00,SHORT,3037.57,3038.58000000,3041.37,3044.86000000,3029.98,3026.01000000,-1.0,1.6051,REJECT_DUPLICATE_CLUSTER,candidate collision / duplicate suppression
2025.03.20 10:25:00,LONG,3046.87,3047.03000000,3044.18,3044.18000000,3052.24,3052.72000000,-1.0,-1.0000,EXECUTED,next-tick executable entry; spread; broker target normalization
2025.03.20 12:20:00,LONG,3045.32,3047.03000000,3043.05,3044.18000000,3049.85,3052.72000000,-1.0,-1.0000,REJECT_DUPLICATE_CLUSTER,candidate collision / duplicate suppression
2025.03.20 22:25:00,LONG,3045.12,3047.03000000,3043.28,3044.18000000,3048.79,3052.72000000,-1.0,-1.0000,REJECT_DUPLICATE_CLUSTER,candidate collision / duplicate suppression
2025.03.21 08:55:00,LONG,3028.03,3028.20000000,3024.52,3024.52000000,3035.04,3035.55000000,2.0,1.9973,EXECUTED,next-tick executable entry; spread; broker target normalization
2025.03.24 10:25:00,SHORT,3025.06,3025.07000000,3029.01,3029.01000000,3017.16,3017.19000000,-1.0,-1.0000,EXECUTED,next-tick executable entry; spread; broker target normalization
2025.03.24 12:40:00,SHORT,3024.88,3025.07000000,3029.75,3029.01000000,3015.14,3017.19000000,-1.0,-1.0000,REJECT_DUPLICATE_CLUSTER,candidate collision / duplicate suppression
2025.03.24 14:40:00,SHORT,3025.33,3025.07000000,3028.05,3029.01000000,3019.88,3017.19000000,-1.0,-1.0000,REJECT_DUPLICATE_CLUSTER,candidate collision / duplicate suppression
2025.03.24 15:45:00,SHORT,3024.38,3025.07000000,3028.75,3029.01000000,3015.64,3017.19000000,2.0,-1.0000,REJECT_DUPLICATE_CLUSTER,candidate collision / duplicate suppression
2025.03.24 18:35:00,LONG,3013.92,3014.05000000,3009.54,3009.54000000,3022.68,3023.07000000,-1.0,-1.0000,EXECUTED,next-tick executable entry; spread; broker target normalization
2025.03.24 23:45:00,LONG,3014.14,3014.05000000,3012.69,3009.54000000,3017.03,3023.07000000,-1.0,-1.0000,REJECT_DUPLICATE_CLUSTER,candidate collision / duplicate suppression
2025.03.25 09:05:00,SHORT,3016.23,3016.23000000,3018.73,3018.73000000,3011.23,3011.23000000,2.0,2.0000,EXECUTED,next-tick executable entry; spread; broker target normalization
2025.03.25 15:15:00,SHORT,3016.38,3016.23000000,3018.79,3018.73000000,3011.55,3011.23000000,-1.0,2.0000,REJECT_DUPLICATE_CLUSTER,candidate collision / duplicate suppression
2025.03.26 08:10:00,LONG,3015.0,3015.14000000,3013.21,3013.21000000,3018.59,3019.01000000,2.0,2.0052,EXECUTED,next-tick executable entry; spread; broker target normalization
2025.03.26 10:10:00,SHORT,3026.47,3026.48000000,3027.67,3027.67000000,3024.08,3024.11000000,-1.0,-1.0000,EXECUTED,next-tick executable entry; spread; broker target normalization
