logical_position_id,position_ticket,entry_deal_count,exit_deal_count,entry_volume,exit_volume,weighted_exit_price,reported_exit_price,reported_r,portfolio_reported_r,recomputed_r,volume_match,weighted_exit_match,r_match
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20250303,2,1,1,2.21,2.21000000,2874.37000000,2874.37,2.0000,2.0,2.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20250305,4,1,1,2.64,2.64000000,2919.40000000,2919.4,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|17:ASIA_LOW|20250305,6,1,1,0.21,0.21000000,2928.02000000,2928.02,2.0000,2.00000000000004,2.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|17:ASIA_LOW|20250306,8,1,1,0.66,0.66000000,2911.48000000,2911.48,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20250307,10,1,1,1.29,1.29000000,2914.92000000,2914.92,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|17:ASIA_LOW|20250310,12,1,1,0.81,0.81000000,2906.87000000,2906.87,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20250311,14,1,1,0.91,0.91000000,2902.14000000,2902.14,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20250312,16,1,1,0.64,0.64000000,2911.71000000,2911.71,1.4576,1.457583547557907,1.45758355,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|17:ASIA_LOW|20250312,18,1,1,1.85,1.85000000,2910.36000000,2910.36,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20250313,20,1,1,1.4,1.40000000,2947.80000000,2947.8,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20250314,22,1,1,1.2,1.20000000,2987.81000000,2987.81,2.0000,2.0,2.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|17:ASIA_LOW|20250314,24,1,1,0.67,0.67000000,2991.90000000,2991.9,2.0000,1.9999999999998777,2.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|17:ASIA_LOW|20250317,26,1,1,1.9,1.90000000,2986.42000000,2986.4200000000005,2.0000,2.0,2.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20250317,28,1,1,0.53,0.53000000,2998.27000000,2998.27,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20250318,30,1,1,1.18,1.18000000,3018.08000000,3018.08,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|2:-1|1:4|18:ASIA_HIGH|20250319,32,1,1,0.4,0.40000000,3028.50000000,3028.5,1.6051,1.6050955414012111,1.60509554,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|17:ASIA_LOW|20250319,34,1,1,1.75,1.75000000,3027.06000000,3027.06,-1.0000,-1.0,-1.00000000,true,true,true
MSZZC1|6:XAUUSD|1:5|1:1|1:4|17:ASIA_LOW|20250320,36,1,1,0.88,0.88000000,3044.18000000,3044.18,-1.0000,-1.0,-1.00000000,true,true,true
