replay_mode;exit_model;trades;win_rate;expectancy_r;profit_factor_r;max_drawdown_r;qualifying_signals;skipped_while_occupied;occupancy_pct
SIGNAL_LEVEL;FIXED_1R;490;0.4633;-0.0935;0.8293;50.3600;490;;
PORTFOLIO_LEVEL;FIXED_1R;175;0.5086;-0.0029;0.9943;10.2800;490;315;64.29
SIGNAL_LEVEL;FIXED_1_5R;474;0.3544;-0.1339;0.7966;64.9600;474;;
PORTFOLIO_LEVEL;FIXED_1_5R;163;0.3742;-0.0844;0.8677;17.4200;474;311;65.61
SIGNAL_LEVEL;FIXED_2R;456;0.2785;-0.1845;0.7493;84.1200;456;;
PORTFOLIO_LEVEL;FIXED_2R;152;0.3158;-0.0726;0.8959;17.1600;456;304;66.67
SIGNAL_LEVEL;FIXED_3R;438;0.2055;-0.1981;0.7556;88.5600;438;;
PORTFOLIO_LEVEL;FIXED_3R;145;0.2276;-0.1097;0.8608;23.5000;438;293;66.89
SIGNAL_LEVEL;BE_0_5R;480;0.1000;-0.2200;0.4737;105.6000;480;;
PORTFOLIO_LEVEL;BE_0_5R;208;0.0962;-0.1354;0.5844;28.7800;480;272;56.67
SIGNAL_LEVEL;BE_0_75R;475;0.1558;-0.2221;0.5814;105.5000;475;;
PORTFOLIO_LEVEL;BE_0_75R;177;0.1864;-0.0708;0.8390;14.3800;475;298;62.74
SIGNAL_LEVEL;BE_1R;471;0.1975;-0.1771;0.6882;83.4200;471;;
PORTFOLIO_LEVEL;BE_1R;160;0.2313;-0.0263;0.9458;13.1600;471;311;66.03
SIGNAL_LEVEL;BE_PLUS_COSTS;471;0.3206;-0.1763;0.6869;83.0400;471;;
PORTFOLIO_LEVEL;BE_PLUS_COSTS;160;0.3875;-0.0326;0.9318;12.8400;471;311;66.03
SIGNAL_LEVEL;TRAIL_0_5R_AFTER_1R;487;0.4661;-0.0800;0.8531;51.4763;487;;
PORTFOLIO_LEVEL;TRAIL_0_5R_AFTER_1R;173;0.5260;0.0461;1.0954;11.0628;487;314;64.48
SIGNAL_LEVEL;TIME_4H;530;0.4189;-0.0737;0.8088;50.6248;530;;
PORTFOLIO_LEVEL;TIME_4H;250;0.4120;-0.0535;0.8732;16.5191;530;280;52.83
SIGNAL_LEVEL;TIME_8H;530;0.4208;-0.0495;0.8862;38.8174;530;;
PORTFOLIO_LEVEL;TIME_8H;218;0.4220;-0.0187;0.9590;17.5058;530;312;58.87
SIGNAL_LEVEL;TIME_12H;530;0.4000;-0.0632;0.8684;46.6966;530;;
PORTFOLIO_LEVEL;TIME_12H;193;0.4197;0.0034;1.0070;17.0822;530;337;63.58
SIGNAL_LEVEL;TIME_24H;530;0.3472;-0.1053;0.8112;57.9474;530;;
PORTFOLIO_LEVEL;TIME_24H;187;0.3957;0.0006;1.0011;18.1728;530;343;64.72
SIGNAL_LEVEL;SESSION_CLOSE;530;0.4283;-0.0323;0.9107;41.1018;530;;
PORTFOLIO_LEVEL;SESSION_CLOSE;256;0.4258;-0.0175;0.9587;14.9411;530;274;51.70
