replay_mode;exit_model;trades;win_rate;expectancy_r;profit_factor_r;max_drawdown_r;qualifying_signals;skipped_while_occupied;occupancy_pct;ambiguous_count
SIGNAL_LEVEL;FIXED_1R;490;0.4633;-0.0935;0.8293;50.3600;490;;;0
PORTFOLIO_LEVEL;FIXED_1R;175;0.5086;-0.0029;0.9943;10.2800;490;315;64.29;0
SIGNAL_LEVEL;FIXED_1_5R;474;0.3544;-0.1339;0.7966;64.9600;474;;;0
PORTFOLIO_LEVEL;FIXED_1_5R;163;0.3742;-0.0844;0.8677;17.4200;474;311;65.61;0
SIGNAL_LEVEL;FIXED_2R;456;0.2785;-0.1845;0.7493;84.1200;456;;;0
PORTFOLIO_LEVEL;FIXED_2R;152;0.3158;-0.0726;0.8959;17.1600;456;304;66.67;0
SIGNAL_LEVEL;FIXED_3R;438;0.2055;-0.1981;0.7556;88.5600;438;;;0
PORTFOLIO_LEVEL;FIXED_3R;145;0.2276;-0.1097;0.8608;23.5000;438;293;66.89;0
SIGNAL_LEVEL;BE_0_5R;480;0.1583;-0.1179;0.7267;58.6000;480;;;80
PORTFOLIO_LEVEL;BE_0_5R;203;0.1724;-0.0200;0.9447;16.1400;480;277;57.71;80
SIGNAL_LEVEL;BE_0_75R;475;0.2000;-0.1421;0.7359;67.5000;475;;;39
PORTFOLIO_LEVEL;BE_0_75R;175;0.2343;0.0029;1.0062;10.2800;475;300;63.16;39
SIGNAL_LEVEL;BE_1R;471;0.2272;-0.1240;0.7839;58.4200;471;;;21
PORTFOLIO_LEVEL;BE_1R;159;0.2704;0.0303;1.0600;11.9400;471;312;66.24;21
SIGNAL_LEVEL;BE_PLUS_COSTS;471;0.3291;-0.1239;0.7824;58.3800;471;;;21
PORTFOLIO_LEVEL;BE_PLUS_COSTS;159;0.4025;0.0226;1.0452;11.7000;471;312;66.24;21
SIGNAL_LEVEL;TRAIL_0_5R_AFTER_1R;487;0.4600;-0.0490;0.9110;48.6808;487;;;92
PORTFOLIO_LEVEL;TRAIL_0_5R_AFTER_1R;170;0.5059;0.0565;1.1120;10.6235;487;317;65.09;92
SIGNAL_LEVEL;TIME_4H;530;0.4189;-0.0737;0.8088;50.6248;530;;;0
PORTFOLIO_LEVEL;TIME_4H;250;0.4120;-0.0535;0.8732;16.5191;530;280;52.83;0
SIGNAL_LEVEL;TIME_8H;530;0.4208;-0.0495;0.8862;38.8174;530;;;0
PORTFOLIO_LEVEL;TIME_8H;218;0.4220;-0.0187;0.9590;17.5058;530;312;58.87;0
SIGNAL_LEVEL;TIME_12H;530;0.4000;-0.0632;0.8684;46.6966;530;;;0
PORTFOLIO_LEVEL;TIME_12H;193;0.4197;0.0034;1.0070;17.0822;530;337;63.58;0
SIGNAL_LEVEL;TIME_24H;530;0.3472;-0.1053;0.8112;57.9474;530;;;0
PORTFOLIO_LEVEL;TIME_24H;187;0.3957;0.0006;1.0011;18.1728;530;343;64.72;0
SIGNAL_LEVEL;SESSION_CLOSE;530;0.4283;-0.0323;0.9107;41.1018;530;;;0
PORTFOLIO_LEVEL;SESSION_CLOSE;256;0.4258;-0.0175;0.9587;14.9411;530;274;51.70;0
