replay_mode;exit_model;trades;win_rate;expectancy_r;profit_factor_r;max_drawdown_r;qualifying_signals;skipped_while_occupied;occupancy_pct
SIGNAL_LEVEL;FIXED_1R;504;0.4524;-0.1152;0.7937;59.9600;504;;
PORTFOLIO_LEVEL;FIXED_1R;181;0.4917;-0.0366;0.9295;10.8400;504;323;64.09
SIGNAL_LEVEL;FIXED_1_5R;488;0.3402;-0.1696;0.7480;84.2400;488;;
PORTFOLIO_LEVEL;FIXED_1_5R;167;0.3533;-0.1368;0.7927;24.0200;488;321;65.78
SIGNAL_LEVEL;FIXED_2R;470;0.2681;-0.2157;0.7110;101.4000;470;;
PORTFOLIO_LEVEL;FIXED_2R;156;0.2949;-0.1354;0.8118;24.6600;470;314;66.81
SIGNAL_LEVEL;FIXED_3R;452;0.1969;-0.2324;0.7163;105.8200;452;;
PORTFOLIO_LEVEL;FIXED_3R;148;0.2095;-0.1822;0.7741;34.5600;452;304;67.26
SIGNAL_LEVEL;BE_0_5R;495;0.0949;-0.2362;0.4432;116.9000;495;;
PORTFOLIO_LEVEL;BE_0_5R;217;0.0876;-0.1675;0.5087;36.3400;495;278;56.16
SIGNAL_LEVEL;BE_0_75R;489;0.1493;-0.2388;0.5531;116.7800;489;;
PORTFOLIO_LEVEL;BE_0_75R;186;0.1774;-0.0953;0.7867;19.5600;489;303;61.96
SIGNAL_LEVEL;BE_1R;485;0.1876;-0.2035;0.6461;98.7000;485;;
PORTFOLIO_LEVEL;BE_1R;169;0.2189;-0.0614;0.8759;16.8800;485;316;65.15
SIGNAL_LEVEL;BE_PLUS_COSTS;485;0.3155;-0.2025;0.6447;98.2200;485;;
PORTFOLIO_LEVEL;BE_PLUS_COSTS;169;0.3846;-0.0671;0.8627;17.9400;485;316;65.15
SIGNAL_LEVEL;TRAIL_0_5R_AFTER_1R;501;0.4591;-0.0932;0.8310;50.4815;501;;
PORTFOLIO_LEVEL;TRAIL_0_5R_AFTER_1R;180;0.5167;0.0406;1.0823;11.4607;501;321;64.07
SIGNAL_LEVEL;TIME_4H;550;0.4036;-0.0935;0.7619;56.0320;550;;
PORTFOLIO_LEVEL;TIME_4H;258;0.3915;-0.0894;0.7946;25.1057;550;292;53.09
SIGNAL_LEVEL;TIME_8H;550;0.4055;-0.0750;0.8321;46.9011;550;;
PORTFOLIO_LEVEL;TIME_8H;222;0.3964;-0.0675;0.8586;17.9138;550;328;59.64
SIGNAL_LEVEL;TIME_12H;550;0.3855;-0.0874;0.8222;53.0823;550;;
PORTFOLIO_LEVEL;TIME_12H;198;0.3990;-0.0437;0.9117;18.0177;550;352;64.00
SIGNAL_LEVEL;TIME_24H;550;0.3327;-0.1396;0.7553;77.8981;550;;
PORTFOLIO_LEVEL;TIME_24H;191;0.3717;-0.0651;0.8865;20.9500;550;359;65.27
SIGNAL_LEVEL;SESSION_CLOSE;550;0.4127;-0.0579;0.8446;46.1396;550;;
PORTFOLIO_LEVEL;SESSION_CLOSE;262;0.4084;-0.0543;0.8762;16.5554;550;288;52.36
