replay_mode;exit_model;trades;win_rate;expectancy_r;profit_factor_r;max_drawdown_r;qualifying_signals;skipped_while_occupied;occupancy_pct;ambiguous_count
SIGNAL_LEVEL;FIXED_1R;504;0.4524;-0.1152;0.7937;59.9600;504;;;0
PORTFOLIO_LEVEL;FIXED_1R;181;0.4917;-0.0366;0.9295;10.8400;504;323;64.09;0
SIGNAL_LEVEL;FIXED_1_5R;488;0.3402;-0.1696;0.7480;84.2400;488;;;0
PORTFOLIO_LEVEL;FIXED_1_5R;167;0.3533;-0.1368;0.7927;24.0200;488;321;65.78;0
SIGNAL_LEVEL;FIXED_2R;470;0.2681;-0.2157;0.7110;101.4000;470;;;0
PORTFOLIO_LEVEL;FIXED_2R;156;0.2949;-0.1354;0.8118;24.6600;470;314;66.81;0
SIGNAL_LEVEL;FIXED_3R;452;0.1969;-0.2324;0.7163;105.8200;452;;;0
PORTFOLIO_LEVEL;FIXED_3R;148;0.2095;-0.1822;0.7741;34.5600;452;304;67.26;0
SIGNAL_LEVEL;BE_0_5R;495;0.1515;-0.1392;0.6831;68.9000;495;;;84
PORTFOLIO_LEVEL;BE_0_5R;212;0.1604;-0.0577;0.8462;17.9600;495;283;57.17;84
SIGNAL_LEVEL;BE_0_75R;489;0.1922;-0.1652;0.6973;80.7800;489;;;41
PORTFOLIO_LEVEL;BE_0_75R;184;0.2228;-0.0309;0.9346;11.8200;489;305;62.37;41
SIGNAL_LEVEL;BE_1R;485;0.2165;-0.1561;0.7331;75.7000;485;;;22
PORTFOLIO_LEVEL;BE_1R;168;0.2560;-0.0140;0.9730;13.2200;485;317;65.36;22
SIGNAL_LEVEL;BE_PLUS_COSTS;485;0.3175;-0.1559;0.7315;75.6000;485;;;22
PORTFOLIO_LEVEL;BE_PLUS_COSTS;168;0.3869;-0.0211;0.9592;12.9000;485;317;65.36;22
SIGNAL_LEVEL;TRAIL_0_5R_AFTER_1R;501;0.4491;-0.0753;0.8660;54.5866;501;;;93
PORTFOLIO_LEVEL;TRAIL_0_5R_AFTER_1R;177;0.4915;0.0232;1.0447;10.6235;501;324;64.67;93
SIGNAL_LEVEL;TIME_4H;550;0.4036;-0.0935;0.7619;56.0320;550;;;0
PORTFOLIO_LEVEL;TIME_4H;258;0.3915;-0.0894;0.7946;25.1057;550;292;53.09;0
SIGNAL_LEVEL;TIME_8H;550;0.4055;-0.0750;0.8321;46.9011;550;;;0
PORTFOLIO_LEVEL;TIME_8H;222;0.3964;-0.0675;0.8586;17.9138;550;328;59.64;0
SIGNAL_LEVEL;TIME_12H;550;0.3855;-0.0874;0.8222;53.0823;550;;;0
PORTFOLIO_LEVEL;TIME_12H;198;0.3990;-0.0437;0.9117;18.0177;550;352;64.00;0
SIGNAL_LEVEL;TIME_24H;550;0.3327;-0.1396;0.7553;77.8981;550;;;0
PORTFOLIO_LEVEL;TIME_24H;191;0.3717;-0.0651;0.8865;20.9500;550;359;65.27;0
SIGNAL_LEVEL;SESSION_CLOSE;550;0.4127;-0.0579;0.8446;46.1396;550;;;0
PORTFOLIO_LEVEL;SESSION_CLOSE;262;0.4084;-0.0543;0.8762;16.5554;550;288;52.36;0
