replay_mode;exit_model;trades;win_rate;expectancy_r;profit_factor_r;max_drawdown_r;qualifying_signals;skipped_while_occupied;occupancy_pct
SIGNAL_LEVEL;FIXED_1R;578;0.4446;-0.1307;0.7692;77.4400;578;;
PORTFOLIO_LEVEL;FIXED_1R;198;0.4949;-0.0301;0.9416;11.5800;578;380;65.74
SIGNAL_LEVEL;FIXED_1_5R;549;0.3279;-0.2003;0.7078;111.4600;549;;
PORTFOLIO_LEVEL;FIXED_1_5R;178;0.3483;-0.1492;0.7755;30.4000;549;371;67.58
SIGNAL_LEVEL;FIXED_2R;531;0.2599;-0.2403;0.6816;129.3600;531;;
PORTFOLIO_LEVEL;FIXED_2R;165;0.2970;-0.1291;0.8200;30.7200;531;366;68.93
SIGNAL_LEVEL;FIXED_3R;508;0.1870;-0.2720;0.6720;141.9200;508;;
PORTFOLIO_LEVEL;FIXED_3R;157;0.2038;-0.2047;0.7479;38.9600;508;351;69.09
SIGNAL_LEVEL;BE_0_5R;565;0.0991;-0.2324;0.4578;131.3000;565;;
PORTFOLIO_LEVEL;BE_0_5R;229;0.1092;-0.1292;0.6259;29.5800;565;336;59.47
SIGNAL_LEVEL;BE_0_75R;556;0.1475;-0.2538;0.5350;141.1200;556;;
PORTFOLIO_LEVEL;BE_0_75R;197;0.1827;-0.0860;0.8080;22.2400;556;359;64.57
SIGNAL_LEVEL;BE_1R;551;0.1851;-0.2215;0.6234;122.0200;551;;
PORTFOLIO_LEVEL;BE_1R;179;0.2235;-0.0535;0.8921;21.9600;551;372;67.51
SIGNAL_LEVEL;BE_PLUS_COSTS;551;0.3031;-0.2202;0.6224;121.3200;551;;
PORTFOLIO_LEVEL;BE_PLUS_COSTS;179;0.3855;-0.0587;0.8803;22.9800;551;372;67.51
SIGNAL_LEVEL;TRAIL_0_5R_AFTER_1R;573;0.4503;-0.1176;0.7904;69.6273;573;;
PORTFOLIO_LEVEL;TRAIL_0_5R_AFTER_1R;195;0.5179;0.0397;1.0807;11.0628;573;378;65.97
SIGNAL_LEVEL;TIME_4H;661;0.4100;-0.0907;0.7507;64.5416;661;;
PORTFOLIO_LEVEL;TIME_4H;315;0.4000;-0.0791;0.7952;27.1367;661;346;52.34
SIGNAL_LEVEL;TIME_8H;661;0.4297;-0.0671;0.8382;51.5219;661;;
PORTFOLIO_LEVEL;TIME_8H;270;0.4333;-0.0548;0.8738;19.1928;661;391;59.15
SIGNAL_LEVEL;TIME_12H;661;0.3964;-0.0777;0.8319;57.4787;661;;
PORTFOLIO_LEVEL;TIME_12H;238;0.3992;-0.0312;0.9313;19.3082;661;423;63.99
SIGNAL_LEVEL;TIME_24H;661;0.3495;-0.1313;0.7575;88.0557;661;;
PORTFOLIO_LEVEL;TIME_24H;219;0.3881;-0.0643;0.8821;23.5661;661;442;66.87
SIGNAL_LEVEL;SESSION_CLOSE;661;0.4387;-0.0444;0.8681;48.8089;661;;
PORTFOLIO_LEVEL;SESSION_CLOSE;317;0.4290;-0.0368;0.9054;15.2049;661;344;52.04
