replay_mode;exit_model;trades;win_rate;expectancy_r;profit_factor_r;max_drawdown_r;qualifying_signals;skipped_while_occupied;occupancy_pct;ambiguous_count
SIGNAL_LEVEL;FIXED_1R;578;0.4446;-0.1307;0.7692;77.4400;578;;;0
PORTFOLIO_LEVEL;FIXED_1R;198;0.4949;-0.0301;0.9416;11.5800;578;380;65.74;0
SIGNAL_LEVEL;FIXED_1_5R;549;0.3279;-0.2003;0.7078;111.4600;549;;;0
PORTFOLIO_LEVEL;FIXED_1_5R;178;0.3483;-0.1492;0.7755;30.4000;549;371;67.58;0
SIGNAL_LEVEL;FIXED_2R;531;0.2599;-0.2403;0.6816;129.3600;531;;;0
PORTFOLIO_LEVEL;FIXED_2R;165;0.2970;-0.1291;0.8200;30.7200;531;366;68.93;0
SIGNAL_LEVEL;FIXED_3R;508;0.1870;-0.2720;0.6720;141.9200;508;;;0
PORTFOLIO_LEVEL;FIXED_3R;157;0.2038;-0.2047;0.7479;38.9600;508;351;69.09;0
SIGNAL_LEVEL;BE_0_5R;565;0.1487;-0.1510;0.6610;87.0600;565;;;84
PORTFOLIO_LEVEL;BE_0_5R;223;0.1749;-0.0379;0.9013;16.5800;565;342;60.53;84
SIGNAL_LEVEL;BE_0_75R;556;0.1853;-0.1909;0.6577;106.1200;556;;;42
PORTFOLIO_LEVEL;BE_0_75R;194;0.2268;-0.0303;0.9368;15.1800;556;362;65.11;42
SIGNAL_LEVEL;BE_1R;551;0.2105;-0.1815;0.6966;101.7600;551;;;23
PORTFOLIO_LEVEL;BE_1R;178;0.2584;-0.0144;0.9727;16.9400;551;373;67.70;23
SIGNAL_LEVEL;BE_PLUS_COSTS;551;0.3049;-0.1810;0.6954;101.5200;551;;;23
PORTFOLIO_LEVEL;BE_PLUS_COSTS;178;0.3876;-0.0209;0.9599;18.1800;551;373;67.70;23
SIGNAL_LEVEL;TRAIL_0_5R_AFTER_1R;573;0.4398;-0.1015;0.8224;65.2512;573;;;99
PORTFOLIO_LEVEL;TRAIL_0_5R_AFTER_1R;192;0.4896;0.0134;1.0258;11.4965;573;381;66.49;99
SIGNAL_LEVEL;TIME_4H;661;0.4100;-0.0907;0.7507;64.5416;661;;;0
PORTFOLIO_LEVEL;TIME_4H;315;0.4000;-0.0791;0.7952;27.1367;661;346;52.34;0
SIGNAL_LEVEL;TIME_8H;661;0.4297;-0.0671;0.8382;51.5219;661;;;0
PORTFOLIO_LEVEL;TIME_8H;270;0.4333;-0.0548;0.8738;19.1928;661;391;59.15;0
SIGNAL_LEVEL;TIME_12H;661;0.3964;-0.0777;0.8319;57.4787;661;;;0
PORTFOLIO_LEVEL;TIME_12H;238;0.3992;-0.0312;0.9313;19.3082;661;423;63.99;0
SIGNAL_LEVEL;TIME_24H;661;0.3495;-0.1313;0.7575;88.0557;661;;;0
PORTFOLIO_LEVEL;TIME_24H;219;0.3881;-0.0643;0.8821;23.5661;661;442;66.87;0
SIGNAL_LEVEL;SESSION_CLOSE;661;0.4387;-0.0444;0.8681;48.8089;661;;;0
PORTFOLIO_LEVEL;SESSION_CLOSE;317;0.4290;-0.0368;0.9054;15.2049;661;344;52.04;0
