replay_mode;strategy_id;exit_model;cluster_id;direction;entry_time;exit_time;exit_reason;entry_price;initial_stop;initial_risk;gross_r;net_r_after_costs;mfe_r;mae_r;bars_to_mfe;minutes_to_mfe;bars_held;minutes_held;surrender_r;percent_mfe_captured;reached_0_5r;reached_1r;reached_1_5r;reached_2r;reached_3r;reached_1r_then_negative;number_of_trail_updates;final_stop;replay_price_mode;session;weekday;skipped_while_occupied
SIGNAL_LEVEL;1080;FIXED_1R;MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1741189500|MSZZ|XAUUSD|5|0|-1|1741189200|1741189200;S;2025.03.05 15:50:00;2025.03.05 17:05:00;SL;2896.23000;2917.24000;21.01000;-1.0000;-1.0200;0.2427;-1.6335;229;1205;16;75;1.2627;-4.2020;false;false;false;false;false;false;0;2917.24000;MSZZ_AMBIG_PESSIMISTIC;London;Wednesday;false
SIGNAL_LEVEL;1080;FIXED_1R;MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1741194300|MSZZ|XAUUSD|5|0|1|1741192500|1741192500;L;2025.03.05 17:10:00;2025.03.05 18:20:00;TP;2918.04000;2907.06000;10.98000;1.0000;0.9800;1.1393;-2.4508;551;2875;15;70;0.1593;0.8601;true;true;false;false;false;false;0;2907.06000;MSZZ_AMBIG_PESSIMISTIC;NewYork;Wednesday;false
SIGNAL_LEVEL;1080;FIXED_1R;MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1741198800|MSZZ|XAUUSD|5|0|1|1741198500|1741198500;L;2025.03.05 18:25:00;2025.03.06 10:00:00;SL;2929.37000;2907.06000;22.31000;-1.0000;-1.0200;0.0529;-1.7140;536;2800;176;935;1.0729;null;false;false;false;false;false;false;0;2907.06000;MSZZ_AMBIG_PESSIMISTIC;NewYork;Wednesday;false
SIGNAL_LEVEL;1080;FIXED_1R;MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1741201200|MSZZ|XAUUSD|5|0|-1|1741200900|1741200900;S;2025.03.05 19:05:00;2025.03.05 19:45:00;TP;2922.85000;2930.07000;7.22000;1.0000;0.9800;4.3934;-1.0665;190;1010;9;40;3.4134;0.2231;true;true;true;true;true;false;0;2930.07000;MSZZ_AMBIG_PESSIMISTIC;NewYork;Wednesday;false
SIGNAL_LEVEL;1080;FIXED_1R;MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1741674300|MSZZ|XAUUSD|5|0|1|1741674000|1741674000;L;2025.03.11 06:30:00;2025.03.11 06:55:00;TP;2897.99000;2895.93000;2.06000;1.0000;0.9800;44.7379;-2.5583;812;4240;6;25;43.7579;0.0219;true;true;true;true;true;false;0;2895.93000;MSZZ_AMBIG_PESSIMISTIC;Asian;Tuesday;false
SIGNAL_LEVEL;1080;FIXED_1R;MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1741675800|MSZZ|XAUUSD|5|0|1|1741674000|1741674000;L;2025.03.11 06:55:00;2025.03.11 07:25:00;SL;2898.97000;2895.93000;3.04000;-1.0000;-1.0200;29.9934;-2.0559;807;4215;7;30;31.0134;-0.0340;true;true;true;true;true;true;0;2895.93000;MSZZ_AMBIG_PESSIMISTIC;Asian;Tuesday;false
SIGNAL_LEVEL;1080;FIXED_1R;MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1741683300|MSZZ|XAUUSD|5|0|1|1741674000|1741674000;L;2025.03.11 09:00:00;2025.03.11 09:40:00;SL;2897.83000;2895.93000;1.90000;-1.0000;-1.0200;50.5737;-2.6895;816;4260;9;40;51.5937;-0.0202;true;true;true;true;true;true;0;2895.93000;MSZZ_AMBIG_PESSIMISTIC;London;Tuesday;false
SIGNAL_LEVEL;1080;FIXED_1R;MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1741685400|MSZZ|XAUUSD|5|0|1|1741674000|1741674000;L;2025.03.11 09:35:00;2025.03.11 09:40:00;SL;2898.68000;2895.93000;2.75000;-1.0000;-1.0200;34.6327;-2.1673;809;4225;2;5;35.6527;-0.0295;true;true;true;true;true;true;0;2895.93000;MSZZ_AMBIG_PESSIMISTIC;London;Tuesday;false
SIGNAL_LEVEL;1080;FIXED_1R;MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1741688700|MSZZ|XAUUSD|5|0|1|1741687200|1741687200;L;2025.03.11 10:30:00;2025.03.11 10:30:00;TP;2897.99000;2895.93000;2.06000;1.0000;0.9800;46.5680;-0.3107;798;4170;1;0;45.5880;0.0210;true;true;true;true;true;false;0;2895.93000;MSZZ_AMBIG_PESSIMISTIC;London;Tuesday;false
SIGNAL_LEVEL;1080;FIXED_1R;MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1741691700|MSZZ|XAUUSD|5|0|-1|1741691400|1741691400;S;2025.03.11 11:20:00;2025.03.11 12:05:00;SL;2898.80000;2902.03000;3.23000;-1.0000;-1.0200;0.3839;-29.4489;3;15;10;45;1.4039;-2.6569;false;false;false;false;false;false;0;2902.03000;MSZZ_AMBIG_PESSIMISTIC;London;Tuesday;false
SIGNAL_LEVEL;1080;FIXED_1R;MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1741695000|MSZZ|XAUUSD|5|0|1|1741694700|1741694700;L;2025.03.11 12:15:00;2025.03.11 14:00:00;TP;2904.33000;2895.93000;8.40000;1.0000;0.9800;10.7333;-0.0524;838;4370;22;105;9.7533;0.0913;true;true;true;true;true;false;0;2895.93000;MSZZ_AMBIG_PESSIMISTIC;London;Tuesday;false
SIGNAL_LEVEL;1080;FIXED_1R;MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1741809000|MSZZ|XAUUSD|5|0|1|1741806600|1741806600;L;2025.03.12 19:55:00;2025.03.13 18:40:00;TP;2928.66000;2895.93000;32.73000;1.0000;0.9800;2.3373;-0.0412;484;2540;262;1365;1.3573;0.4193;true;true;true;true;false;false;0;2895.93000;MSZZ_AMBIG_PESSIMISTIC;NewYork;Wednesday;false
SIGNAL_LEVEL;1080;FIXED_1R;MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1742586300|MSZZ|XAUUSD|5|0|1|1742583900|1742583900;L;2025.03.21 19:50:00;2025.03.21 21:20:00;TP;3014.13000;3010.00000;4.13000;1.0000;0.9800;4.6344;-2.0315;200;3940;19;90;3.6544;0.2115;true;true;true;true;true;false;0;3010.00000;MSZZ_AMBIG_PESSIMISTIC;NewYork;Friday;false
SIGNAL_LEVEL;1080;FIXED_1R;MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1742899200|MSZZ|XAUUSD|5|0|-1|1742898000|1742898000;S;2025.03.25 10:45:00;2025.03.25 17:00:00;SL;3013.13000;3033.27000;20.14000;-1.0000;-1.0200;0.1311;-3.6187;2;10;76;375;1.1511;-7.7814;false;false;false;false;false;false;0;3033.27000;MSZZ_AMBIG_PESSIMISTIC;London;Tuesday;false
SIGNAL_LEVEL;1080;FIXED_1R;MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1742937300|MSZZ|XAUUSD|5|0|-1|1742932800|1742932800;S;2025.03.25 21:20:00;2025.03.27 13:05:00;SL;3020.21000;3045.39000;25.18000;-1.0000;-1.0200;0.3090;-2.6454;236;1240;454;2385;1.3290;-3.3012;false;false;false;false;false;false;0;3045.39000;MSZZ_AMBIG_PESSIMISTIC;NewYork;Tuesday;false
SIGNAL_LEVEL;1080;FIXED_1R;MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1742967600|MSZZ|XAUUSD|5|0|-1|1742923800|1742923800;S;2025.03.26 05:45:00;2025.03.27 13:05:00;SL;3023.46000;3045.39000;21.93000;-1.0000;-1.0200;0.5030;-2.8892;147;735;365;1880;1.5230;-2.0280;true;false;false;false;false;false;0;3045.39000;MSZZ_AMBIG_PESSIMISTIC;Asian;Wednesday;false
SIGNAL_LEVEL;1080;FIXED_1R;MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1742981700|MSZZ|XAUUSD|5|0|-1|1742923800|1742923800;S;2025.03.26 09:40:00;2025.03.27 13:05:00;SL;3024.66000;3045.39000;20.73000;-1.0000;-1.0200;0.5900;-2.9986;100;500;318;1645;1.6100;-1.7289;true;false;false;false;false;false;0;3045.39000;MSZZ_AMBIG_PESSIMISTIC;London;Wednesday;false
SIGNAL_LEVEL;1080;FIXED_1R;MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1742987700|MSZZ|XAUUSD|5|0|-1|1742987400|1742987400;S;2025.03.26 11:20:00;2025.03.27 13:05:00;SL;3028.63000;3045.39000;16.76000;-1.0000;-1.0200;0.9666;-3.4720;80;400;298;1545;1.9866;-1.0553;true;false;false;false;false;false;0;3045.39000;MSZZ_AMBIG_PESSIMISTIC;London;Wednesday;false
SIGNAL_LEVEL;1080;FIXED_1R;MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1743083100|MSZZ|XAUUSD|5|0|1|1743081900|1743081900;L;2025.03.27 13:50:00;2025.03.27 16:10:00;SL;3054.40000;3045.75000;8.65000;-1.0000;-1.0200;3.7480;-2.4231;315;1635;29;140;4.7680;-0.2721;true;true;true;true;true;true;0;3045.75000;MSZZ_AMBIG_PESSIMISTIC;London;Thursday;false
SIGNAL_LEVEL;1080;FIXED_1R;MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1743085800|MSZZ|XAUUSD|5|0|1|1743081300|1743081300;L;2025.03.27 14:35:00;2025.03.27 16:10:00;SL;3052.59000;3045.75000;6.84000;-1.0000;-1.0200;5.0044;-2.7997;306;1590;20;95;6.0244;-0.2038;true;true;true;true;true;true;0;3045.75000;MSZZ_AMBIG_PESSIMISTIC;London;Thursday;false
SIGNAL_LEVEL;1080;FIXED_1R;MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1743089100|MSZZ|XAUUSD|5|0|1|1743081300|1743081300;L;2025.03.27 15:30:00;2025.03.27 16:10:00;SL;3050.89000;3045.75000;5.14000;-1.0000;-1.0200;6.9903;-3.3949;295;1535;9;40;8.0103;-0.1459;true;true;true;true;true;true;0;3045.75000;MSZZ_AMBIG_PESSIMISTIC;London;Thursday;false
SIGNAL_LEVEL;1080;FIXED_1R;MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1743091200|MSZZ|XAUUSD|5|0|1|1743090300|1743090300;L;2025.03.27 16:05:00;2025.03.27 16:10:00;SL;3051.21000;3045.75000;5.46000;-1.0000;-1.0200;6.5220;-3.2546;288;1500;2;5;7.5420;-0.1564;true;true;true;true;true;true;0;3045.75000;MSZZ_AMBIG_PESSIMISTIC;NewYork;Thursday;false
SIGNAL_LEVEL;1080;FIXED_1R;MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1743091800|MSZZ|XAUUSD|5|0|-1|1743091200|1743091200;S;2025.03.27 16:15:00;2025.03.27 16:20:00;TP;3046.09000;3050.81000;4.72000;1.0000;0.9800;2.6801;-8.6292;5;25;2;5;1.7001;0.3657;true;true;true;true;false;false;0;3050.81000;MSZZ_AMBIG_PESSIMISTIC;NewYork;Thursday;false
