signal_time;direction;entry;stop;target;strategy_id;cluster_id;score;symbol;timeframe
2025.03.05 15:45:00;SHORT;2896.23;2917.24;2854.21;1080;MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1741189500|MSZZ|XAUUSD|5|0|-1|1741189200|1741189200;7.20;XAUUSD;PERIOD_M5
2025.03.05 17:05:00;LONG;2918.04;2907.06;2940.00;1080;MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1741194300|MSZZ|XAUUSD|5|0|1|1741192500|1741192500;7.20;XAUUSD;PERIOD_M5
2025.03.05 18:20:00;LONG;2929.37;2907.06;2973.99;1080;MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1741198800|MSZZ|XAUUSD|5|0|1|1741198500|1741198500;7.20;XAUUSD;PERIOD_M5
2025.03.05 19:00:00;SHORT;2922.85;2930.07;2908.41;1080;MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1741201200|MSZZ|XAUUSD|5|0|-1|1741200900|1741200900;7.20;XAUUSD;PERIOD_M5
2025.03.11 06:25:00;LONG;2897.99;2895.93;2902.11;1080;MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1741674300|MSZZ|XAUUSD|5|0|1|1741674000|1741674000;7.20;XAUUSD;PERIOD_M5
2025.03.11 06:50:00;LONG;2898.97;2895.93;2905.05;1080;MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1741675800|MSZZ|XAUUSD|5|0|1|1741674000|1741674000;7.20;XAUUSD;PERIOD_M5
2025.03.11 08:55:00;LONG;2897.83;2895.93;2901.63;1080;MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1741683300|MSZZ|XAUUSD|5|0|1|1741674000|1741674000;7.20;XAUUSD;PERIOD_M5
2025.03.11 09:30:00;LONG;2898.68;2895.93;2904.18;1080;MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1741685400|MSZZ|XAUUSD|5|0|1|1741674000|1741674000;7.20;XAUUSD;PERIOD_M5
2025.03.11 10:25:00;LONG;2897.99;2895.93;2902.11;1080;MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1741688700|MSZZ|XAUUSD|5|0|1|1741687200|1741687200;7.20;XAUUSD;PERIOD_M5
2025.03.11 11:15:00;SHORT;2898.80;2902.03;2892.34;1080;MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1741691700|MSZZ|XAUUSD|5|0|-1|1741691400|1741691400;5.80;XAUUSD;PERIOD_M5
2025.03.11 12:10:00;LONG;2904.33;2895.93;2921.13;1080;MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1741695000|MSZZ|XAUUSD|5|0|1|1741694700|1741694700;5.80;XAUUSD;PERIOD_M5
2025.03.12 19:50:00;LONG;2928.66;2895.93;2994.12;1080;MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1741809000|MSZZ|XAUUSD|5|0|1|1741806600|1741806600;5.80;XAUUSD;PERIOD_M5
2025.03.21 19:45:00;LONG;3014.13;3010.00;3022.39;1080;MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1742586300|MSZZ|XAUUSD|5|0|1|1742583900|1742583900;7.20;XAUUSD;PERIOD_M5
2025.03.25 10:40:00;SHORT;3013.13;3033.27;2972.85;1080;MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1742899200|MSZZ|XAUUSD|5|0|-1|1742898000|1742898000;5.80;XAUUSD;PERIOD_M5
2025.03.25 21:15:00;SHORT;3020.21;3045.39;2969.85;1080;MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1742937300|MSZZ|XAUUSD|5|0|-1|1742932800|1742932800;5.80;XAUUSD;PERIOD_M5
