replay_mode;exit_model;trades;win_rate;expectancy_r;profit_factor_r;max_drawdown_r;qualifying_signals;skipped_while_occupied;occupancy_pct;ambiguous_count
SIGNAL_LEVEL;CHANDELIER_TRAIL;530;0.3415;-0.0250;0.8841;29.5161;530;;;116
PORTFOLIO_LEVEL;CHANDELIER_TRAIL;392;0.3546;-0.0212;0.9070;19.6030;530;138;26.04;116
SIGNAL_LEVEL;FAST_SWING_TRAIL;515;0.2544;-0.1583;0.7521;85.1431;515;;;87
PORTFOLIO_LEVEL;FAST_SWING_TRAIL;176;0.3125;0.0087;1.0155;15.5600;515;339;65.83;87
SIGNAL_LEVEL;MEDIUM_SWING_TRAIL;518;0.2857;-0.1491;0.7517;77.2271;518;;;39
PORTFOLIO_LEVEL;MEDIUM_SWING_TRAIL;195;0.3436;0.0051;1.0096;19.1503;518;323;62.36;39
SIGNAL_LEVEL;HL_LH_TRAIL;516;0.2907;-0.1500;0.7549;77.4138;516;;;33
PORTFOLIO_LEVEL;HL_LH_TRAIL;188;0.3564;0.0082;1.0148;19.9777;516;328;63.57;33
SIGNAL_LEVEL;OPPOSITE_FAST_EXIT;515;0.2699;-0.1483;0.7645;79.9751;515;;;0
PORTFOLIO_LEVEL;OPPOSITE_FAST_EXIT;176;0.3466;0.0337;1.0592;14.8955;515;339;65.83;0
SIGNAL_LEVEL;TIME_8H;530;0.3811;-0.0418;0.9115;59.0868;530;;;0
PORTFOLIO_LEVEL;TIME_8H;209;0.3589;-0.0613;0.8813;22.7812;530;321;60.57;0
SIGNAL_LEVEL;TIME_12H;530;0.3528;-0.0696;0.8676;75.0864;530;;;0
PORTFOLIO_LEVEL;TIME_12H;182;0.3681;0.0054;1.0103;24.1572;530;348;65.66;0
SIGNAL_LEVEL;TIME_24H;530;0.2925;-0.0261;0.9573;62.4125;530;;;0
PORTFOLIO_LEVEL;TIME_24H;173;0.3121;0.0584;1.0911;24.9692;530;357;67.36;0
SIGNAL_LEVEL;FIXED_2R_PLUS_TIMEOUT;530;0.3472;-0.1053;0.8112;57.9474;530;;;0
PORTFOLIO_LEVEL;FIXED_2R_PLUS_TIMEOUT;187;0.3957;0.0006;1.0011;18.1728;530;343;64.72;0
SIGNAL_LEVEL;TRAIL_AFTER_1R;523;0.4417;-0.0905;0.8411;58.9714;523;;;92
PORTFOLIO_LEVEL;TRAIL_AFTER_1R;168;0.4940;0.0298;1.0578;10.6235;523;355;67.88;92
SIGNAL_LEVEL;BE_1R_PLUS_TRAIL;519;0.2755;-0.1315;0.7722;71.8332;519;;;31
PORTFOLIO_LEVEL;BE_1R_PLUS_TRAIL;160;0.3000;-0.0305;0.9427;14.3667;519;359;69.17;31
SIGNAL_LEVEL;SESSION_OVERNIGHT;510;0.2725;-0.2024;0.7273;106.8000;510;;;0
PORTFOLIO_LEVEL;SESSION_OVERNIGHT;140;0.3071;-0.0986;0.8605;24.0000;510;370;72.55;0
