replay_mode;strategy_id;exit_model;cluster_id;direction;entry_time;exit_time;exit_reason;entry_price;initial_stop;initial_risk;gross_r;net_r_after_costs;mfe_until_exit_r;mae_until_exit_r;mfe_reference_horizon_r;mae_reference_horizon_r;bars_to_mfe;minutes_to_mfe;bars_held;minutes_held;surrender_r;pct_open_trade_mfe_captured;pct_reference_horizon_mfe_captured;number_of_trail_updates;final_stop;replay_price_mode;session;weekday;sequencing_ambiguous;skipped_while_occupied
SIGNAL_LEVEL;1010;CHANDELIER_TRAIL;MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1741189500|MSZZ|XAUUSD|5|0|-1|1741189200|1741189200;S;2025.03.05 15:50:00;2025.03.05 16:00:00;TRAIL;2896.23000;2917.24000;21.01000;-0.3137;-0.3337;0.1076;-0.4284;0.7625;-1.6335;891;7575;3;10;0.4412;-3.1019;-0.4376;1;2902.82000;MSZZ_AMBIG_PESSIMISTIC;London;Wednesday;false;false
SIGNAL_LEVEL;1010;CHANDELIER_TRAIL;MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1741194300|MSZZ|XAUUSD|5|0|1|1741192500|1741192500;L;2025.03.05 17:10:00;2025.03.05 18:55:00;TRAIL;2918.04000;2907.06000;10.98000;0.5122;0.4922;1.0956;-0.3515;1.1393;-3.4454;551;2875;22;105;0.6034;0.4493;0.4320;17;2923.66429;MSZZ_AMBIG_PESSIMISTIC;NewYork;Wednesday;false;false
SIGNAL_LEVEL;1010;CHANDELIER_TRAIL;MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1741198800|MSZZ|XAUUSD|5|0|1|1741198500|1741198500;L;2025.03.05 18:25:00;2025.03.05 18:55:00;TRAIL;2929.37000;2907.06000;22.31000;-0.2557;-0.2757;0.0314;-0.2976;0.0529;-2.2035;536;2800;7;30;0.3071;null;null;4;2923.66429;MSZZ_AMBIG_PESSIMISTIC;NewYork;Wednesday;false;false
SIGNAL_LEVEL;1010;CHANDELIER_TRAIL;MSZZC1|6:XAUUSD|1:5|2:-1|1:1|67:BO|XAUUSD|5|0|S|1741201200|MSZZ|XAUUSD|5|0|-1|1741200900|1741200900;S;2025.03.05 19:05:00;2025.03.05 20:10:00;TRAIL;2922.85000;2930.07000;7.22000;0.8607;0.8407;1.6039;-0.0208;5.9058;-1.0665;852;7380;14;65;0.7632;0.5242;0.1424;12;2916.63571;MSZZ_AMBIG_PESSIMISTIC;NewYork;Wednesday;true;false
SIGNAL_LEVEL;1010;CHANDELIER_TRAIL;MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1741674300|MSZZ|XAUUSD|5|0|1|1741674000|1741674000;L;2025.03.11 06:30:00;2025.03.11 07:20:00;TRAIL;2897.99000;2895.93000;2.06000;-0.6921;-0.7121;1.2379;-0.9563;56.9806;-2.5583;1390;10070;11;50;1.9500;-0.5753;-0.0125;2;2896.56429;MSZZ_AMBIG_PESSIMISTIC;Asian;Tuesday;false;false
SIGNAL_LEVEL;1010;CHANDELIER_TRAIL;MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1741675800|MSZZ|XAUUSD|5|0|1|1741674000|1741674000;L;2025.03.11 06:55:00;2025.03.11 07:20:00;TRAIL;2898.97000;2895.93000;3.04000;-0.7914;-0.8114;0.5164;-0.9243;38.2895;-2.0559;1385;10045;6;25;1.3278;-1.5710;-0.0212;2;2896.56429;MSZZ_AMBIG_PESSIMISTIC;Asian;Tuesday;false;false
SIGNAL_LEVEL;1010;CHANDELIER_TRAIL;MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1741683300|MSZZ|XAUUSD|5|0|1|1741674000|1741674000;L;2025.03.11 09:00:00;2025.03.11 09:40:00;TRAIL;2897.83000;2895.93000;1.90000;-0.4489;-0.4689;0.6421;-1.0789;62.9263;-2.6895;1378;10010;9;40;1.1110;-0.7302;-0.0075;6;2896.97714;MSZZ_AMBIG_PESSIMISTIC;London;Tuesday;false;false
SIGNAL_LEVEL;1010;CHANDELIER_TRAIL;MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1741685400|MSZZ|XAUUSD|5|0|1|1741674000|1741674000;L;2025.03.11 09:35:00;2025.03.11 09:40:00;TRAIL;2898.68000;2895.93000;2.75000;-0.6192;-0.6392;0.1345;-1.0545;43.1964;-2.1673;1386;10050;2;5;0.7738;-4.7510;-0.0148;1;2896.97714;MSZZ_AMBIG_PESSIMISTIC;London;Tuesday;false;false
SIGNAL_LEVEL;1010;CHANDELIER_TRAIL;MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1741688700|MSZZ|XAUUSD|5|0|1|1741687200|1741687200;L;2025.03.11 10:30:00;2025.03.11 10:50:00;TP;2897.99000;2895.93000;2.06000;2.0000;1.9800;2.3155;-0.3107;58.8495;-0.3107;1389;10065;5;20;0.3355;0.8551;0.0336;1;2897.89429;MSZZ_AMBIG_PESSIMISTIC;London;Tuesday;true;false
SIGNAL_LEVEL;1010;CHANDELIER_TRAIL;MSZZC1|6:XAUUSD|1:5|1:1|1:1|66:BO|XAUUSD|5|0|L|1742586300|MSZZ|XAUUSD|5|0|1|1742583900|1742583900;L;2025.03.21 19:50:00;2025.03.21 20:45:00;TRAIL;3014.13000;3010.00000;4.13000;0.2113;0.1913;0.9879;-0.2930;17.6005;-2.8208;1347;9915;12;55;0.7965;0.1937;0.0109;11;3015.00286;MSZZ_AMBIG_PESSIMISTIC;NewYork;Friday;true;false
