family,field,type,required,producer,validation
SSR,ssr_clock_rule_id,string,true,session authority,known committed model
SSR,ssr_range_id,string,true,range builder,unique immutable range
SSR,ssr_range_high,double,true,range builder,positive
SSR,ssr_range_low,double,true,range builder,high greater than low
SSR,ssr_sweep_extreme,double,true,setup,state-consistent
SSR,ssr_reclaim_close,double,true,trigger,equals trigger close
MC,mc_structural_event_id,string,true,engine,event record valid
MC,mc_impulse_origin_price,double,true,event record,event-equal
MC,mc_impulse_extreme_price,double,true,event record,event-equal
MC,mc_impulse_distance_atr,double,true,event record,recomputable
MC,mc_efficiency,double,true,family,zero to one
MC,mc_pause_bars,int,true,family,in frozen bounds
MC,mc_pullback_fraction,double,true,family,recomputable
BRC,brc_break_event_id,string,true,engine,event record valid
BRC,brc_broken_level_id,string,true,engine,event-equal
BRC,brc_broken_level_price,double,true,engine,event-equal
BRC,brc_first_touch_time,datetime_utc,true,family,after minimum delay
BRC,brc_rejection_time,datetime_utc,true,family,frozen first event
BRC,brc_penetration_atr,double,true,family,recomputable
BRC,brc_test_count,int,true,family,nonnegative
CBR,cbr_window_start,datetime_utc,true,family,before window end
CBR,cbr_window_end,datetime_utc,true,family,before trigger
CBR,cbr_window_hash,string,true,family,source bars hash
CBR,cbr_short_atr,double,true,family,positive
CBR,cbr_long_atr,double,true,family,positive
CBR,cbr_range_atr,double,true,family,recomputable
CBR,cbr_extension_atr,double,true,family,recomputable
CBR,cbr_obstruction_r,double,true,family,recomputable
TP,tp_impulse_event_id,string,true,engine,event record valid
TP,tp_value_type,enum_value,true,value service,VWAP_SESSION
TP,tp_value_anchor_id,string,true,value service,nonempty
TP,tp_distance_start_atr,double,true,family,recomputable
TP,tp_distance_min_atr,double,true,family,recomputable
TP,tp_distance_trigger_atr,double,true,family,recomputable
RR,rr_range_id,string,true,family,immutable range
RR,rr_width_cv,double,true,family,recomputable
RR,rr_high_touch_ids,string_array,true,family,escaped ordered pivot IDs
RR,rr_low_touch_ids,string_array,true,family,escaped ordered pivot IDs
RR,rr_min_touch_separation_bars,int,true,family,recomputable
RR,rr_rotation_away_atr,double,true,family,recomputable
RR,rr_medium_contained,bool,true,family,must be true
RR,rr_midpoint,double,true,family,mean frozen boundaries
